GEO_ID,C27008_001E,C27008_001M,C27008_002E,C27008_002M,C27008_003E,C27008_003M,C27008_004E,C27008_004M,C27008_005E,C27008_005M,C27008_006E,C27008_006M,C27008_007E,C27008_007M,C27008_008E,C27008_008M,C27008_009E,C27008_009M,C27008_010E,C27008_010M,C27008_011E,C27008_011M,C27008_012E,C27008_012M,C27008_013E,C27008_013M,C27008_014E,C27008_014M,C27008_015E,C27008_015M,C27008_016E,C27008_016M,C27008_017E,C27008_017M,C27008_018E,C27008_018M,C27008_019E,C27008_019M,C27008_020E,C27008_020M,C27008_021E,C27008_021M,NAME,C27008_001MA,C27008_001EA,C27008_002MA,C27008_002EA,C27008_003EA,C27008_003MA,C27008_004EA,C27008_004MA,C27008_005MA,C27008_005EA,C27008_006MA,C27008_006EA,C27008_007MA,C27008_007EA,C27008_008EA,C27008_008MA,C27008_009EA,C27008_009MA,C27008_010MA,C27008_010EA,C27008_011MA,C27008_011EA,C27008_012MA,C27008_012EA,C27008_013MA,C27008_013EA,C27008_014EA,C27008_014MA,C27008_015MA,C27008_015EA,C27008_016MA,C27008_016EA,C27008_017MA,C27008_017EA,C27008_018MA,C27008_018EA,C27008_019EA,C27008_019MA,C27008_020MA,C27008_020EA,C27008_021MA,C27008_021EA,state
0400000US01,4781070,1376,2299014,5729,564537,3993,17432,2731,547105,4230,1411387,4760,43056,3131,1368331,5435,323090,2063,41014,2893,282076,3352,2482056,5719,542179,4781,17653,2523,524526,5154,1519693,3777,49701,3849,1469992,5383,420184,1772,39113,2629,381071,2889,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713082,1787,367289,2444,95826,1441,11862,1630,83964,2075,236718,2124,18990,2145,217728,2551,34745,726,4310,921,30435,973,345793,1921,90091,1323,12213,1964,77878,2357,220361,1423,20645,1973,199716,2230,35341,944,3700,870,31641,1230,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6719354,1844,3293746,3484,824079,2002,20856,2273,803223,2694,1959748,2694,43055,3724,1916693,4641,509919,1267,44701,2722,465218,3174,3425608,3038,795314,1956,18826,3044,776488,3112,2032326,2198,52566,3475,1979760,3644,597968,1577,41191,2792,556777,3010,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924307,1290,1426441,4241,363246,3433,7437,1602,355809,3417,856738,2663,18886,2083,837852,3252,206457,1612,23061,2187,183396,2677,1497866,4230,340455,3778,7761,2339,332694,4643,902645,2905,20203,2201,882442,3903,254766,1684,18899,1869,235867,2639,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38649621,4947,19053168,7752,4643120,3854,78031,6299,4565089,7083,12148870,6721,149271,7208,11999599,9897,2261178,3359,108827,4211,2152351,5345,19596453,6021,4460019,3338,72332,5814,4387687,6555,12302981,4246,162887,7912,12140094,8462,2833453,3341,105101,5002,2728352,6086,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5367335,2710,2673619,4748,639469,3086,26756,2920,612713,4231,1715975,4027,49538,3905,1666437,5451,318175,1683,30902,1940,287273,2496,2693716,4738,615331,3057,25074,2986,590257,3948,1700463,4150,59235,3675,1641228,5292,377922,1653,30786,2277,347136,2776,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3537983,1086,1719257,2740,390026,1522,3774,943,386252,1936,1091394,2190,10823,1922,1080571,2784,237837,1275,7348,1066,230489,1563,1818726,2437,371895,1473,3255,860,368640,1748,1141256,1700,10170,1688,1131086,2496,305575,1441,7175,1143,298400,1809,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,931203,797,447682,1407,103850,875,2521,992,101329,1171,273176,1016,7073,1343,266103,1494,70656,647,7656,1020,63000,1321,483521,1246,99921,829,1804,570,98117,1023,297506,819,7362,1427,290144,1567,86094,634,7210,1095,78884,1224,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660682,666,311147,1154,59831,613,1210,776,58621,968,221903,1297,3320,942,218583,1607,29413,869,1437,435,27976,899,349535,1105,57584,610,1039,638,56545,913,247687,722,3163,792,244524,995,44264,548,1213,414,43051,701,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19960169,3766,9652725,8224,2080662,5282,64817,5706,2015845,7624,5826380,5787,158200,7162,5668180,9586,1745683,3300,139596,5810,1606087,5849,10307444,7951,2012739,5698,55575,4520,1957164,7163,6161807,5652,165265,6269,5996542,7731,2132898,3781,132899,6155,1999999,7396,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
