GEO_ID,B16005B_001E,B16005B_001M,B16005B_002E,B16005B_002M,B16005B_003E,B16005B_003M,B16005B_004E,B16005B_004M,B16005B_005E,B16005B_005M,B16005B_006E,B16005B_006M,B16005B_007E,B16005B_007M,B16005B_008E,B16005B_008M,B16005B_009E,B16005B_009M,B16005B_010E,B16005B_010M,B16005B_011E,B16005B_011M,NAME,B16005B_001MA,B16005B_001EA,B16005B_002MA,B16005B_002EA,B16005B_003MA,B16005B_003EA,B16005B_004EA,B16005B_004MA,B16005B_005EA,B16005B_005MA,B16005B_006MA,B16005B_006EA,B16005B_007MA,B16005B_007EA,B16005B_008EA,B16005B_008MA,B16005B_009MA,B16005B_009EA,B16005B_010EA,B16005B_010MA,B16005B_011EA,B16005B_011MA,state
0400000US01,1218594,5623,1202934,6534,1192030,6465,10904,2197,8169,1618,2735,1365,15660,3348,5535,1343,10125,2940,6135,2149,3990,1470,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23963,1441,21958,1442,21416,1435,542,356,351,292,191,245,2005,990,596,391,1409,888,852,663,557,500,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,279829,5707,252834,6651,239618,6824,13216,2133,10235,1975,2981,1193,26995,4252,8281,2131,18714,3609,10569,2052,8145,2485,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,436290,4743,433032,4615,427389,5032,5643,1990,4192,1825,1451,786,3258,1257,1739,1105,1519,716,998,545,521,457,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2146153,11974,1979177,14084,1905386,14050,73791,5723,64925,5651,8866,1558,166976,10121,58306,4642,108670,8482,69439,6698,39231,4130,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,209667,5501,178012,5293,168776,5388,9236,1953,7939,1770,1297,512,31655,3803,7334,1791,24321,3392,13036,2660,11285,2427,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,356620,5794,279796,7370,258986,7627,20810,3700,18749,3478,2061,781,76824,6639,42406,4539,34418,4787,22167,3496,12251,2655,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191550,2735,175541,4231,171024,4815,4517,1596,3085,1220,1432,1112,16009,3607,7831,2361,8178,2479,6221,2143,1957,1052,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,297177,2750,276460,3562,269031,4197,7429,1858,6556,1792,873,478,20717,3030,8448,1895,12269,2319,7597,1664,4672,1458,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3041107,14644,2340897,23906,2145026,24847,195871,10941,174583,9143,21288,4271,700210,19798,279047,13360,421163,18881,191404,13374,229759,12151,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2977005,13350,2793377,15915,2726476,16893,66901,6175,56135,5547,10766,2236,183628,10895,79449,6461,104179,9807,61113,6967,43066,6617,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28258,1929,26605,2029,24237,2112,2368,1259,1467,791,901,916,1653,840,701,528,952,608,713,481,239,344,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8196,1105,5636,1586,5569,1590,67,92,44,83,23,38,2560,1472,959,740,1601,940,1279,863,322,262,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1721105,8345,1643585,9573,1605255,10715,38330,3821,30165,3578,8165,1678,77520,7642,25589,3852,51931,6291,31365,4183,20566,3933,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,561483,7069,539943,7719,528888,7873,11055,2739,9415,2572,1640,731,21540,3926,5650,1526,15890,3381,10191,2523,5699,1883,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,97104,3580,82660,4249,78167,4306,4493,1619,3684,1524,809,478,14444,2710,3082,1230,11362,2310,5123,1309,6239,1752,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,160255,4738,147586,4892,143915,4939,3671,1003,3433,992,238,192,12669,2090,2021,805,10648,2044,6854,1608,3794,1209,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
