GEO_ID,B24092_001E,B24092_001M,B24092_002E,B24092_002M,B24092_003E,B24092_003M,B24092_004E,B24092_004M,B24092_005E,B24092_005M,B24092_006E,B24092_006M,B24092_007E,B24092_007M,B24092_008E,B24092_008M,B24092_009E,B24092_009M,B24092_010E,B24092_010M,B24092_011E,B24092_011M,B24092_012E,B24092_012M,B24092_013E,B24092_013M,B24092_014E,B24092_014M,B24092_015E,B24092_015M,B24092_016E,B24092_016M,B24092_017E,B24092_017M,B24092_018E,B24092_018M,NAME,B24092_001MA,B24092_001EA,B24092_002EA,B24092_002MA,B24092_003MA,B24092_003EA,B24092_004MA,B24092_004EA,B24092_005EA,B24092_005MA,B24092_006MA,B24092_006EA,B24092_007MA,B24092_007EA,B24092_008EA,B24092_008MA,B24092_009EA,B24092_009MA,B24092_010MA,B24092_010EA,B24092_011MA,B24092_011EA,B24092_012EA,B24092_012MA,B24092_013EA,B24092_013MA,B24092_014EA,B24092_014MA,B24092_015MA,B24092_015EA,B24092_016EA,B24092_016MA,B24092_017MA,B24092_017EA,B24092_018MA,B24092_018EA,state
0400000US01,45220,741,43046,1621,42422,883,52377,8015,48574,3171,42138,1565,50752,2302,77263,4033,32471,5352,34416,1360,31658,393,31549,389,41526,2171,36044,1534,40387,1253,41227,805,58772,2607,23320,4116,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,59944,4397,55585,3829,55307,4723,57402,10994,51769,4667,68019,6339,66421,4247,67310,6110,60439,20356,43632,3820,38311,2321,37340,1850,60190,15491,49943,7681,52801,3560,61930,3469,51691,4922,27827,7646,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,44841,1317,42729,1514,42046,378,66098,5574,45527,3414,50338,1761,46947,2941,61656,3686,33399,4350,37139,373,36128,439,35932,445,45929,4425,42073,1072,38270,1785,39319,1678,51763,2800,30090,5543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40595,530,40450,637,40063,869,52213,10627,49980,4446,36134,2150,43949,3637,60392,6336,34093,4802,32010,388,30499,577,30372,602,45189,10058,36401,1834,35201,2760,37860,2090,53933,5577,26077,2317,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,50789,146,48612,587,47122,310,74105,4287,55626,1615,70447,622,71134,839,64085,2616,39449,2633,43561,686,40794,194,40601,198,52143,2176,51246,433,55238,797,56575,1262,60426,1407,30382,589,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51848,322,51533,379,51162,371,61906,3305,52288,4337,52878,3178,51974,1909,70492,2689,41725,2523,41747,348,40500,436,40230,456,51369,3803,45532,1707,45403,1242,45872,1525,57487,6395,30761,4080,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61863,486,61923,595,61476,598,86755,10349,62108,2799,68382,3598,67829,5352,61158,4674,46065,2169,50865,512,47336,1189,47341,1237,46555,14474,52401,2820,60813,2408,66304,3293,61042,4890,31485,2527,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51267,767,51181,749,51081,784,52815,6175,52670,5901,46694,5113,47247,5648,72184,10758,49053,8944,45281,1506,41843,1103,41587,1032,53037,13213,50932,2985,43744,5612,49487,2482,60805,3491,35403,24821,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,72921,5432,63993,4044,62598,3995,96367,49489,80123,7384,71494,10880,72316,12403,92636,5966,52314,25685,62375,2992,52622,3335,52579,3298,56167,22559,60551,2696,64116,5873,60515,7937,90115,2847,80780,24454,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,41102,205,40508,215,40028,326,50560,613,45089,2517,47106,1067,45633,1348,62497,3008,29877,2483,35630,231,32907,752,32492,546,40897,1391,40772,810,41358,421,40839,603,56407,2212,23703,2034,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,45699,410,45592,512,45023,911,56888,6934,50888,1456,41369,747,44920,3200,61703,1290,32575,4051,36761,359,33951,940,33629,938,40721,1921,43149,2761,40434,738,40535,782,59084,2764,26958,3547,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,49363,2326,45399,1757,43493,2658,77410,13088,51859,8192,56458,5602,51931,2597,65037,8105,41322,1388,40442,494,37106,706,36932,717,46066,6301,45009,5505,42731,7108,46986,1585,52182,3870,35862,6205,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,43920,2239,42456,1619,41880,773,60953,4415,50911,2221,46667,3426,42414,8227,60925,3543,37193,3616,31759,525,29752,1245,29545,1296,39140,11840,43889,4669,35635,2490,39031,3418,54875,9321,23173,6279,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,52194,211,51485,239,51149,240,69211,4601,52297,3115,66092,1783,65698,1262,65327,2216,41783,866,41379,262,39459,728,39196,757,49679,4893,45907,872,50776,642,50706,1428,58230,1813,30576,978,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,47265,441,47001,453,46517,461,61318,2281,49094,1927,49767,2219,50637,1528,66231,5620,37184,4673,35800,318,33976,821,33582,841,51975,5825,40461,1148,39512,1386,40400,1348,52237,4410,24016,1969,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
