GEO_ID,C17022_001E,C17022_001M,C17022_002E,C17022_002M,C17022_003E,C17022_003M,C17022_004E,C17022_004M,C17022_005E,C17022_005M,C17022_006E,C17022_006M,C17022_007E,C17022_007M,C17022_008E,C17022_008M,C17022_009E,C17022_009M,C17022_010E,C17022_010M,C17022_011E,C17022_011M,C17022_012E,C17022_012M,C17022_013E,C17022_013M,C17022_014E,C17022_014M,C17022_015E,C17022_015M,C17022_016E,C17022_016M,C17022_017E,C17022_017M,C17022_018E,C17022_018M,C17022_019E,C17022_019M,C17022_020E,C17022_020M,C17022_021E,C17022_021M,NAME,C17022_001EA,C17022_001MA,C17022_002MA,C17022_002EA,C17022_003MA,C17022_003EA,C17022_004EA,C17022_004MA,C17022_005EA,C17022_005MA,C17022_006EA,C17022_006MA,C17022_007EA,C17022_007MA,C17022_008MA,C17022_008EA,C17022_009MA,C17022_009EA,C17022_010EA,C17022_010MA,C17022_011EA,C17022_011MA,C17022_012EA,C17022_012MA,C17022_013MA,C17022_013EA,C17022_014MA,C17022_014EA,C17022_015EA,C17022_015MA,C17022_016EA,C17022_016MA,C17022_017EA,C17022_017MA,C17022_018EA,C17022_018MA,C17022_019MA,C17022_019EA,C17022_020MA,C17022_020EA,C17022_021MA,C17022_021EA,state
0400000US01,1213540,13821,231067,7398,81387,4097,149680,5643,21851,2707,127829,4967,38989,3142,21395,2369,17594,1893,4491,866,13103,1578,80801,4667,48085,3311,32716,2938,7869,1712,24847,2453,862683,12487,712807,10197,149876,6777,44028,3537,105848,5657,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,16851,1739,5662,859,11189,1598,3305,794,7884,1399,3974,964,1534,468,2440,820,866,574,1574,582,7145,1216,3886,645,3259,887,1128,434,2131,814,135830,2888,109266,2715,26564,2295,9810,1193,16754,1955,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,277629,7704,122814,5418,154815,6091,33485,2797,121330,5352,56152,3520,29853,2578,26299,2392,7067,1280,19232,1985,98967,4910,58820,4130,40147,3396,13229,1932,26918,2590,1165666,12770,942055,10789,223611,7705,83447,5148,140164,5310,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,150108,6273,64202,4088,85906,4590,14355,1948,71551,4493,32063,2915,20220,2391,11843,1633,3391,935,8452,1355,55426,4182,34780,2695,20646,2644,6370,1483,14276,2289,523897,7769,442095,7868,81802,4539,26008,2991,55794,4131,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,1463664,17726,702002,11436,761662,12742,173454,7385,588208,11484,295804,8420,172974,6180,122830,5753,32872,3047,89958,4903,529526,11540,319003,9371,210523,7316,67169,4309,143354,6338,6546912,28059,5148314,24554,1398598,19903,503066,11678,895532,13926,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,150081,5748,70435,3963,79646,4017,15030,1951,64616,4018,31061,2274,18360,1895,12701,1441,3261,851,9440,1233,65389,3794,40905,3136,24484,2674,8095,1829,16389,2104,1085330,11352,908340,9717,176990,6940,66638,4112,110352,5515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,90568,4629,28000,2288,62568,3872,9905,1793,52663,3467,17048,1924,7647,1263,9401,1597,1807,681,7594,1407,33398,3001,17699,2198,15699,2164,3520,1126,12179,1703,735174,8228,594243,8348,140931,5887,42774,3587,98157,4589,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,28935,2526,10244,1386,18691,2230,3264,1056,15427,2041,7118,1489,2932,920,4186,1119,450,275,3736,1114,10070,1473,5947,1105,4123,1013,897,406,3226,913,189262,4562,151293,4565,37969,3086,11572,1696,26397,2501,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,23471,2413,3998,1117,19473,2198,1938,907,17535,2143,2902,903,1092,567,1810,711,336,263,1474,688,5177,1245,1768,617,3409,961,386,311,3023,921,93628,3543,64999,3161,28629,2540,8174,1520,20455,2014,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,804351,15615,345050,9659,459301,11463,90657,5191,368644,10097,172066,7319,93840,4994,78226,5371,19281,2640,58945,4490,325720,9970,189251,6694,136469,6701,34229,3275,102240,5459,3504474,28363,2816635,24521,687839,13528,215494,8759,472345,11050,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
