GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001EA,B05003I_001MA,B05003I_002EA,B05003I_002MA,B05003I_003EA,B05003I_003MA,B05003I_004EA,B05003I_004MA,B05003I_005MA,B05003I_005EA,B05003I_006EA,B05003I_006MA,B05003I_007EA,B05003I_007MA,B05003I_008EA,B05003I_008MA,B05003I_009EA,B05003I_009MA,B05003I_010MA,B05003I_010EA,B05003I_011EA,B05003I_011MA,B05003I_012EA,B05003I_012MA,B05003I_013EA,B05003I_013MA,B05003I_014EA,B05003I_014MA,B05003I_015EA,B05003I_015MA,B05003I_016EA,B05003I_016MA,B05003I_017EA,B05003I_017MA,B05003I_018EA,B05003I_018MA,B05003I_019EA,B05003I_019MA,B05003I_020EA,B05003I_020MA,B05003I_021EA,B05003I_021MA,B05003I_022EA,B05003I_022MA,B05003I_023EA,B05003I_023MA,state
0400000US01,192870,2261,102026,3664,38902,1942,34440,1766,4462,1608,832,752,3630,1326,63124,3219,21570,2858,41554,3100,8319,2474,33235,2296,90844,3826,37433,2958,34373,3148,3060,1040,346,304,2714,967,53411,2027,21344,2363,32067,2666,9874,2239,22193,2653,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51825,-555555555,26777,774,8468,685,8235,630,233,284,48,47,185,279,18309,752,13950,1213,4359,1078,3027,1035,1332,610,25048,773,8693,599,8333,676,360,499,53,94,307,475,16355,571,11158,1152,5197,974,3196,862,2001,684,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2098411,-555555555,1053382,970,358619,956,344952,2525,13667,2397,1581,638,12086,2372,694763,151,434411,7829,260352,7845,80921,4234,179431,7256,1045029,970,346216,955,331555,2608,14661,2339,2456,809,12205,2191,698813,154,419858,6857,278955,6849,99545,4456,179410,7213,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,207743,2071,108721,2466,43658,2048,40346,2508,3312,1336,283,342,3029,1300,65063,1328,22854,2208,42209,2228,10195,1701,32014,2476,99022,2006,38120,1866,35747,1684,2373,1014,635,582,1738,820,60902,1465,23661,2364,37241,2220,9033,1639,28208,2534,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15184545,-555555555,7637642,2003,2411066,1702,2304226,6943,106840,6599,14795,2366,92045,6016,5226576,1008,2637641,22308,2588935,22234,879194,15344,1709741,21376,7546903,2002,2325477,1662,2222043,6257,103434,6052,13815,2169,89619,5233,5221426,880,2630573,19352,2590853,19237,1012554,14174,1578299,18803,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164278,-555555555,593700,2122,200825,1977,192434,2978,8391,1961,926,455,7465,1953,392875,1108,251428,6631,141447,6685,31282,2678,110165,6264,570578,2124,192196,1919,184822,2282,7374,1715,401,277,6973,1711,378382,994,254966,5856,123416,5603,34956,3009,88460,4769,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,553783,-555555555,276489,962,88600,915,82604,1680,5996,1561,1304,580,4692,1449,187889,498,116581,4541,71308,4611,21115,2148,50193,4640,277294,962,85844,915,80176,1724,5668,1455,1299,683,4369,1430,191450,497,125631,4250,65819,4173,26013,2701,39806,4175,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,85306,-555555555,44559,636,15725,547,14798,599,927,535,375,414,552,335,28834,245,14575,1560,14259,1485,3534,986,10725,1600,40747,636,14659,547,14046,663,613,378,219,261,394,289,26088,245,13532,1523,12556,1540,4137,984,8419,1371,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,71129,-555555555,36592,319,9348,319,8802,579,546,531,59,71,487,534,27244,-555555555,11914,2006,15330,2006,5032,1372,10298,2056,34537,318,8228,318,7396,880,832,793,41,67,791,793,26309,-555555555,11919,1415,14390,1415,5639,1054,8751,1494,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,4962905,1011,2442736,2884,622102,2540,556071,5995,66031,5564,13145,2766,52886,4609,1820634,1860,763351,14297,1057283,14171,503189,10785,554094,13811,2520169,2959,602471,2587,542413,5854,60058,5050,13742,2062,46316,4687,1917698,1878,782950,13279,1134748,13159,633228,11370,501520,14079,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
