GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001MA,B05003A_001EA,B05003A_002MA,B05003A_002EA,B05003A_003MA,B05003A_003EA,B05003A_004EA,B05003A_004MA,B05003A_005MA,B05003A_005EA,B05003A_006MA,B05003A_006EA,B05003A_007MA,B05003A_007EA,B05003A_008MA,B05003A_008EA,B05003A_009EA,B05003A_009MA,B05003A_010MA,B05003A_010EA,B05003A_011MA,B05003A_011EA,B05003A_012MA,B05003A_012EA,B05003A_013MA,B05003A_013EA,B05003A_014MA,B05003A_014EA,B05003A_015EA,B05003A_015MA,B05003A_016MA,B05003A_016EA,B05003A_017MA,B05003A_017EA,B05003A_018MA,B05003A_018EA,B05003A_019MA,B05003A_019EA,B05003A_020EA,B05003A_020MA,B05003A_021EA,B05003A_021MA,B05003A_022EA,B05003A_022MA,B05003A_023EA,B05003A_023MA,state
0400000US01,3329913,5703,1632627,4586,354736,3160,351367,3042,3369,1193,1188,708,2181,857,1277891,2584,1240283,2932,37608,3189,10388,1627,27220,3018,1697286,4446,337452,3232,335174,3412,2278,845,682,338,1596,785,1359834,2438,1324765,2903,35069,3075,15614,2158,19455,2150,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481314,3176,256855,1967,52054,1030,51818,1065,236,239,236,239,0,149,204801,1459,197472,1847,7329,1317,4418,869,2911,962,224459,2034,48312,1067,48120,1043,192,168,192,168,0,149,176147,1301,166559,1827,9588,1464,6442,1284,3146,742,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5285994,24068,2621616,12388,585190,5672,573279,5365,11911,2320,1672,673,10239,2271,2036426,9490,1779801,9550,256625,9112,102210,5235,154415,7712,2664378,13728,558649,7324,546079,7138,12570,1974,2034,697,10536,1956,2105729,9147,1826986,9275,278743,8778,123415,4756,155328,8274,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2308047,6642,1138948,3901,260326,2634,257421,2969,2905,1217,204,208,2701,1221,878622,2540,843566,2775,35056,2506,10165,1614,24891,2314,1169099,4189,240426,2931,238453,2728,1973,814,499,349,1474,778,928673,2643,896127,2871,32546,2928,11209,1736,21337,2470,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23824254,64923,11895279,35545,2646729,16189,2545313,16405,101416,6717,18804,2724,82612,6039,9248550,25927,7115716,24400,2132834,24108,930082,15983,1202752,23249,11928975,33751,2532308,17455,2442684,17155,89624,5528,13914,1999,75710,4930,9396667,21926,7195537,22129,2201130,20395,1070171,17232,1130959,16909,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4607390,13594,2312734,7223,513164,4257,505327,4286,7837,1686,1006,429,6831,1714,1799570,5367,1645837,6807,153733,6713,50405,3726,103328,5752,2294656,8554,487518,4600,478821,4707,8697,1763,879,360,7818,1762,1807138,5388,1658203,6252,148935,6170,63472,3730,85463,4973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2747943,12766,1335947,7503,266903,3758,260093,3872,6810,1405,1450,617,5360,1361,1069044,5331,951751,6174,117293,6023,58776,4307,58517,4703,1411996,6685,258025,2928,251625,3107,6400,1658,2249,990,4151,1142,1153971,4835,1025477,6759,128494,6161,73011,4012,55483,4810,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,654904,4740,319020,2761,63527,1629,62524,1501,1003,657,703,548,300,327,255493,1849,239666,1654,15827,1837,6796,1360,9031,1394,335884,2557,60881,1207,59952,1377,929,532,531,402,398,299,275003,1701,258091,2030,16912,1712,7864,1314,9048,1264,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,269143,3524,133725,2033,15733,1003,14635,1369,1098,690,137,182,961,674,117992,1621,100955,2145,17037,2303,6697,1199,10340,1934,135418,1941,15478,910,15044,931,434,325,0,200,434,325,119940,1523,101966,2297,17974,2354,7939,1596,10035,2068,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15357374,27705,7524791,16106,1415578,8733,1345818,10541,69760,6424,14797,2953,54963,5299,6109213,11315,4902344,16854,1206869,18156,615602,11897,591267,17145,7832583,15553,1353979,7215,1288290,9023,65689,5517,15469,2249,50220,5108,6478604,11466,5151689,14887,1326915,16619,760503,13403,566412,14741,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
