GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,B15002D_018E,B15002D_018M,B15002D_019E,B15002D_019M,NAME,B15002D_001MA,B15002D_001EA,B15002D_002MA,B15002D_002EA,B15002D_003EA,B15002D_003MA,B15002D_004EA,B15002D_004MA,B15002D_005EA,B15002D_005MA,B15002D_006EA,B15002D_006MA,B15002D_007MA,B15002D_007EA,B15002D_008MA,B15002D_008EA,B15002D_009EA,B15002D_009MA,B15002D_010EA,B15002D_010MA,B15002D_011EA,B15002D_011MA,B15002D_012MA,B15002D_012EA,B15002D_013MA,B15002D_013EA,B15002D_014EA,B15002D_014MA,B15002D_015EA,B15002D_015MA,B15002D_016EA,B15002D_016MA,B15002D_017EA,B15002D_017MA,B15002D_018MA,B15002D_018EA,B15002D_019MA,B15002D_019EA,state
0400000US01,40066,1720,18323,1225,991,464,1051,508,1071,407,284,227,2881,1161,875,515,5947,1086,5223,1143,21743,1319,1414,562,2159,764,3904,976,568,388,2976,857,1402,718,4991,845,4329,1021,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30790,995,13520,644,1772,684,723,410,3869,859,291,245,3693,755,673,366,1920,632,579,385,17270,746,1767,532,1351,523,3725,694,285,275,3962,768,1125,505,4259,897,796,405,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,151375,2980,68509,1850,4772,1049,3456,944,7253,1518,900,380,8365,1351,3376,1035,18284,1936,22103,2424,82866,2084,5696,1126,4714,1060,11748,1797,665,344,12105,1689,6288,1211,25832,2218,15818,1644,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27638,1835,13019,1090,572,302,831,448,1573,658,683,416,1132,540,827,487,3164,763,4237,593,14619,1363,1821,433,855,432,2398,711,500,309,1031,407,1182,566,2640,692,4192,1109,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4033232,11097,1846422,6716,116805,5144,83106,4411,240257,7711,20289,2258,295241,6560,129958,4348,583356,10040,377410,8172,2186810,6703,209797,6599,104830,4316,300646,8105,19461,1878,296541,7986,168870,6272,722434,11311,364231,8690,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,109813,2615,48892,1684,2926,749,2702,839,7275,1249,813,366,5923,1116,2501,725,14176,1497,12576,1561,60921,1682,6743,1286,4159,958,9510,1481,793,418,6562,1303,4291,873,16612,1691,12251,1575,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,106083,1737,50332,1310,3056,974,1585,676,6036,1569,437,330,4179,944,1726,561,16192,1871,17121,2095,55751,1456,3642,1010,2005,728,6981,1265,668,384,5703,1345,3847,1294,16938,1793,15967,1889,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24681,1038,11689,912,617,416,182,198,687,403,227,222,1223,485,312,269,3205,829,5236,1028,12992,434,494,351,548,342,1579,522,294,307,938,358,773,377,4166,892,4200,843,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19795,893,7972,609,273,154,137,156,304,236,0,200,519,320,641,628,2074,631,4024,766,11823,628,619,403,218,211,649,323,0,200,757,376,251,260,3047,688,6282,777,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,384019,5761,168974,3395,10424,1760,8634,1787,26807,2775,3741,1225,19471,2172,11645,1872,45751,2901,42501,3224,215045,3787,17863,2033,11703,1964,38685,3979,5988,1185,24198,2815,18114,2313,57854,3779,40640,2732,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,259293,3441,122275,2652,5442,1015,7973,1631,18470,2605,2655,810,13345,2062,5590,1387,32552,3235,36248,2781,137018,2133,11242,1749,9538,1734,25570,2828,1436,552,14868,1852,8239,1765,39025,3381,27100,2347,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,416451,6244,188203,3963,11571,1590,12343,1852,48343,3025,2744,693,33316,2330,21818,2006,41367,2934,16701,1620,228248,3747,19022,2144,12299,1689,55229,3467,3181,772,39196,2651,26900,2552,53006,3345,19415,1829,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
