GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,NAME,C17001I_001MA,C17001I_001EA,C17001I_002MA,C17001I_002EA,C17001I_003MA,C17001I_003EA,C17001I_004MA,C17001I_004EA,C17001I_005MA,C17001I_005EA,C17001I_006EA,C17001I_006MA,C17001I_007MA,C17001I_007EA,C17001I_008MA,C17001I_008EA,C17001I_009MA,C17001I_009EA,C17001I_010EA,C17001I_010MA,C17001I_011EA,C17001I_011MA,C17001I_012MA,C17001I_012EA,C17001I_013MA,C17001I_013EA,C17001I_014MA,C17001I_014EA,C17001I_015MA,C17001I_015EA,C17001I_016EA,C17001I_016MA,C17001I_017EA,C17001I_017MA,C17001I_018MA,C17001I_018EA,C17001I_019MA,C17001I_019EA,state
0400000US01,189127,2089,60432,6304,31087,3664,17905,2401,13011,2096,171,128,29345,3866,15877,2881,12953,1769,515,417,128695,6806,68986,5377,20815,2716,46219,3805,1952,780,59709,3716,21265,2139,35614,2663,2830,806,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49486,753,4601,1800,2026,752,910,521,1116,539,0,149,2575,1273,996,597,1378,796,201,231,44885,1957,23056,1253,7473,816,15068,988,515,334,21829,1452,7130,878,13535,1012,1164,411,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2047715,3308,538357,23021,245056,12102,120405,7122,116068,7724,8583,1321,293301,13311,121640,7363,157197,7379,14464,1808,1509358,23062,767591,12652,232288,7017,484552,8137,50751,1532,741767,13099,221205,7367,461024,7258,59538,1815,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,204200,2263,67505,7484,35003,4066,20758,3112,13630,1896,615,355,32502,4332,14537,2664,16947,2325,1018,572,136695,7295,71373,4069,22588,3012,46189,2245,2596,756,65322,4532,23048,3024,39205,2380,3069,973,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14918784,7883,3137236,51609,1434841,27575,672623,15479,702818,16030,59400,3697,1702395,29324,655996,15421,953019,17781,93380,4692,11781548,51274,6023916,27255,1697866,15779,3962606,16140,363444,3971,5757632,29307,1634508,15872,3654486,17838,468638,4428,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1139312,2558,220646,14876,97570,7764,47864,4636,44767,4293,4939,1137,123076,8413,48931,4348,67774,5269,6371,1096,918666,14903,478512,8634,149660,5262,301756,4941,27096,1264,440154,8269,140701,4508,266777,5384,32676,1551,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,540349,1685,134730,9763,60307,4877,29173,3071,28284,2853,2850,784,74423,6081,28279,3137,41272,3839,4872,999,405619,10132,206895,5224,57281,3315,139914,3084,9700,926,198724,6103,56873,2929,129974,3965,11877,1045,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,83669,535,24795,4564,12821,2652,6058,1419,6549,1665,214,265,11974,2390,5418,1421,6029,1282,527,309,58874,4521,30507,2701,9478,1507,19086,1624,1943,474,28367,2439,9025,1460,17970,1297,1372,357,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68460,866,7921,2690,4630,1765,1422,899,2859,1304,349,424,3291,1379,479,441,2209,967,603,522,60539,2598,30854,1849,7886,945,22203,1312,765,640,29685,1382,7651,576,20336,905,1698,527,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4889573,4343,1005587,34707,448476,18077,175166,9411,222846,10714,50464,3544,557111,21218,165771,10347,316286,12560,75054,4374,3883986,35800,1942935,18482,437867,9429,1322630,11491,182438,4142,1941051,21613,429632,10632,1257581,12404,253838,4489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,927062,3067,254558,15975,126750,8348,66908,5546,58095,4453,1747,684,127808,9265,59218,5218,64391,5177,4199,968,672504,15971,352652,8834,110763,5785,230966,5092,10923,1346,319852,10079,108320,5662,196982,5653,14550,1659,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,142882,929,23183,3872,11150,2349,6372,1671,4586,1227,192,185,12033,2363,4846,1266,6978,1433,209,207,119699,3841,63207,2667,22284,1869,37865,1431,3058,238,56492,2494,20455,1449,32688,1465,3349,322,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,193725,1816,46260,5753,23020,3663,12279,2335,10403,2055,338,345,23240,2988,10285,2000,12329,1926,626,408,147465,6014,73910,3963,26260,2671,44515,2329,3135,803,73555,3123,27116,2032,42355,2157,4084,766,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2137237,2837,413779,20084,188311,10833,98852,6881,82853,5411,6606,1335,225468,11300,95384,7150,119694,5755,10390,1560,1723458,19816,901389,10797,264467,6773,590384,5820,46538,1672,822069,11071,255324,6697,515733,6026,51012,1666,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,427052,2462,115184,7810,51937,3808,29269,2815,21597,2267,1071,520,63247,5223,29957,3253,32030,2841,1260,499,311868,7736,167275,4796,52907,3089,107131,3391,7237,1092,144593,5152,51015,3218,85103,3369,8475,1203,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,169532,1266,43392,5027,19592,2610,10900,1738,8031,1777,661,391,23800,3208,10837,2118,12531,1528,432,250,126140,5323,67614,3181,23194,1938,42391,2047,2029,636,58526,3521,23519,2110,33120,2065,1887,532,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
