GEO_ID,C08524_001E,C08524_001M,C08524_002E,C08524_002M,C08524_003E,C08524_003M,C08524_004E,C08524_004M,C08524_005E,C08524_005M,C08524_006E,C08524_006M,C08524_007E,C08524_007M,C08524_008E,C08524_008M,C08524_009E,C08524_009M,C08524_010E,C08524_010M,C08524_011E,C08524_011M,C08524_012E,C08524_012M,C08524_013E,C08524_013M,C08524_014E,C08524_014M,C08524_015E,C08524_015M,C08524_016E,C08524_016M,C08524_017E,C08524_017M,C08524_018E,C08524_018M,C08524_019E,C08524_019M,C08524_020E,C08524_020M,C08524_021E,C08524_021M,C08524_022E,C08524_022M,C08524_023E,C08524_023M,C08524_024E,C08524_024M,C08524_025E,C08524_025M,C08524_026E,C08524_026M,C08524_027E,C08524_027M,C08524_028E,C08524_028M,C08524_029E,C08524_029M,C08524_030E,C08524_030M,C08524_031E,C08524_031M,C08524_032E,C08524_032M,C08524_033E,C08524_033M,C08524_034E,C08524_034M,C08524_035E,C08524_035M,C08524_036E,C08524_036M,C08524_037E,C08524_037M,C08524_038E,C08524_038M,C08524_039E,C08524_039M,C08524_040E,C08524_040M,C08524_041E,C08524_041M,C08524_042E,C08524_042M,NAME,C08524_001MA,C08524_001EA,C08524_002MA,C08524_002EA,C08524_003MA,C08524_003EA,C08524_004MA,C08524_004EA,C08524_005EA,C08524_005MA,C08524_006MA,C08524_006EA,C08524_007MA,C08524_007EA,C08524_008MA,C08524_008EA,C08524_009MA,C08524_009EA,C08524_010MA,C08524_010EA,C08524_011MA,C08524_011EA,C08524_012MA,C08524_012EA,C08524_013MA,C08524_013EA,C08524_014MA,C08524_014EA,C08524_015MA,C08524_015EA,C08524_016EA,C08524_016MA,C08524_017MA,C08524_017EA,C08524_018MA,C08524_018EA,C08524_019MA,C08524_019EA,C08524_020MA,C08524_020EA,C08524_021EA,C08524_021MA,C08524_022MA,C08524_022EA,C08524_023MA,C08524_023EA,C08524_024MA,C08524_024EA,C08524_025MA,C08524_025EA,C08524_026EA,C08524_026MA,C08524_027EA,C08524_027MA,C08524_028MA,C08524_028EA,C08524_029MA,C08524_029EA,C08524_030MA,C08524_030EA,C08524_031EA,C08524_031MA,C08524_032EA,C08524_032MA,C08524_033MA,C08524_033EA,C08524_034MA,C08524_034EA,C08524_035MA,C08524_035EA,C08524_036EA,C08524_036MA,C08524_037EA,C08524_037MA,C08524_038EA,C08524_038MA,C08524_039MA,C08524_039EA,C08524_040EA,C08524_040MA,C08524_041MA,C08524_041EA,C08524_042MA,C08524_042EA,state
0400000US01,1964105,15947,668383,14564,318329,9819,465161,10327,188449,7188,319899,8879,3884,874,1677578,18087,579717,14401,263167,9115,405490,10049,151737,6161,274029,8273,3438,835,176571,8805,49781,4042,36281,3849,32687,3643,26098,3315,31647,3580,77,104,5882,1434,870,439,2156,882,1022,419,561,447,1273,705,0,189,40317,3745,10915,1792,9657,1687,8505,1685,4420,1277,6631,1385,189,179,63757,4204,27100,2757,7068,1338,17457,2691,5633,1529,6319,1539,180,125,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,371382,5372,131159,4883,63041,4187,80400,5499,46293,3186,42174,3784,8315,1146,249521,5701,91493,4207,41519,3341,55434,4394,28441,2347,27656,3048,4978,1009,46229,3668,15345,1917,8330,1541,12070,1805,6423,1337,3113,808,948,504,5676,1240,1152,498,1404,716,1588,706,1150,557,353,241,29,52,53861,3148,15715,1920,9013,1182,8765,1508,8416,1339,9765,1576,2187,822,16095,2050,7454,1106,2775,869,2543,754,1863,803,1287,405,173,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2872284,18674,990904,14949,565302,13244,754412,13112,262966,9858,291082,9212,7618,1516,2214950,18622,785243,13856,411334,10599,589448,12889,197668,8775,225493,7706,5764,1285,304761,9793,84533,5255,73151,5214,71562,4645,38911,3582,36129,3653,475,285,58998,4747,10537,1651,18552,2604,18008,2343,5022,2205,6843,1425,36,60,133894,6032,33538,3039,39888,3331,30765,2823,13225,2109,15508,2085,970,609,159681,5505,77053,4117,22377,2484,44629,3295,8140,2023,7109,1453,373,203,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249200,11927,398173,8293,206784,7197,294750,8241,137094,6033,210902,7954,1497,383,1034815,13127,337059,7508,164140,6090,252412,8549,106628,4536,173447,7734,1129,494,133098,6612,33240,2797,25475,2583,24977,2679,21410,2931,27675,2547,321,316,5537,1325,1757,589,1410,568,948,615,42,60,1380,711,0,189,37380,3531,8138,1378,10296,1504,8326,1616,4144,1252,6429,1436,47,78,38370,2875,17979,2019,5463,1172,8087,1312,4870,1197,1971,621,0,189,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17630992,45581,6635540,39715,3280162,32921,4032737,32959,1644884,22154,1977135,19761,60534,4332,13031458,44167,4937541,33961,2302350,27511,3049800,26449,1190539,15742,1516101,18748,35127,3670,1770645,23375,532401,10278,356800,10107,361727,11844,281992,10506,232995,7935,4730,1266,923092,17850,354616,9885,221195,9606,212907,7172,42512,4617,90234,5191,1628,720,935758,16903,318071,9022,215661,9076,202555,7843,88381,5927,99346,5618,11744,2574,970039,14583,492911,11998,184156,7275,205748,8063,41460,3803,38459,3296,7305,1999,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2731235,18274,1115218,13112,454440,10934,645303,14131,254233,8898,244236,7479,17805,1827,2089507,15608,844238,12102,342085,8724,500706,12364,197984,7443,194217,6733,10277,1661,230890,9577,78074,4815,44122,3474,48513,4370,36225,3979,22948,2497,1008,496,80556,5086,31585,2999,18233,2590,19996,2755,3061,910,7681,1591,0,189,135378,5469,49995,3249,28099,2802,30108,2891,7331,1221,13508,2336,6337,862,194904,7005,111326,5395,21901,2074,45980,3111,9632,1746,5882,1096,183,189,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1741224,12778,728469,11881,301807,9197,409667,11036,130450,7136,165788,6640,5043,880,1389816,14284,596182,10784,226636,8264,327036,9535,105826,6168,132482,6219,1654,656,136424,8492,43650,4267,31724,3524,26770,2808,15890,2685,17981,2327,409,357,60388,4654,16141,2113,17256,2499,18265,2779,2274,818,6452,1348,0,189,69717,4494,24512,2320,16240,2127,18613,2505,2540,1028,6364,1341,1448,785,84879,4806,47984,3355,9951,1721,18983,2074,3920,1083,2509,742,1532,867,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,440156,7251,181300,6198,79584,4632,104735,4261,36656,3305,36975,3083,906,407,359048,8389,151697,6201,61112,4133,86091,4407,30335,2913,29115,2692,698,389,36013,3538,11130,1780,9045,2160,7553,1527,3739,941,4500,1232,46,80,9432,1593,2194,648,2566,835,3592,1004,71,118,1009,581,0,189,14785,1936,4370,998,4227,1116,3885,920,751,443,1428,675,124,228,20878,2186,11909,1588,2634,901,3614,793,1760,914,923,412,38,65,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,839206,12936,509684,10267,124903,6268,127456,5301,41095,4064,30705,3255,5363,1136,350625,9708,196069,6501,57644,4577,48510,3363,26301,2777,18989,2753,3112,868,73586,4271,42656,3289,9251,1808,11453,1532,7495,1582,2439,796,292,175,319153,8187,207122,6647,46600,3985,51674,3649,5673,1396,6794,1197,1290,413,74313,5118,49088,3833,8961,2068,12752,1974,1109,572,1887,656,516,313,21529,2463,14749,1718,2447,1066,3067,1075,517,392,596,387,153,174,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8827805,36427,3026301,26354,1770359,24856,2379266,27753,817193,19933,808519,17609,26167,2466,7042650,36939,2466295,22661,1366481,23376,1919316,25844,618970,16156,652444,15667,19144,2302,792524,18247,219017,7713,186550,9244,194563,9395,113174,7432,77822,5053,1398,598,192889,8964,32002,2924,71981,6044,49796,4434,21081,4065,16741,2859,1288,744,306435,10125,66545,5069,90812,5326,76538,5745,31356,3882,38309,4395,2875,802,493307,15108,242442,9638,54535,4677,139053,6809,32612,4314,23203,3467,1462,569,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
