GEO_ID,B28009B_001E,B28009B_001M,B28009B_002E,B28009B_002M,B28009B_003E,B28009B_003M,B28009B_004E,B28009B_004M,B28009B_005E,B28009B_005M,B28009B_006E,B28009B_006M,NAME,B28009B_001MA,B28009B_001EA,B28009B_002EA,B28009B_002MA,B28009B_003MA,B28009B_003EA,B28009B_004EA,B28009B_004MA,B28009B_005MA,B28009B_005EA,B28009B_006EA,B28009B_006MA,state
0400000US01,1255754,6457,987004,14973,4786,1616,787974,16542,194244,12939,268750,13482,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23363,1758,21805,1990,118,189,18146,2819,3541,1814,1558,1414,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,287601,6518,256085,6973,792,768,221305,8275,33988,5939,31516,5230,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,448870,5524,350967,9558,3197,1421,250926,9023,96844,7325,97903,8786,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2156673,14834,1922486,19501,8556,1944,1652151,24658,261779,14852,234187,11088,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,213958,6195,195129,7061,835,826,171821,7467,22473,4186,18829,3834,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,361379,6495,327765,7695,1461,1006,289120,8565,37184,5547,33614,4704,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,194883,3420,167876,5110,278,337,143405,5573,24193,4002,27007,4170,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,301122,3215,260039,4588,1289,859,196557,7420,62193,7197,41083,4131,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3149542,15681,2700213,27545,9536,2805,2214550,32390,476127,23568,449329,22836,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3080939,15651,2707639,21675,7330,2281,2203885,28241,496424,19766,373300,14579,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,25370,1999,24941,2026,0,182,23550,2237,1391,809,429,480,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8249,1372,8140,1400,0,193,5648,1563,2492,1582,109,117,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1760665,8874,1470599,15781,5686,1666,1183483,18828,281430,16518,290066,13443,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,576422,7732,472248,11170,1445,830,374754,13009,96049,8720,104174,8917,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,97713,4061,79838,4768,309,232,65423,5103,14106,3402,17875,3363,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,163040,4927,134544,5882,785,955,114706,6250,19053,4052,28496,4199,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,330973,5717,275905,8604,1302,1155,206228,10205,68375,7564,55068,6773,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1439844,7671,1130249,15631,7829,2828,878664,18951,243756,16387,309595,14724,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13852,1726,12436,1776,34,48,11059,1878,1343,973,1416,866,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1716173,10033,1585101,13081,9131,2756,1369604,16452,206366,12274,131072,9168,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,474263,9002,431377,9969,1431,1028,385271,10828,44675,5956,42886,5993,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1319593,9342,1122070,14551,3363,1093,828914,16817,289793,13982,197523,10726,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,305797,5359,282799,6386,1336,1145,230535,8550,50928,7135,22998,4057,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1086399,4965,843501,13814,4553,2077,583493,18097,255455,15590,242898,13583,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,674341,7182,567890,9855,3320,1867,445776,13277,118794,10263,106451,8347,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4059,1062,3735,1038,0,165,3649,1039,86,91,324,279,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,85108,3080,68155,3933,88,145,60368,4390,7699,2558,16953,2798,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,238631,4832,213562,5842,2124,1556,170249,8450,41189,6567,25069,4380,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,18592,1925,17585,2086,90,168,16125,2238,1370,973,1007,577,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1143762,9824,1016874,12265,4596,2587,898015,14586,114263,9673,126888,8588,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,45052,2954,38216,2854,399,357,29711,3075,8106,2633,6836,2477,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2942447,16842,2598401,19147,8445,2335,2218083,22561,371873,16816,344046,15322,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2086007,11248,1748016,18269,7410,2265,1416068,23242,324538,15583,337991,14105,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,13966,1453,10877,1467,0,151,9620,1507,1257,656,3089,1642,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1363177,12077,1165184,14512,3793,1754,955973,16498,205418,11826,197993,9112,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,266483,5338,219345,6300,252,258,171407,7264,47686,6001,47138,3982,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,71821,3365,66391,3806,0,197,56221,4270,10170,2502,5430,1899,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1319506,10528,1136390,14942,6634,2456,933019,18414,196737,12505,183116,12025,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,62154,4179,53900,4467,475,457,48522,4430,4903,1828,8254,2240,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1295464,6964,1049956,11778,7099,2754,777444,16099,265413,15509,245508,10444,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,11125,1353,8228,1656,0,151,6848,1736,1380,1079,2897,1647,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1067381,8723,859390,14849,2539,1593,666704,16069,190147,14052,207991,11227,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3147855,17612,2696521,25614,18434,6870,2190693,30469,487394,20531,451334,19835,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,33569,2030,31948,2261,0,187,27028,2884,4920,2444,1621,1049,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7190,930,6745,1006,0,149,5888,960,857,581,445,456,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1534224,11111,1344254,16989,7238,2006,1114721,18386,222295,14182,189970,12331,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,250976,7219,237517,7568,1052,798,208541,7540,27924,4546,13459,2774,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,62852,3662,56180,3554,105,183,45878,3978,10197,2774,6672,1460,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,345143,4687,296103,5946,755,502,228669,7773,66679,6220,49040,4491,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
