GEO_ID,C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,NAME,C19201_001MA,C19201_001EA,C19201_002EA,C19201_002MA,C19201_003EA,C19201_003MA,C19201_004EA,C19201_004MA,C19201_005EA,C19201_005MA,C19201_006EA,C19201_006MA,C19201_007EA,C19201_007MA,C19201_008MA,C19201_008EA,C19201_009EA,C19201_009MA,C19201_010EA,C19201_010MA,C19201_011EA,C19201_011MA,state
0400000US01,632850,11633,110798,5367,82471,4422,120863,5735,83507,4491,89557,4863,81073,5393,32106,3077,21059,2277,5753,1194,5663,1104,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86385,3614,6727,1194,5789,1088,9745,1368,8897,1277,13435,1706,15456,1832,12394,2051,9486,1455,2314,632,2142,719,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,864594,12728,117961,6444,71104,3831,144965,5666,111925,5332,132933,6055,134803,5968,67360,4372,53512,3600,14235,1761,15796,1694,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,383169,8477,67237,3851,52008,3219,77184,4569,54769,3455,53411,3197,45711,3500,16634,2179,10535,1677,2612,866,3068,843,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4060451,23969,438482,7970,380055,9258,529403,12509,409890,8872,503955,10696,637799,12775,401128,11077,414908,9480,166822,6268,178009,6352,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,742874,10127,75505,4487,53067,3903,104550,5459,87222,4592,122577,5313,137408,6000,70637,4607,58470,3409,17434,2029,16004,2140,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,467515,8897,51215,2921,35143,3161,67053,3885,50774,3691,69591,3525,78985,4869,47596,3300,40675,2816,13480,1568,13003,1665,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,117210,4664,12295,1697,7790,1360,18144,1789,15022,2090,19550,2323,21089,2500,12394,1832,6507,1147,2149,675,2270,688,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,156609,4612,16905,2096,8002,1360,11951,1611,11828,1947,15771,1927,23480,2401,19373,2229,27112,2395,10171,1509,12016,1644,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2656573,24612,361036,10216,250860,8695,463104,10807,363805,9397,393367,10065,408193,10322,183305,7293,143058,5387,42278,3353,47567,3445,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
