GEO_ID,C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,NAME,C15002G_001EA,C15002G_001MA,C15002G_002EA,C15002G_002MA,C15002G_003EA,C15002G_003MA,C15002G_004MA,C15002G_004EA,C15002G_005EA,C15002G_005MA,C15002G_006MA,C15002G_006EA,C15002G_007MA,C15002G_007EA,C15002G_008MA,C15002G_008EA,C15002G_009EA,C15002G_009MA,C15002G_010EA,C15002G_010MA,C15002G_011MA,C15002G_011EA,state
0400000US01,39035,3301,18562,2130,3405,1053,2985,876,8251,1360,3921,789,20473,2029,3197,868,4573,935,7294,1631,5409,1181,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25030,2084,12584,1374,835,397,4529,876,4822,1085,2398,709,12446,1353,863,369,3194,822,6003,1158,2386,678,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,88047,5410,43953,3312,5912,1659,10718,1962,16451,2237,10872,1683,44094,3375,4660,1073,8374,1535,17246,2206,13814,2197,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25857,3124,13025,1836,2105,700,3934,1122,3463,945,3523,978,12832,2096,2337,813,3865,853,3700,1318,2930,921,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,779480,15728,377282,10143,47148,3325,78787,4915,132259,5687,119088,5709,402198,9513,47942,3186,68037,5144,147514,6199,138705,6237,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80338,4684,40138,3506,3709,1209,9249,1582,13566,2023,13614,1840,40200,2677,2422,825,8087,1355,15354,1902,14337,1803,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42698,4122,21523,2728,3267,1139,5462,1290,7471,1855,5323,1059,21175,2581,2146,592,4589,1205,7218,1434,7222,1441,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9375,1509,4682,1249,348,300,980,561,1409,540,1945,1004,4693,981,125,139,848,402,1767,712,1953,672,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11920,2027,5061,1398,505,659,728,542,467,239,3361,887,6859,1100,774,443,623,390,1353,646,4109,808,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,224731,10304,110616,6859,17259,3074,25575,3209,33711,3919,34071,3695,114115,6361,11997,1788,25438,2851,41960,3629,34720,3455,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
