GEO_ID,C15010G_001E,C15010G_001M,C15010G_002E,C15010G_002M,C15010G_003E,C15010G_003M,C15010G_004E,C15010G_004M,C15010G_005E,C15010G_005M,C15010G_006E,C15010G_006M,NAME,C15010G_001MA,C15010G_001EA,C15010G_002EA,C15010G_002MA,C15010G_003EA,C15010G_003MA,C15010G_004EA,C15010G_004MA,C15010G_005MA,C15010G_005EA,C15010G_006EA,C15010G_006MA,state
0400000US01,9330,1420,2901,818,752,298,1729,720,1043,477,2905,875,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4784,1070,2055,725,285,239,862,485,848,517,734,299,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24686,2800,9190,1511,2889,975,4988,1414,1868,565,5751,1344,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6453,1389,2887,986,549,491,1294,427,895,538,828,410,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,257793,9132,104614,5281,19388,2280,43789,3821,10251,1650,79751,4082,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27951,2636,11268,1657,2182,912,6518,1346,1990,669,5993,1285,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,12545,1823,5823,1208,381,206,1532,547,438,283,4371,1099,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3898,1211,1394,549,55,93,1406,954,323,229,720,354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7470,1213,3361,917,253,198,804,407,312,225,2740,856,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,68791,5409,25408,3515,6605,1475,14885,2235,5911,1493,15982,2324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31392,3586,11734,1922,2661,955,6971,1916,3338,1118,6688,1479,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,39416,3187,14028,1609,3199,807,6856,1173,4431,867,10902,1704,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4145,1332,1881,944,679,425,679,470,289,289,617,391,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42748,3169,15431,1965,3238,685,7947,1361,4071,1066,12061,1701,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,13761,1999,4767,1251,1199,529,2092,1042,2235,856,3468,984,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3660,947,1738,613,271,195,744,502,121,112,786,472,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,8307,1310,2368,611,1275,476,1635,716,943,422,2086,560,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8209,1352,3220,825,703,416,1313,528,872,417,2101,736,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9425,1595,3517,1083,1169,589,1382,590,1128,552,2229,777,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3299,880,1227,605,370,307,395,287,529,306,778,377,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,31745,3013,13470,1956,2461,840,5108,966,3071,991,7635,1577,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,27978,2843,12162,1580,2524,809,6122,1495,1113,438,6057,1207,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,23469,2652,8705,1344,2242,760,4007,1026,2128,599,6387,1173,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,17994,2395,7565,1419,1296,1077,3285,961,1423,539,4425,878,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,3218,1182,842,596,284,221,590,361,603,420,899,696,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,17437,2190,5687,1180,2158,755,3139,847,1612,556,4841,1000,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3161,905,977,428,204,146,670,397,427,255,883,601,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,3280,725,1063,397,399,310,999,351,328,281,491,281,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,13595,1740,3891,827,1092,568,3545,799,1719,882,3348,1085,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,2323,838,1379,743,98,109,416,296,69,137,361,222,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,32213,2699,12431,1682,2146,716,7716,1291,1844,770,8076,1474,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,8849,1685,2991,811,835,471,1791,772,1081,565,2151,772,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,89055,5250,31209,2605,7212,1281,15794,2102,5509,1124,29331,3090,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,26162,2605,10769,1644,1438,551,4990,994,2579,575,6386,1497,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2020,747,449,239,539,487,165,177,164,239,703,575,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,24849,2496,8780,1307,2186,694,4098,937,3409,944,6376,1261,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,29964,2319,8759,1400,3318,760,5451,852,5603,779,6833,949,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,24074,2692,10390,1747,2359,894,2818,876,2012,761,6495,1367,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,31658,3328,11748,1828,2367,758,6228,1226,4103,1334,7212,1256,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,4525,1490,1647,765,750,498,733,532,397,316,998,600,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,9331,1655,3128,890,1139,740,1238,522,1599,583,2227,969,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2537,808,662,343,606,629,298,291,247,150,724,514,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,14814,1980,5396,1028,1555,806,2994,820,2241,979,2628,744,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,85512,5459,32992,3020,6701,1484,18557,2456,6618,1219,20644,2342,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,8041,1480,2855,778,1119,522,1177,591,499,389,2391,658,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,1432,414,744,330,90,124,51,65,278,203,269,145,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,45608,4027,21152,2309,3015,905,8673,1585,1923,612,10845,1607,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,46568,3549,20160,2417,4702,1160,6674,1376,5025,1374,10007,1395,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,3114,923,1531,665,124,152,623,414,262,214,574,284,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,12376,1676,4962,1010,794,396,2326,715,800,335,3494,871,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,1068,375,476,268,131,176,106,139,180,152,175,170,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,25583,3454,6061,1583,3007,891,7416,1389,4830,1291,4269,1204,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
