GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001EA,B19019_001MA,B19019_002MA,B19019_002EA,B19019_003MA,B19019_003EA,B19019_004EA,B19019_004MA,B19019_005EA,B19019_005MA,B19019_006EA,B19019_006MA,B19019_007MA,B19019_007EA,B19019_008MA,B19019_008EA,state
0400000US01,44765,744,23100,702,52132,792,59244,2246,68931,2670,63685,4492,59380,4013,55538,9689,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,73355,2316,40777,1616,85023,3836,88186,4985,98076,7368,95050,9043,78408,13109,70947,9970,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,51492,431,28880,883,59181,1081,64538,1861,71723,1969,62180,2425,63591,3359,61186,3579,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41995,477,21922,578,48459,1086,55885,2366,64743,2951,59535,3882,53997,3612,50297,8868,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,64500,395,35064,470,72124,422,77742,990,84837,1411,72499,1348,71566,1727,83129,1850,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63909,891,34227,1346,71645,863,80425,1814,94025,2931,86440,4809,81949,6385,87686,7105,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,71346,783,35115,1152,81212,1702,91080,1748,110945,2456,114151,4528,110715,9407,100324,20269,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,61255,1281,34506,2896,67473,2253,79953,4674,92627,6641,83278,8275,87294,21097,78497,20500,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75628,2493,51633,2059,105320,5921,99228,8260,112179,20067,67222,26771,54745,37254,115891,35402,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,49426,331,27231,339,56415,422,61095,737,71125,1057,63731,2701,64289,2699,68145,5331,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,51244,372,28985,742,56789,714,62212,1168,72735,1992,66383,2637,61957,2990,69156,5963,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,73486,2012,36195,2372,71970,2678,86958,4633,96948,6003,101878,7512,105579,16555,160096,8168,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,48275,1093,24513,1311,54579,2327,57654,2958,68443,4655,68724,6385,71556,10789,82477,11720,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,59588,511,31415,359,67247,670,76765,1140,87428,1861,82769,3313,75302,3421,78175,5042,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,50532,387,27171,401,57410,723,65472,1172,75216,1728,73764,3289,67676,4898,71294,4166,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,54736,787,27670,784,62418,920,70197,1577,81156,1547,80371,2773,76801,4450,73377,6767,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,53906,872,28666,1202,62167,1224,72318,2383,81791,1660,75987,3206,67850,8097,71728,8082,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,45215,470,23530,710,51567,894,57299,1803,70824,1882,65819,2796,60620,6181,54630,6671,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,45727,670,23056,739,53581,1585,61118,1594,70226,2800,70677,4022,61817,7306,68645,10577,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,51494,854,24170,952,60299,1270,69314,3463,78848,4626,76664,7118,75769,7620,83963,7455,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,75847,591,41259,789,82267,1477,93632,2192,109098,2303,106954,4837,98489,6782,102161,9696,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,70628,620,32929,1233,78953,1703,94741,2416,111652,2072,114263,4352,111671,10734,109282,5304,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,51084,244,27198,366,57475,649,67543,1178,79265,1906,76066,1560,70306,3689,61596,3981,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,63488,669,31138,499,70679,559,85576,1549,98940,2628,90969,1797,84986,5187,80912,6557,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,40593,543,20967,626,47080,1255,51380,1986,60815,2184,53695,5341,48793,5645,56230,11765,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,50238,415,26492,490,56942,896,64408,1538,78462,2118,73369,3102,73363,7198,68952,9511,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,49509,1410,25206,940,57071,1900,62741,3139,78520,4773,74947,8465,69979,5807,69274,10064,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,54996,830,28289,1159,65349,1243,71376,1910,82000,3422,81886,2908,75960,9212,66680,8973,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,52431,978,30765,649,61713,1158,62719,2934,73884,3468,67027,3879,66899,6202,74264,4559,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,70303,1254,32552,1685,75658,1393,88168,2590,105862,2751,105943,5203,100744,17116,126276,8803,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,72222,610,34866,818,76829,1085,94832,1936,111086,2182,103832,4189,102411,8299,91334,6124,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,45382,870,23976,945,56555,1788,56015,3752,59924,3727,60326,5425,52261,7209,51060,5616,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,60850,306,31841,360,68685,676,77673,1451,90752,1192,85607,2000,81031,2333,87460,4344,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,47830,521,26173,405,55630,517,63821,1613,71120,1592,62157,2485,58798,3624,61592,5067,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,60557,1661,30433,930,70020,2520,79743,3695,96034,5392,100774,5780,95143,14704,130151,39028,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,51075,233,27054,334,58641,629,68121,1119,80961,1166,77806,2398,72553,3775,68637,5073,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,48568,514,25183,591,55686,679,62205,1384,68588,2295,67980,2849,61734,2659,65481,4542,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,54148,912,28164,942,61062,959,70038,1886,77546,2381,75512,4491,61446,5028,72552,9246,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,55702,377,27788,494,61962,460,75277,1089,88191,1548,84509,2439,80848,3283,75077,3731,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,58073,2421,29080,2946,69972,2768,80427,4335,96080,4864,84473,5170,86731,16971,73614,34724,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,47238,547,24942,612,55189,911,61927,1822,69428,2388,64499,3791,61368,6193,58896,7581,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,53017,1096,26478,1139,63224,1416,66416,2613,79542,2369,81135,5023,67292,13565,57202,13925,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,47275,489,24964,541,54262,909,59928,1489,67112,1733,62984,4460,61178,2943,62496,5813,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,55653,314,31431,276,62320,454,66578,927,75657,1070,69243,1716,64607,2367,65465,2537,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,62912,1223,31852,1053,63635,1982,70752,1685,77658,2731,81836,3860,85286,5469,91139,3224,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,56990,1325,27794,1707,66036,1696,80093,4257,90414,4029,84287,13847,68938,26238,59068,17442,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,66262,541,35368,717,72176,850,81737,1344,95378,1626,91835,3333,87579,3984,92380,8606,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,64129,794,33592,876,72565,935,80511,1615,91336,2022,81500,3105,75896,3599,79992,4889,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,42019,793,22251,647,48174,1015,57105,3402,70878,3352,61924,7005,64654,9910,65467,16492,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,55638,427,28692,628,62633,702,74543,1362,86695,1341,82636,3020,75894,3370,67267,5904,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,60214,1582,31644,1936,70210,3511,81237,4901,81316,4307,73250,4739,81486,15622,82189,12767,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,18626,332,10286,353,19933,462,24818,838,29232,1533,30237,3292,29054,4906,30532,8041,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
