GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001EA,C25093_001MA,C25093_002EA,C25093_002MA,C25093_003MA,C25093_003EA,C25093_004EA,C25093_004MA,C25093_005EA,C25093_005MA,C25093_006EA,C25093_006MA,C25093_007EA,C25093_007MA,C25093_008EA,C25093_008MA,C25093_009EA,C25093_009MA,C25093_010MA,C25093_010EA,C25093_011EA,C25093_011MA,C25093_012EA,C25093_012MA,C25093_013EA,C25093_013MA,C25093_014MA,C25093_014EA,C25093_015EA,C25093_015MA,C25093_016EA,C25093_016MA,C25093_017EA,C25093_017MA,state
0400000US01,1253595,13117,12647,1719,7700,1386,3997,1120,950,441,108550,4428,87703,4251,19075,2185,1772,600,729792,9201,588762,9141,130987,4760,10043,1589,402606,5857,314847,5526,83393,3991,4366,1158,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159922,3409,2098,736,1071,526,1027,544,0,149,18771,1719,14000,1593,4738,979,33,53,105156,3233,83038,2994,21859,2338,259,202,33897,1762,26499,1500,7398,1154,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524828,12566,13349,1831,7957,1202,4675,1249,717,377,131836,5676,98941,4837,31309,2938,1586,796,840471,9605,642761,8602,183472,6648,14238,2155,539172,6541,402595,6532,130484,4456,6093,1089,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,746000,10027,8493,1766,5899,1391,2468,935,126,124,72109,3654,57406,3240,14069,2040,634,407,421228,7830,345364,7196,71109,3942,4755,1193,244170,3965,194584,4621,46932,2782,2654,677,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6910823,27840,35867,3009,18348,2169,15590,1849,1929,626,510373,10935,333213,8912,173079,6869,4081,1168,4234837,24242,2843696,22213,1357677,17155,33464,2587,2129746,15220,1432303,11704,683400,11931,14043,1586,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1322618,9565,12937,1883,8576,1513,4325,1136,36,65,139434,5138,108220,4765,30329,2776,885,397,821791,7481,637784,8257,179288,6330,4719,1036,348456,4831,258659,4633,87977,3880,1820,602,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,889035,8413,3189,955,1760,701,1392,573,37,61,64042,3520,45434,2713,18142,2151,466,480,562947,7214,409462,6544,150141,5887,3344,996,258857,4319,160307,4435,96975,4091,1575,547,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,249681,4261,2139,772,1293,631,846,519,0,190,20422,2058,14610,1699,5812,1164,0,190,146469,3424,109583,3396,35572,2989,1314,663,80651,2210,60293,2331,19541,1730,817,330,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112555,3556,141,120,95,97,46,76,0,200,15038,1920,12413,1606,2625,864,0,200,66671,2606,51361,2485,15218,1854,92,117,30705,1621,22060,1552,8332,1139,313,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4760071,23483,26827,2753,15808,2171,9260,1786,1759,646,301144,8784,221349,7491,76002,5058,3793,1051,2556221,19119,1837684,17393,682498,12616,36039,3217,1875879,13142,1339943,13589,507464,8868,28472,2557,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
