B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,GEO_ID,B10001_001E,B10001_001M,B10001_002MA,B10001_002EA,B10001_003MA,B10001_003EA,B10001_004EA,B10001_004MA,NAME,B10001_001MA,B10001_001EA,state
43402,3986,40959,4224,32629,3469,0400000US01,116990,7692,null,null,null,null,null,null,Alabama,null,null,01
8079,1471,3895,812,2642,708,0400000US02,14616,1941,null,null,null,null,null,null,Alaska,null,null,02
61319,4323,50088,4236,34395,3582,0400000US04,145802,9278,null,null,null,null,null,null,Arizona,null,null,04
25139,3065,22667,3019,20592,2995,0400000US05,68398,5965,null,null,null,null,null,null,Arkansas,null,null,05
393547,14130,244278,8419,163594,7166,0400000US06,801419,18840,null,null,null,null,null,null,California,null,null,06
33629,3073,25526,2744,18094,2390,0400000US08,77249,5777,null,null,null,null,null,null,Colorado,null,null,08
17494,2507,12066,2222,10824,1810,0400000US09,40384,4373,null,null,null,null,null,null,Connecticut,null,null,09
7639,1489,6531,1555,5400,1291,0400000US10,19570,3176,null,null,null,null,null,null,Delaware,null,null,10
8625,1845,3282,932,3269,1084,0400000US11,15176,2627,null,null,null,null,null,null,District of Columbia,null,null,11
162973,9248,113228,7207,83691,5741,0400000US12,359892,15128,null,null,null,null,null,null,Florida,null,null,12
106003,7857,75747,5299,57907,4473,0400000US13,239657,12246,null,null,null,null,null,null,Georgia,null,null,13
21390,2381,16466,2253,11371,2189,0400000US15,49227,4720,null,null,null,null,null,null,Hawaii,null,null,15
11594,2115,9970,1931,6838,1882,0400000US16,28402,4114,null,null,null,null,null,null,Idaho,null,null,16
96573,5864,63610,5000,47138,3655,0400000US17,207321,9863,null,null,null,null,null,null,Illinois,null,null,17
44879,3943,33351,3344,26037,3087,0400000US18,104267,6800,null,null,null,null,null,null,Indiana,null,null,18
14630,2173,10151,1436,9030,1449,0400000US19,33811,3094,null,null,null,null,null,null,Iowa,null,null,19
18426,2386,15730,2224,10107,1665,0400000US20,44263,4133,null,null,null,null,null,null,Kansas,null,null,20
39729,3295,31432,3646,23452,2313,0400000US21,94613,6501,null,null,null,null,null,null,Kentucky,null,null,21
45438,4200,36398,3749,31003,3455,0400000US22,112839,7708,null,null,null,null,null,null,Louisiana,null,null,22
6133,1209,4868,1127,5451,1667,0400000US23,16452,2392,null,null,null,null,null,null,Maine,null,null,23
56093,4907,41334,3546,26422,2674,0400000US24,123849,8007,null,null,null,null,null,null,Maryland,null,null,24
36869,3822,27917,3198,17080,2362,0400000US25,81866,6020,null,null,null,null,null,null,Massachusetts,null,null,25
67327,4805,44732,3083,34132,3086,0400000US26,146191,7225,null,null,null,null,null,null,Michigan,null,null,26
23211,2542,16052,1731,10783,1600,0400000US27,50046,3742,null,null,null,null,null,null,Minnesota,null,null,27
43888,3488,30630,3048,26651,3942,0400000US28,101169,6644,null,null,null,null,null,null,Mississippi,null,null,28
44395,4590,33548,3345,21103,2843,0400000US29,99046,7147,null,null,null,null,null,null,Missouri,null,null,29
4746,1044,5092,985,3905,927,0400000US30,13743,1793,null,null,null,null,null,null,Montana,null,null,30
9853,1681,7785,1629,6536,1240,0400000US31,24174,3296,null,null,null,null,null,null,Nebraska,null,null,31
24062,2807,15687,2634,7980,1466,0400000US32,47729,4344,null,null,null,null,null,null,Nevada,null,null,32
6000,1367,4987,1076,4952,1873,0400000US33,15939,2860,null,null,null,null,null,null,New Hampshire,null,null,33
57851,4173,40663,3629,24804,3130,0400000US34,123318,7648,null,null,null,null,null,null,New Jersey,null,null,34
23732,3308,16300,2281,13975,2386,0400000US35,54007,5053,null,null,null,null,null,null,New Mexico,null,null,35
162143,7675,94487,5916,68034,4743,0400000US36,324664,13467,null,null,null,null,null,null,New York,null,null,36
75856,5844,57630,4594,49333,4199,0400000US37,182819,9761,null,null,null,null,null,null,North Carolina,null,null,37
3161,824,2979,733,828,287,0400000US38,6968,1336,null,null,null,null,null,null,North Dakota,null,null,38
81372,4673,62289,4717,48559,3907,0400000US39,192220,8674,null,null,null,null,null,null,Ohio,null,null,39
31861,2553,27925,2142,21852,2020,0400000US40,81638,4681,null,null,null,null,null,null,Oklahoma,null,null,40
23638,3011,16554,2513,13275,2210,0400000US41,53467,5267,null,null,null,null,null,null,Oregon,null,null,41
95255,5809,62817,4773,44927,3643,0400000US42,202999,9366,null,null,null,null,null,null,Pennsylvania,null,null,42
7020,1631,5278,1038,2956,802,0400000US44,15254,2277,null,null,null,null,null,null,Rhode Island,null,null,44
45461,3704,35872,3463,30014,3324,0400000US45,111347,6623,null,null,null,null,null,null,South Carolina,null,null,45
