GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001EA,B10056_001MA,B10056_002EA,B10056_002MA,B10056_003EA,B10056_003MA,B10056_004EA,B10056_004MA,B10056_005MA,B10056_005EA,B10056_006MA,B10056_006EA,B10056_007EA,B10056_007MA,B10056_008EA,B10056_008MA,B10056_009EA,B10056_009MA,B10056_010MA,B10056_010EA,B10056_011MA,B10056_011EA,state
0400000US01,119371,6649,42569,3358,23055,2380,11850,1670,11205,1737,19514,2040,76802,4465,38992,2723,25107,2200,13885,1583,37810,3099,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17976,1926,7794,945,3022,535,1780,437,1242,317,4772,881,10182,1239,3436,593,2109,475,1327,395,6746,1157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,175124,9059,63510,4895,26347,2798,14916,1966,11431,1567,37163,3722,111614,5428,40895,3102,25399,2437,15496,2013,70719,4336,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68904,4883,23710,2468,14185,1734,7619,1064,6566,1260,9525,1429,45194,3120,25300,2138,16726,1979,8574,1402,19894,2170,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1158073,22198,434380,11120,106933,4888,54191,4027,52742,3477,327447,9730,723693,13367,165387,6174,93399,5027,71988,4156,558306,11367,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,104702,7688,39904,3636,13540,1821,7283,1418,6257,1177,26364,2897,64798,4880,22170,2637,14412,2227,7758,1353,42628,3821,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60326,4853,19581,2041,6458,1197,3879,1068,2579,688,13123,1854,40745,3581,11939,1942,6785,1400,5154,1158,28806,2813,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21859,3025,7404,1486,2773,722,1322,500,1451,556,4631,1247,14455,1934,5477,1013,3053,788,2424,709,8978,1671,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13296,2251,3549,966,2101,859,935,442,1166,706,1448,612,9747,1553,4171,1079,3047,962,1124,479,5576,1062,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,479491,12874,159871,6323,51061,4019,25347,2816,25714,2720,108810,6511,319620,8965,94359,5085,56602,3305,37757,3649,225261,7863,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
