GEO_ID,C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,NAME,C01001F_001MA,C01001F_001EA,C01001F_002EA,C01001F_002MA,C01001F_003EA,C01001F_003MA,C01001F_004MA,C01001F_004EA,C01001F_005MA,C01001F_005EA,C01001F_006MA,C01001F_006EA,C01001F_007EA,C01001F_007MA,C01001F_008EA,C01001F_008MA,C01001F_009EA,C01001F_009MA,state
0400000US01,54105,6092,30525,4065,12018,2111,18045,3046,462,397,23580,3330,10215,1843,12921,1878,444,340,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12467,3116,6700,1874,1607,884,4953,1468,140,170,5767,1721,1827,911,3720,1090,220,233,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,481631,21623,242085,10465,75847,4886,153233,7285,13005,1840,239546,12717,74808,6186,150475,8112,14263,1635,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65542,6352,33820,3249,12308,1943,20281,2275,1231,532,31722,3825,12562,2134,17485,2473,1675,787,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5300297,63956,2707687,35537,795814,15689,1786284,24838,125589,4696,2592610,33246,755952,16194,1672936,19691,163722,6286,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,209890,13025,106484,7210,30206,3553,70668,4826,5610,1052,103406,7143,32349,3657,63615,4297,7442,1174,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,180107,12856,96773,7162,28648,3342,63867,4980,4258,975,83334,6881,22538,3083,56531,4569,4265,979,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19157,3844,9276,2086,2502,934,6164,1517,610,368,9881,2248,2824,1044,6811,1572,246,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34797,4077,19069,2291,5181,1254,13150,1763,738,696,15728,2349,4097,1002,11130,1982,501,381,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,528266,22821,266895,13062,65175,5820,186153,9547,15567,2303,261371,13234,66337,6525,174054,8979,20980,2759,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,284084,16303,153267,9154,54451,5024,95735,6299,3081,899,130817,9236,47527,4772,79820,6015,3470,1000,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10135,1858,5755,1446,429,262,4560,1232,766,360,4380,1082,222,169,3479,919,679,437,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37682,4854,19216,2903,5560,1783,12859,2194,797,421,18466,2913,5116,1191,12136,2117,1214,653,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,773685,24560,398967,12801,121061,5741,261148,9227,16758,1597,374718,13687,119770,6527,235744,8434,19204,2274,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,140617,10232,72539,5649,24685,3253,45465,3595,2389,624,68078,5510,22748,2798,42712,3394,2618,617,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,47404,5301,26721,3036,8442,1487,17766,2324,513,315,20683,2966,7443,1560,12365,1739,875,430,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,67275,6490,35669,4147,12379,2132,22185,2809,1105,422,31606,3156,8788,1688,21644,2077,1174,488,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
