GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001EA,B21001A_001MA,B21001A_002MA,B21001A_002EA,B21001A_003MA,B21001A_003EA,B21001A_004MA,B21001A_004EA,B21001A_005EA,B21001A_005MA,B21001A_006EA,B21001A_006MA,B21001A_007EA,B21001A_007MA,B21001A_008EA,B21001A_008MA,B21001A_009EA,B21001A_009MA,B21001A_010MA,B21001A_010EA,B21001A_011EA,B21001A_011MA,B21001A_012EA,B21001A_012MA,B21001A_013EA,B21001A_013MA,B21001A_014EA,B21001A_014MA,B21001A_015MA,B21001A_015EA,B21001A_016EA,B21001A_016MA,B21001A_017EA,B21001A_017MA,B21001A_018EA,B21001A_018MA,B21001A_019EA,B21001A_019MA,B21001A_020MA,B21001A_020EA,B21001A_021MA,B21001A_021EA,B21001A_022EA,B21001A_022MA,B21001A_023EA,B21001A_023MA,B21001A_024EA,B21001A_024MA,B21001A_025MA,B21001A_025EA,B21001A_026MA,B21001A_026EA,B21001A_027EA,B21001A_027MA,B21001A_028EA,B21001A_028MA,B21001A_029EA,B21001A_029MA,B21001A_030MA,B21001A_030EA,B21001A_031MA,B21001A_031EA,B21001A_032MA,B21001A_032EA,B21001A_033EA,B21001A_033MA,state
0400000US01,2630229,3937,1271313,3003,349610,2479,14763,1948,334847,2651,429966,2216,46870,3467,383096,4132,224653,1145,40669,3081,183984,3247,165653,770,70054,2785,95599,2838,101431,673,58463,2268,42968,2120,1358916,2601,349948,2386,2540,944,347408,2481,434030,1572,6698,1291,427332,2255,236353,792,4292,957,232061,1238,187422,655,1827,581,185595,792,151163,630,2534,824,148629,1060,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,367521,2688,192604,2137,61500,1833,6923,1314,54577,1913,65165,889,13762,1711,51403,1864,37570,474,9360,1251,28210,1380,20373,322,11181,896,9192,872,7996,161,5205,642,2791,630,174917,1376,53716,1037,1480,658,52236,1136,60030,923,2407,596,57623,1046,33777,489,1454,655,32323,812,18129,436,518,303,17611,533,9265,179,183,138,9082,188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4128986,17434,2025119,9706,585451,6558,27890,2862,557561,7006,649546,4315,76670,4608,572876,6145,324143,2592,62887,2972,261256,3543,275732,1707,117672,3207,158060,3215,190247,1145,114631,3440,75616,3374,2103867,9130,557071,5467,3910,1075,553161,5734,646624,4679,10897,1733,635727,4692,358589,2048,8645,1292,349944,2503,305449,1729,4763,828,300686,1854,236134,1244,4878,750,231256,1268,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1804381,4219,875964,2600,247515,2407,11483,1867,236032,3131,293672,2000,33124,2847,260548,3450,147537,687,28226,2132,119311,2365,113580,594,47433,2498,66147,2654,73660,264,42343,1861,31317,1856,928417,2681,246429,2059,2128,745,244301,2205,292595,1712,5893,1156,286702,2123,157934,895,2563,633,155371,1056,127722,738,1285,440,126437,912,103737,606,1021,365,102716,702,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18554103,43005,9167262,24915,2840344,16091,90832,5671,2749512,16771,3148493,12841,211363,6570,2937130,13932,1517118,5706,183869,6602,1333249,9344,996141,3954,340517,7396,655624,8016,665166,3192,339501,6045,325665,6267,9386841,21990,2708876,13023,15739,2208,2693137,13306,3066845,12980,30012,2873,3036833,13545,1565767,6237,16938,1864,1548829,6594,1107061,4698,9726,1594,1097335,4896,938292,4046,14421,1857,923871,4516,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3583274,9667,1779803,5873,567363,3959,29076,2869,538287,4637,616390,2814,70893,3202,545497,4193,298418,1483,53192,3453,245226,3644,191418,1208,82680,3043,108738,3230,106214,947,64982,2332,41232,2268,1803471,5396,530995,3557,6946,1226,524049,3668,605103,3243,12907,1840,592196,3690,312570,1290,5398,1014,307172,1447,206937,1591,2931,792,204006,1655,147866,1103,2148,590,145718,1356,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2216205,9293,1062838,5621,277449,3551,6744,1490,270705,3990,362283,3167,22933,2506,339350,3686,205687,1231,21882,2152,183805,2426,128407,803,44193,2430,84214,2538,89012,580,51638,1846,37374,1964,1153367,4941,273528,3178,917,518,272611,3211,377669,2516,2888,835,374781,2644,217818,1028,1502,453,216316,1176,145484,830,1126,472,144358,928,138868,724,1747,602,137121,969,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,527942,3166,253263,1956,67610,1419,2851,843,64759,1508,79861,998,7148,1229,72713,1421,46190,377,7684,1303,38506,1386,36643,437,16462,1112,20181,1148,22959,406,13496,1013,9463,1065,274679,1745,68267,1167,329,239,67938,1174,82923,965,1003,571,81920,1173,50845,448,729,347,50116,535,41316,302,614,595,40702,703,31328,313,412,273,30916,400,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,235068,2596,115583,1728,53288,1097,840,490,52448,1100,38856,974,1954,608,36902,1188,11353,541,791,362,10562,648,7536,134,1659,547,5877,545,4550,145,2387,483,2163,490,119485,1526,61641,1269,436,315,61205,1282,32652,948,358,210,32294,976,10049,394,335,251,9714,461,9086,477,220,177,8866,513,6057,333,83,173,5974,381,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12545648,19043,6071842,11615,1537175,8567,66052,5373,1471123,10212,1945987,8129,197289,7642,1748698,8894,1019049,3580,180865,6336,838184,7364,884979,2744,343494,5832,541485,6272,684652,1998,371081,5424,313571,6099,6473806,11438,1491409,6969,14758,2185,1476651,7355,1964538,6774,33871,3261,1930667,7044,1125826,2813,21204,2168,1104622,3636,1002937,3275,10688,1347,992249,3757,889096,2557,13784,1823,875312,3016,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4709104,9643,2295369,6512,650779,4603,24810,2559,625969,5417,831283,5432,90242,5321,741041,6941,385082,1920,68439,4087,316643,4404,274194,1423,115952,3587,158242,3759,154031,1295,85997,2889,68034,2774,2413735,5243,640990,3443,5712,1293,635278,3747,828740,4101,14723,2061,814017,4774,408964,1777,7633,1546,401331,2154,310482,1678,4114,1083,306368,2055,224559,1170,2285,638,222274,1222,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
