GEO_ID,B14007I_001E,B14007I_001M,B14007I_002E,B14007I_002M,B14007I_003E,B14007I_003M,B14007I_004E,B14007I_004M,B14007I_005E,B14007I_005M,B14007I_006E,B14007I_006M,B14007I_007E,B14007I_007M,B14007I_008E,B14007I_008M,B14007I_009E,B14007I_009M,B14007I_010E,B14007I_010M,B14007I_011E,B14007I_011M,B14007I_012E,B14007I_012M,B14007I_013E,B14007I_013M,B14007I_014E,B14007I_014M,B14007I_015E,B14007I_015M,B14007I_016E,B14007I_016M,B14007I_017E,B14007I_017M,B14007I_018E,B14007I_018M,B14007I_019E,B14007I_019M,NAME,B14007I_001MA,B14007I_001EA,B14007I_002EA,B14007I_002MA,B14007I_003MA,B14007I_003EA,B14007I_004EA,B14007I_004MA,B14007I_005EA,B14007I_005MA,B14007I_006MA,B14007I_006EA,B14007I_007MA,B14007I_007EA,B14007I_008EA,B14007I_008MA,B14007I_009EA,B14007I_009MA,B14007I_010EA,B14007I_010MA,B14007I_011MA,B14007I_011EA,B14007I_012MA,B14007I_012EA,B14007I_013EA,B14007I_013MA,B14007I_014MA,B14007I_014EA,B14007I_015EA,B14007I_015MA,B14007I_016EA,B14007I_016MA,B14007I_017MA,B14007I_017EA,B14007I_018MA,B14007I_018EA,B14007I_019MA,B14007I_019EA,state
0400000US01,179785,2918,67703,2993,5102,1288,6287,1564,4543,1128,6873,1402,5082,1056,2905,868,2986,787,3575,812,4486,1058,2868,827,3847,1054,3128,912,2906,822,3627,1197,8741,1817,747,532,112082,3620,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48521,546,17574,1693,685,304,986,480,1410,616,997,486,719,477,209,122,458,235,828,356,1463,622,765,519,506,216,1001,492,1610,762,992,420,4538,1518,407,347,30947,1764,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1987671,3199,684944,8329,24335,2135,38949,3601,37979,3317,41531,2972,43396,3513,41839,3128,38386,3143,40504,3401,42055,3140,39751,3576,38418,2823,38382,2825,39152,2988,45295,3446,123256,6363,11716,1985,1302727,8194,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,193557,2305,76080,3009,4722,1232,5291,1296,4505,1175,5246,1306,4179,1071,5155,1282,5368,1243,4231,1263,3867,977,4056,974,5264,1441,3495,1007,2657,819,4699,1203,12868,2118,477,286,117477,2887,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14416671,10272,4942224,20895,273883,8152,278836,8045,247552,8448,262038,7049,275969,7698,270416,8471,264140,8769,261986,8133,256299,8412,258416,6975,264706,8049,266175,6296,266517,7214,320577,8393,1076073,15983,98641,5418,9474447,19455,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1103241,3161,381412,5936,24703,2569,19363,2129,27023,2422,25579,2445,24846,2943,22198,2409,21729,2532,24017,2173,20113,2246,21535,3029,17662,2096,22543,2373,18850,2267,23285,2268,60397,3933,7569,1669,721829,5688,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,524875,2137,180011,3557,11455,1689,8523,1664,11041,1865,10687,1831,10149,1474,9989,1564,11297,1645,12055,1674,8064,1632,8305,1507,9797,1688,8767,1657,10157,1535,12184,1874,33152,2845,4389,1182,344864,3304,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80720,712,28146,1231,1371,560,2240,710,1734,696,2316,933,1240,529,2013,751,881,505,2350,788,1892,790,1498,762,1517,641,1670,715,1183,475,1026,451,4750,1103,465,249,52574,1437,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,67188,841,20455,1463,2181,848,1318,573,343,295,1701,585,1150,528,1225,611,95,108,322,274,949,448,515,297,1072,681,1319,546,529,538,737,605,4389,1098,2610,858,46733,1597,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4761889,5919,1344596,11742,84278,5475,68570,5135,73867,5231,64006,4995,71950,4545,66865,4719,69396,4469,58776,4466,69009,4481,71222,4742,72142,4421,65678,3878,74643,4592,73625,4617,308154,9150,52415,4901,3417293,10407,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
