GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001MA,C14005_001EA,C14005_002MA,C14005_002EA,C14005_003EA,C14005_003MA,C14005_004MA,C14005_004EA,C14005_005EA,C14005_005MA,C14005_006MA,C14005_006EA,C14005_007MA,C14005_007EA,C14005_008MA,C14005_008EA,C14005_009EA,C14005_009MA,C14005_010MA,C14005_010EA,C14005_011MA,C14005_011EA,C14005_012MA,C14005_012EA,C14005_013MA,C14005_013EA,C14005_014EA,C14005_014MA,C14005_015MA,C14005_015EA,C14005_016EA,C14005_016MA,C14005_017MA,C14005_017EA,C14005_018MA,C14005_018EA,C14005_019EA,C14005_019MA,state
0400000US01,263491,5776,131643,3971,109561,4291,22082,2329,15895,2238,11128,1902,4767,1323,6187,1602,3135,1123,3052,1025,131848,4140,113396,4261,18452,2296,13902,2250,10241,2044,3661,988,4550,1067,2006,704,2544,840,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39151,2193,20600,1667,15914,1742,4686,1023,3714,749,3179,735,535,314,972,582,567,486,405,367,18551,1371,14863,1243,3688,810,2624,663,1684,522,940,443,1064,500,401,375,663,333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,376032,4553,192281,3284,155663,4346,36618,2836,22392,2456,15492,2250,6900,1326,14226,1918,7778,1537,6448,1214,183751,3139,157461,3827,26290,2549,17680,2209,11676,1837,6004,1381,8610,1741,3492,1065,5118,1345,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,164521,4565,88207,3522,69721,3588,18486,2176,13386,1912,10655,1888,2731,868,5100,1267,2413,893,2687,770,76314,3660,63297,3700,13017,2185,9377,1751,5755,1327,3622,1194,3640,1126,1594,729,2046,914,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2098667,11002,1078143,7758,921647,9718,156496,5947,118441,4500,85582,4172,32859,2619,38055,3903,18697,2505,19358,2362,1020524,7045,909042,8433,111482,4735,91010,4155,58296,3915,32714,2919,20472,2204,6530,1112,13942,1934,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,279512,4490,144506,3372,117785,3343,26721,2891,18434,2388,14254,1971,4180,1098,8287,1566,3005,839,5282,1325,135006,3748,117327,3645,17679,2202,12414,2015,9118,1783,3296,1095,5265,994,2959,878,2306,716,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,201332,3367,102653,2443,88524,2792,14129,1717,11018,1624,8662,1465,2356,914,3111,916,2111,717,1000,590,98679,2415,87985,2490,10694,1519,8510,1482,7117,1302,1393,614,2184,932,835,457,1349,770,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49435,2046,24167,1583,19952,1586,4215,1168,2369,751,2060,779,309,281,1846,916,440,348,1406,852,25268,1409,22293,1708,2975,935,2425,882,1684,731,741,521,550,408,299,259,251,299,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32785,2296,15256,1516,13808,1564,1448,658,1017,504,693,504,324,317,431,392,270,318,161,219,17529,1714,15490,1731,2039,585,1729,521,1201,460,528,374,310,285,114,196,196,221,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,961580,11430,489152,8003,409999,8251,79153,4815,50865,4015,35224,3474,15641,2415,28288,3175,13696,2140,14592,2031,472428,8448,411090,9124,61338,5189,40603,4117,27173,3222,13430,2287,20735,2736,9948,2090,10787,2082,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
