GEO_ID,B07411_001E,B07411_001M,B07411_002E,B07411_002M,B07411_003E,B07411_003M,B07411_004E,B07411_004M,B07411_005E,B07411_005M,NAME,B07411_001EA,B07411_001MA,B07411_002MA,B07411_002EA,B07411_003MA,B07411_003EA,B07411_004MA,B07411_004EA,B07411_005EA,B07411_005MA,state
0400000US01,23813,346,24820,378,19226,812,16049,1380,22210,1936,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31146,645,32478,1331,26332,1519,21064,5727,26692,3842,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,26687,218,27549,301,22607,768,18602,1788,22671,1506,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23082,332,24274,378,17924,1213,15791,1298,21008,1942,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28006,172,28806,197,25791,362,23538,833,22582,905,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31684,169,32623,472,26730,695,26601,958,25097,1753,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,34879,621,35786,384,28142,1828,26354,2020,24576,3015,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31309,537,31962,589,25357,3554,20169,7474,29009,5471,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42441,1820,42912,2409,43619,5778,-666666666,-222222222,40763,4485,District of Columbia,null,null,null,null,null,null,**,-,null,null,11
0400000US12,25361,125,25707,140,23458,545,21631,920,22646,986,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,26310,196,26975,213,21599,463,22025,744,24541,1606,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31836,332,32191,343,30595,1237,27721,11992,24849,3126,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23913,556,25629,496,17683,1565,15901,1939,17906,2241,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,30118,147,30777,160,25567,545,22012,986,22679,1300,Illinois,null,null,null,null,null,null,null,null,null,null,17
