GEO_ID,C17001F_001E,C17001F_001M,C17001F_002E,C17001F_002M,C17001F_003E,C17001F_003M,C17001F_004E,C17001F_004M,C17001F_005E,C17001F_005M,C17001F_006E,C17001F_006M,C17001F_007E,C17001F_007M,C17001F_008E,C17001F_008M,C17001F_009E,C17001F_009M,C17001F_010E,C17001F_010M,C17001F_011E,C17001F_011M,C17001F_012E,C17001F_012M,C17001F_013E,C17001F_013M,C17001F_014E,C17001F_014M,C17001F_015E,C17001F_015M,C17001F_016E,C17001F_016M,C17001F_017E,C17001F_017M,C17001F_018E,C17001F_018M,C17001F_019E,C17001F_019M,NAME,C17001F_001EA,C17001F_001MA,C17001F_002EA,C17001F_002MA,C17001F_003MA,C17001F_003EA,C17001F_004MA,C17001F_004EA,C17001F_005MA,C17001F_005EA,C17001F_006MA,C17001F_006EA,C17001F_007MA,C17001F_007EA,C17001F_008EA,C17001F_008MA,C17001F_009MA,C17001F_009EA,C17001F_010MA,C17001F_010EA,C17001F_011MA,C17001F_011EA,C17001F_012EA,C17001F_012MA,C17001F_013EA,C17001F_013MA,C17001F_014MA,C17001F_014EA,C17001F_015MA,C17001F_015EA,C17001F_016MA,C17001F_016EA,C17001F_017MA,C17001F_017EA,C17001F_018EA,C17001F_018MA,C17001F_019EA,C17001F_019MA,state
0400000US01,52951,6034,18747,4310,9913,2412,5845,1592,4019,1342,49,83,8834,2395,4751,1553,4049,1087,34,56,34204,4251,19950,3362,6118,1499,13465,2807,367,345,14254,2192,5464,1215,8425,1472,365,332,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,473500,21371,132398,11436,59400,5906,27551,3498,29418,3962,2431,860,72998,6813,29509,3895,41079,3989,2410,666,341102,19556,176747,10067,47435,4148,118768,6996,10544,1687,164355,10993,44079,4575,108560,7299,11716,1620,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64277,6318,21559,4782,10677,2669,6035,1966,4384,1275,258,236,10882,2675,5423,1679,5093,1361,366,386,42718,6018,22259,3052,6106,1727,15180,2100,973,525,20459,3358,6920,1727,12271,2389,1268,619,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5201011,62866,1143614,36610,529637,18571,234065,11282,275603,10278,19969,2681,613977,21497,230666,11272,351177,12114,32134,3181,4057397,58413,2108624,32102,546955,14730,1460363,23553,101306,4196,1948773,31629,513804,13808,1307033,20461,127936,5672,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,207825,13021,38762,5591,16998,3093,6748,1979,9607,2137,643,366,21764,3268,8467,2122,12224,1883,1073,423,169063,11955,87982,7101,23043,3002,60215,5043,4724,1015,81081,6312,23626,3125,51096,3912,6359,1114,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,173345,12780,49261,7930,24020,4063,10620,2372,12398,2841,1002,617,25241,4593,7609,1901,16263,2998,1369,695,124084,11692,68068,6426,16954,2557,48157,4492,2957,870,56016,6215,14829,2633,38961,4304,2226,730,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18742,3804,5169,1502,2890,1048,807,439,1970,831,113,192,2279,889,466,315,1602,705,211,199,13573,3437,6216,1824,1643,859,4101,1323,472,373,7357,1981,2358,911,4964,1406,35,44,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33986,4142,5830,2565,3290,1548,1137,834,1884,1139,269,422,2540,1502,553,419,1987,1332,0,200,28156,3915,15324,2329,4044,1390,10825,1730,455,623,12832,2256,3544,1043,8829,1669,459,376,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,523082,22883,113912,11765,52007,6712,18504,3577,30860,4180,2643,761,61905,7953,19934,4444,37225,4400,4746,1170,409170,22154,211239,12131,45944,5270,152739,8760,12556,2200,197931,11911,45795,5593,136180,8287,15956,2561,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
