GEO_ID,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,NAME,B06009_001MA,B06009_001EA,B06009_002MA,B06009_002EA,B06009_003EA,B06009_003MA,B06009_004EA,B06009_004MA,B06009_005EA,B06009_005MA,B06009_006MA,B06009_006EA,B06009_007MA,B06009_007EA,B06009_008EA,B06009_008MA,B06009_009EA,B06009_009MA,B06009_010EA,B06009_010MA,B06009_011EA,B06009_011MA,B06009_012MA,B06009_012EA,B06009_013MA,B06009_013EA,B06009_014EA,B06009_014MA,B06009_015EA,B06009_015MA,B06009_016EA,B06009_016MA,B06009_017MA,B06009_017EA,B06009_018MA,B06009_018EA,B06009_019EA,B06009_019MA,B06009_020EA,B06009_020MA,B06009_021EA,B06009_021MA,B06009_022EA,B06009_022MA,B06009_023MA,B06009_023EA,B06009_024MA,B06009_024EA,B06009_025EA,B06009_025MA,B06009_026EA,B06009_026MA,B06009_027EA,B06009_027MA,B06009_028MA,B06009_028EA,B06009_029MA,B06009_029EA,B06009_030EA,B06009_030MA,state
0400000US13,6683767,7806,925736,18336,1879302,25776,1878616,23557,1244449,20604,755664,13897,3039392,23664,488545,12293,1058485,18484,847138,15958,418234,12588,226990,7827,2677415,22751,190729,7429,600670,14801,840814,14768,647150,13435,398052,10897,96094,7503,9126,2469,19022,2685,33556,3497,22708,3238,11682,1837,870866,14033,237336,10506,201125,10462,157108,7982,156357,7670,118940,5399,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,985914,1476,89995,5831,267568,7193,319157,7670,205033,6153,104161,4288,449734,9195,29061,2225,152911,6929,144995,5327,84188,4157,38579,2817,278057,5579,9578,1702,48260,3109,101105,4636,71547,3828,47567,2870,33296,3420,3356,985,7496,1298,11785,1983,7522,1635,3137,868,224827,7633,48000,4589,58901,4058,61272,4528,41776,3288,14878,1624,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1065982,3373,106534,5535,292667,8319,389869,9391,189566,6926,87346,4779,399091,10449,27188,2585,129193,6116,151547,6353,66704,4176,24459,2680,580643,10108,47153,3974,146127,6531,218470,6651,113298,6153,55595,4025,9024,1577,615,375,1940,785,3420,1038,2220,806,829,385,77224,4615,31578,3111,15407,2639,16432,2331,7344,1371,6463,1689,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8661938,4801,991602,18302,2314192,21482,2502604,22160,1757697,15944,1095843,16687,5149130,22970,378755,10441,1519878,17029,1709788,18951,996873,12839,543836,11372,1790702,19040,145931,4737,374447,9801,477931,10144,455722,9702,336671,8087,102184,5176,20381,2290,24669,2148,25358,2756,19641,2110,12135,2001,1619922,16622,446535,13242,395198,10872,289527,8748,285461,8057,203201,7368,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4363573,5516,514136,11838,1496775,17075,1264542,14243,697223,12539,390897,8589,2759158,15188,283422,8380,1044897,16218,824782,13568,415566,10285,190491,6270,1316421,16007,145979,6521,385186,8246,390631,10908,240220,9155,154405,5865,31601,2858,4117,840,8197,1486,10607,1590,6236,1156,2444,675,256393,6880,80618,4822,58495,4772,38522,3587,35201,3431,43557,3718,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2074504,3958,171665,5956,664912,9326,681336,8030,377035,9018,179556,5397,1426651,11259,94503,4610,498212,7608,486778,8394,250142,6899,97016,4768,519990,10498,38442,2556,136225,5157,171027,5348,108827,5892,65469,3584,12274,1627,1407,485,4179,1130,2742,702,2602,823,1344,576,115589,4986,37313,3188,26296,3018,20789,2240,15464,2325,15727,2070,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1888479,4436,183754,5258,501278,8521,604384,7862,384495,8102,214568,6324,969898,10555,71911,3419,291574,6496,334645,7433,184360,5224,87408,3651,730547,12033,50586,3315,170413,6573,231437,6504,172715,5622,105396,4436,19054,2183,1995,768,3857,905,6681,1352,4153,810,2368,732,168980,6708,59262,3512,35434,3487,31621,3132,23267,2292,19396,2031,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2988790,4406,443964,11779,1002541,13116,846111,12465,406865,8649,289309,8328,1976686,13846,321998,8933,716252,10760,549006,11685,233264,7026,156166,6124,869518,13141,89981,4916,252792,9269,268098,7226,149720,6085,108927,4469,21065,2360,1381,694,5344,1250,7879,1729,3606,917,2855,769,121521,5972,30604,3107,28153,3400,21128,2419,20275,2239,21361,2485,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3095255,5801,476770,10261,1056533,14413,843894,12591,470739,10264,247319,6993,2305303,15005,374605,8290,835052,15451,617180,11021,329935,9268,148531,5147,611373,13488,56626,4393,168405,6829,191302,8246,116652,5579,78388,4282,21198,2865,1675,682,7662,1776,6041,1398,3636,937,2184,672,157381,6829,43864,4324,45414,4545,29371,3341,20516,2446,18216,2149,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,961240,2182,79599,4653,314332,7602,277756,7068,187513,5838,102040,4435,567114,8150,53114,4050,223262,7084,167994,5234,90026,4347,32718,2373,347262,7943,19940,2503,80146,3979,96765,4512,88427,4471,61984,3723,9740,1396,911,537,2311,603,2789,783,2314,686,1415,379,37124,2853,5634,1049,8613,1381,10208,1603,6746,1108,5923,1131,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,4102486,3202,425666,9574,1029325,15847,1055881,15759,866352,13975,725262,13696,1544256,14394,166391,5635,527909,11615,442671,9791,254068,7226,153217,5515,1716153,15249,92723,4413,339526,7397,456754,9962,429719,9435,397431,9419,58541,4059,2744,893,11933,1654,15935,2281,15911,1993,12018,1554,783536,12417,163808,6793,149957,8031,140521,7530,166654,7077,162596,6577,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4706644,2304,459349,9925,1184423,17590,1111183,16378,1086715,13983,864974,12083,2591155,16528,171309,7461,765001,14408,715587,13517,599730,11071,339528,7869,1032466,15334,44431,3292,152418,6171,200405,6979,309250,7585,325962,8417,137306,6084,41847,4124,37463,3298,28500,2993,15171,2168,14325,1981,945717,15804,201762,7212,229541,10152,166691,7485,162564,7995,185159,6798,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6728347,3741,662900,14334,1979472,17087,2215502,16216,1145546,13438,724927,12274,4840481,15447,407145,10803,1523692,15454,1707464,14927,780037,11534,422143,8899,1293015,14306,132468,4500,335643,8545,388347,8167,249050,6576,187507,5487,50349,3794,6507,1428,12673,1909,16703,2042,7970,1299,6496,1206,544502,11677,116780,5968,107464,5049,102988,5561,108489,4592,108781,4729,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3700935,3137,267306,6279,941170,12552,1208452,10680,847584,12158,436423,8537,2300154,11241,120712,4149,671556,9593,815892,9804,490987,9754,201007,5644,1014318,10798,52203,2983,190591,6242,307870,6863,286468,6165,177186,5571,26227,2107,1423,569,6022,1106,8678,1500,6141,900,3963,696,360236,7932,92968,4572,73001,4955,76012,4611,63988,3905,54267,3292,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1952337,5129,322809,9519,605790,12096,617139,11736,253036,8078,153563,6989,1320776,10953,231241,7894,428254,10994,407555,9047,161259,6820,92467,5311,559045,10105,71067,4259,159396,6184,193521,7642,81255,4970,53806,3357,13736,2395,1414,602,3632,1180,5478,1380,1763,770,1449,594,58780,4351,19087,2460,14508,2258,10585,1933,8759,1734,5841,1480,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4097212,5025,453624,10920,1269953,13825,1232775,16630,706922,13550,433938,8502,2462918,16749,274065,8269,842842,12094,748115,12433,391452,10292,206444,7068,1406401,16118,130331,5220,380795,8831,437318,8764,273179,8638,184778,6580,33683,2891,2544,730,7615,1475,12227,1773,6514,1364,4783,1022,194210,5951,46684,3842,38701,3257,35115,3060,35777,3038,37933,3462,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
