GEO_ID,C16005_001E,C16005_001M,C16005_002E,C16005_002M,C16005_003E,C16005_003M,C16005_004E,C16005_004M,C16005_005E,C16005_005M,C16005_006E,C16005_006M,C16005_007E,C16005_007M,C16005_008E,C16005_008M,C16005_009E,C16005_009M,C16005_010E,C16005_010M,C16005_011E,C16005_011M,C16005_012E,C16005_012M,C16005_013E,C16005_013M,C16005_014E,C16005_014M,C16005_015E,C16005_015M,C16005_016E,C16005_016M,C16005_017E,C16005_017M,C16005_018E,C16005_018M,C16005_019E,C16005_019M,C16005_020E,C16005_020M,C16005_021E,C16005_021M,C16005_022E,C16005_022M,C16005_023E,C16005_023M,C16005_024E,C16005_024M,C16005_025E,C16005_025M,C16005_026E,C16005_026M,C16005_027E,C16005_027M,C16005_028E,C16005_028M,C16005_029E,C16005_029M,NAME,C16005_001MA,C16005_001EA,C16005_002EA,C16005_002MA,C16005_003EA,C16005_003MA,C16005_004MA,C16005_004EA,C16005_005MA,C16005_005EA,C16005_006MA,C16005_006EA,C16005_007MA,C16005_007EA,C16005_008EA,C16005_008MA,C16005_009EA,C16005_009MA,C16005_010MA,C16005_010EA,C16005_011MA,C16005_011EA,C16005_012MA,C16005_012EA,C16005_013MA,C16005_013EA,C16005_014EA,C16005_014MA,C16005_015EA,C16005_015MA,C16005_016MA,C16005_016EA,C16005_017EA,C16005_017MA,C16005_018MA,C16005_018EA,C16005_019EA,C16005_019MA,C16005_020EA,C16005_020MA,C16005_021EA,C16005_021MA,C16005_022MA,C16005_022EA,C16005_023MA,C16005_023EA,C16005_024EA,C16005_024MA,C16005_025EA,C16005_025MA,C16005_026EA,C16005_026MA,C16005_027MA,C16005_027EA,C16005_028EA,C16005_028MA,C16005_029MA,C16005_029EA,state
0400000US01,4573857,3059,4405953,7860,4305427,7842,75210,5073,56297,4282,18913,3184,14078,2280,11385,2114,2693,851,8191,1423,6495,1345,1696,676,3047,1261,2950,1228,97,165,167904,6956,35135,3587,74366,4425,23755,3197,50611,3965,21676,3691,14127,2804,7549,1771,28528,3498,13117,2440,15411,2660,8199,2389,5776,1940,2423,1150,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683671,934,625348,4302,561945,5372,17723,2199,15596,2049,2127,861,7724,1566,6696,1452,1028,442,9821,2041,7704,1864,2117,1177,28135,1748,20977,1543,7158,813,58323,4024,11297,1797,9346,2028,5484,1457,3862,1237,7140,1673,4291,1131,2849,997,28329,2186,13964,1768,14365,1875,2211,1368,1173,759,1038,826,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6398205,1329,5489667,15580,4525776,20441,772010,13694,676934,12470,95076,5369,41597,4389,36196,3886,5401,1206,29072,3691,25398,3395,3674,1145,121212,5255,92432,5109,28780,2164,908538,15538,139605,6898,545016,13477,200387,8838,344629,11043,85103,6578,59287,5102,25816,3257,103699,5850,51683,4189,52016,4555,35115,4817,18877,2904,16238,3179,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2789500,2398,2647634,5507,2560560,6474,68676,4975,56139,5317,12537,2312,9562,1374,8401,1346,1161,587,7923,1492,5857,1408,2066,967,913,358,642,338,271,219,141866,5501,26611,3259,76442,4223,20547,2381,55895,4102,12085,2160,8052,1544,4033,1282,23755,2671,9048,1597,14707,2428,2973,1216,1700,778,1273,771,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36637169,2615,25999361,47405,19234651,52348,5452592,39715,4742853,40286,709739,18230,434949,13493,395196,13058,39753,3329,785563,15167,651461,13571,134102,5974,91606,7006,81491,6565,10115,1686,10637808,47221,1076714,15889,5193419,36450,1519730,22561,3673689,28243,1196763,24683,733343,18368,463420,16008,2878199,20992,1228269,19343,1649930,22244,292713,15083,169190,10855,123523,8921,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5123035,2020,4589586,13771,4150729,16535,353419,10492,299707,9506,53712,4416,46914,4035,41444,3902,5470,1263,28104,3377,23873,3424,4231,1346,10420,1831,9083,1767,1337,627,533449,13399,91158,5107,269985,10885,96333,7189,173652,8448,69050,5238,46016,3951,23034,3279,74537,5319,33708,3445,40829,4016,28719,4037,15548,2779,13171,2836,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3404358,998,2887730,14010,2524877,13172,257018,7955,198016,7976,59002,3888,82732,4624,74406,4591,8326,1299,14707,2436,12013,2043,2694,703,8396,1991,7102,1831,1294,727,516628,14042,117093,6837,143787,8714,51123,4855,92664,7326,171199,9239,95309,6464,75890,6042,64525,4373,33032,3460,31493,2971,20024,3427,12648,2260,7376,2055,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890489,219,803850,5359,753505,6013,36707,3350,29517,3034,7190,1689,9811,1872,7970,1848,1841,752,2968,828,2607,807,361,330,859,558,859,558,0,190,86639,5355,19977,3031,27487,2652,11148,1957,16339,2271,15591,2657,10635,2074,4956,1697,17478,2281,9966,1657,7512,1769,6106,1954,5065,1750,1041,642,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,628998,6,534576,5506,492769,6578,26721,2859,20605,2729,6116,1953,10462,1980,10028,1878,434,339,2388,646,2304,641,84,140,2236,826,2157,807,79,133,94422,5506,26679,3138,29450,3670,12592,2113,16858,3127,19589,2699,16525,2403,3064,888,9095,1374,5497,1127,3598,693,9609,2216,6103,1619,3506,1303,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19172999,3447,15108810,42374,12876682,43495,1841474,26013,1518008,22679,323466,13073,293780,13156,269519,12264,24261,3478,58827,4102,48561,3874,10266,1986,38047,6081,34787,5672,3260,1116,4064189,41567,743505,17639,2249814,28560,835201,18748,1414613,27632,753827,21407,414466,16379,339361,13215,242488,9474,117011,6980,125477,7312,74555,7939,51027,5993,23528,3803,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
