GEO_ID,B13016_001E,B13016_001M,B13016_002E,B13016_002M,B13016_003E,B13016_003M,B13016_004E,B13016_004M,B13016_005E,B13016_005M,B13016_006E,B13016_006M,B13016_007E,B13016_007M,B13016_008E,B13016_008M,B13016_009E,B13016_009M,B13016_010E,B13016_010M,B13016_011E,B13016_011M,B13016_012E,B13016_012M,B13016_013E,B13016_013M,B13016_014E,B13016_014M,B13016_015E,B13016_015M,B13016_016E,B13016_016M,B13016_017E,B13016_017M,NAME,B13016_001EA,B13016_001MA,B13016_002MA,B13016_002EA,B13016_003EA,B13016_003MA,B13016_004EA,B13016_004MA,B13016_005EA,B13016_005MA,B13016_006EA,B13016_006MA,B13016_007MA,B13016_007EA,B13016_008EA,B13016_008MA,B13016_009EA,B13016_009MA,B13016_010EA,B13016_010MA,B13016_011EA,B13016_011MA,B13016_012MA,B13016_012EA,B13016_013MA,B13016_013EA,B13016_014EA,B13016_014MA,B13016_015EA,B13016_015MA,B13016_016EA,B13016_016MA,B13016_017MA,B13016_017EA,state
0400000US01,1158297,4650,59374,4335,2811,733,15104,2113,18626,2385,14067,2052,5764,1310,2305,1333,697,346,1098923,5812,163447,4060,149220,4489,145044,3603,141923,2381,150960,5496,156050,4943,192279,3086,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173560,1820,11144,1545,526,340,3029,761,2614,837,3216,690,1543,599,157,145,59,81,162416,2382,23042,1259,22714,1170,26346,1470,22669,1106,21264,1864,20914,1618,25467,1218,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1575353,3411,85798,4845,3806,1146,17702,2447,24782,2760,22111,2420,12239,2008,3933,929,1225,529,1489555,6208,223688,2220,214037,2854,199956,3324,196482,2945,197785,5323,205712,5668,251895,3404,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686648,3987,41817,3941,2619,859,11035,1892,12746,1843,9510,1738,4788,1582,803,437,316,231,644831,5500,91610,3338,89447,3238,88964,3233,83792,2563,87934,3464,91553,3520,111531,2892,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9677065,8920,478813,12151,17512,2652,73769,4872,119896,5819,137925,5910,91329,4667,28996,3055,9386,1426,9198252,15412,1255990,4198,1316440,6775,1332142,6865,1247906,6668,1203132,14511,1265224,15124,1577418,9138,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1318722,3956,65555,4672,2268,840,12245,2028,17010,2515,20572,2060,10368,1673,2396,659,696,332,1253167,6428,167905,2988,167701,3168,183632,3163,177258,2864,178245,4891,167656,4613,210770,2954,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,843839,2928,34705,3375,857,421,4069,1350,8538,1512,11388,1681,6474,1252,2221,749,1158,464,809134,4436,121474,1709,114714,1760,99429,1826,100126,2021,94541,4044,118206,3751,160644,2454,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219252,1579,9736,1627,528,444,1079,674,2589,827,3033,725,2249,731,198,140,60,108,209516,2296,29293,1013,29697,1172,30272,1011,27378,914,26982,2162,27393,2379,38501,1541,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205216,1191,8575,1449,550,379,1035,475,1204,578,2900,793,2229,713,629,460,28,46,196641,1871,19624,1586,30327,1512,40705,578,36051,809,25072,1693,20464,1784,24398,1009,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4566243,7157,208713,8469,9223,1958,38270,3676,59054,3688,52516,3656,35106,3795,10601,1815,3943,966,4357530,11166,586992,6253,584122,6207,599403,4835,578877,4987,579050,9568,618717,10056,810369,6180,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2562313,6309,137866,7364,9411,2128,31048,2802,37379,4016,34002,3322,18264,3150,5345,1195,2417,756,2424447,8835,343823,5510,327052,5912,312344,4767,315295,4785,338542,7620,356052,8107,431339,5146,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,322339,1666,18465,1710,651,484,2414,542,6340,1143,5273,1068,2615,722,750,387,422,262,303874,2261,37097,1080,42597,1197,44366,1428,43366,1080,39716,2242,43432,2399,53300,1427,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,377321,2752,22597,2262,497,340,4495,978,7778,1742,5428,1238,3368,1033,855,497,176,221,354724,3453,57474,1923,49173,2028,45731,2402,48097,1744,48838,3200,48397,3396,57014,2023,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3096030,6203,159167,5934,4827,1199,29497,2178,39608,3278,47023,2986,27427,2604,7995,1349,2790,924,2936863,7827,415471,3956,410223,4048,399394,3757,397875,4091,402532,7905,399757,7893,511611,5061,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1560002,5282,80320,4826,3125,933,18867,2344,23847,2120,20078,2128,10614,1883,2816,828,973,497,1479682,7907,229399,3941,217390,3828,187967,2647,189743,2987,197985,4914,199585,5618,257613,3783,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,704110,3103,43263,2961,2204,920,8941,1566,13971,1550,11990,1525,4534,925,1310,491,313,255,660847,3881,102987,2319,101327,2359,81474,2637,86534,2061,88802,4261,87214,3865,112509,2161,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,662824,3160,38186,3028,1713,612,8947,1704,9394,1177,12004,1691,5090,1133,647,358,391,231,624638,4550,99611,2908,90866,3037,82366,1992,83961,2290,83916,3184,82203,2676,101715,2380,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1032343,4132,53925,4122,3672,1097,12191,1816,16965,2025,14192,1929,4832,1061,1602,691,471,236,978418,5978,143311,3389,133676,3849,126567,3058,124006,2411,133505,4496,140779,4773,176574,3230,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1128185,4761,62415,4635,3303,1273,15186,2327,19428,2663,15875,2419,6504,1166,1190,548,929,545,1065770,6532,146509,3942,149999,3679,154932,3777,152667,3344,139899,4957,141537,5060,180227,3484,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
