GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001MA,C23002H_001EA,C23002H_002EA,C23002H_002MA,C23002H_003MA,C23002H_003EA,C23002H_004MA,C23002H_004EA,C23002H_005MA,C23002H_005EA,C23002H_006MA,C23002H_006EA,C23002H_007EA,C23002H_007MA,C23002H_008MA,C23002H_008EA,C23002H_009MA,C23002H_009EA,C23002H_010MA,C23002H_010EA,C23002H_011MA,C23002H_011EA,C23002H_012EA,C23002H_012MA,C23002H_013EA,C23002H_013MA,C23002H_014MA,C23002H_014EA,C23002H_015MA,C23002H_015EA,C23002H_016MA,C23002H_016EA,C23002H_017EA,C23002H_017MA,C23002H_018EA,C23002H_018MA,C23002H_019MA,C23002H_019EA,C23002H_020EA,C23002H_020MA,C23002H_021EA,C23002H_021MA,C23002H_022MA,C23002H_022EA,C23002H_023MA,C23002H_023EA,C23002H_024MA,C23002H_024EA,C23002H_025MA,C23002H_025EA,C23002H_026EA,C23002H_026MA,C23002H_027MA,C23002H_027EA,state
0400000US24,2602683,3222,1263279,2161,1010127,1943,834337,5418,15718,1550,818619,5559,780108,6627,38511,3124,175790,5567,253152,661,67317,2770,65670,2726,1647,526,185835,2807,1339404,1951,1020211,1929,759791,5586,3747,853,756044,5710,726915,5927,29129,2998,260420,5558,319193,254,51470,2342,49640,2281,1830,641,267723,2342,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4200290,5798,2012147,3877,1618132,3741,1326379,6261,3600,825,1322779,6122,1248088,7457,74691,4832,291753,6480,394015,535,105187,3349,101187,3396,4000,868,288828,3318,2188143,3174,1668700,3159,1282844,9261,187,188,1282657,9262,1222995,9255,59662,4078,385856,9685,519443,718,90876,3615,87759,3441,3117,788,428567,3546,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6190038,4046,3031006,2835,2430130,2653,1903117,9859,2551,811,1900566,9788,1787742,9844,112824,4546,527013,9160,600876,463,106563,3335,103173,3248,3390,639,494313,3353,3159032,2579,2417248,2438,1688305,9597,288,182,1688017,9574,1600825,9681,87192,4417,728943,9577,741784,439,82729,3665,79841,3586,2888,691,659055,3659,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3640052,2558,1789734,2143,1449341,2137,1243223,5417,1200,452,1242023,5388,1193134,6957,48889,3262,206118,4861,340393,100,73986,2971,71343,2963,2643,644,266407,2985,1850318,1529,1432925,1524,1154182,5656,118,132,1154064,5672,1121075,5997,32989,2515,278743,5450,417393,122,64301,2492,62748,2408,1553,523,353092,2497,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1389385,1979,675478,1926,534835,1915,401723,5492,5658,991,396065,5274,374375,5045,21690,2676,133112,5877,140643,257,28104,2297,27729,2301,375,206,112539,2306,713907,1655,536484,1762,335461,5593,1281,631,334180,5454,311419,5191,22761,2826,201023,6046,177423,329,21469,1874,20854,1891,615,390,155954,1953,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3959587,3744,1928799,2623,1551949,2571,1229737,6157,9861,1352,1219876,6254,1158225,7892,61651,4059,322212,6498,376850,171,74393,3120,72189,3128,2204,653,302457,3075,2030788,2542,1557859,2560,1115416,8890,1856,828,1113560,9030,1066284,9681,47276,3157,442443,9131,472929,261,65483,3124,63705,3006,1778,548,407446,3160,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,734241,1359,368190,984,287684,978,225503,3553,2467,678,223036,3547,213183,3855,9853,1729,62181,3644,80506,152,19310,1497,19020,1503,290,174,61196,1494,366051,973,278424,953,200547,3061,222,139,200325,3057,192828,3246,7497,1371,77877,2950,87627,91,12443,1332,12111,1307,332,229,75184,1345,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1225718,1680,601108,1251,485233,1249,412997,3881,3922,859,409075,3993,397895,4053,11180,1527,72236,3819,115875,32,32033,1645,31581,1653,452,211,83842,1643,624610,1279,480254,1292,377955,3254,443,249,377512,3223,367684,3668,9828,1368,102299,3327,144356,112,25872,1626,25797,1622,75,69,118484,1631,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1243071,2072,631202,1553,481575,1521,378545,4574,4528,855,374017,4618,345527,5253,28490,2707,103030,4587,149627,228,28570,2198,26530,2134,2040,529,121057,2219,611869,1288,454762,1257,318574,4264,753,428,317821,4333,296478,5006,21343,2607,136188,4256,157107,250,23553,1896,22320,1853,1233,478,133554,1896,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1014297,1372,495569,1234,399576,1224,335308,3678,1562,852,333746,3726,318509,3990,15237,1825,64268,3738,95993,156,23987,1612,23447,1648,540,253,72006,1607,518728,874,403398,869,308823,4146,121,151,308702,4170,297123,4240,11579,1548,94575,4148,115330,78,20259,1559,19569,1560,690,387,95071,1565,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
