GEO_ID,C27001B_001E,C27001B_001M,C27001B_002E,C27001B_002M,C27001B_003E,C27001B_003M,C27001B_004E,C27001B_004M,C27001B_005E,C27001B_005M,C27001B_006E,C27001B_006M,C27001B_007E,C27001B_007M,C27001B_008E,C27001B_008M,C27001B_009E,C27001B_009M,C27001B_010E,C27001B_010M,NAME,C27001B_001MA,C27001B_001EA,C27001B_002MA,C27001B_002EA,C27001B_003EA,C27001B_003MA,C27001B_004EA,C27001B_004MA,C27001B_005EA,C27001B_005MA,C27001B_006MA,C27001B_006EA,C27001B_007MA,C27001B_007EA,C27001B_008MA,C27001B_008EA,C27001B_009MA,C27001B_009EA,C27001B_010MA,C27001B_010EA,state
0400000US01,1272906,5939,334532,3889,323851,4555,10681,2744,799529,4781,656204,8191,143325,7416,138845,1888,138152,1935,693,427,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23737,1946,6487,1336,6483,1337,4,7,16295,1038,13857,1146,2438,974,955,385,955,385,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,288930,6639,80576,3877,76394,4087,4182,1464,184470,3943,162879,4552,21591,3291,23884,990,23693,985,191,222,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,454489,5485,128415,3408,121073,3856,7342,2581,283189,3692,244453,4287,38736,3622,42885,1295,42496,1298,389,280,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2194008,15349,494282,8687,482584,8740,11698,2945,1436868,9007,1312984,11498,123884,6616,262858,3005,261050,3115,1808,714,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,213031,6099,56732,3816,55668,3831,1064,565,138231,3674,125338,4168,12893,2238,18068,1238,17878,1255,190,183,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,369503,6498,93734,3608,89282,3763,4452,1383,239357,4378,212067,5144,27290,3176,36412,1035,35407,1199,1005,574,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,198752,3145,50547,2269,49244,2322,1303,716,126661,1766,117161,2779,9500,2307,21544,407,20486,756,1058,699,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,312675,2775,68209,1086,67771,1142,438,313,201598,2451,191150,3162,10448,2203,42868,589,42775,585,93,112,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3180858,15768,866638,10022,808889,12019,57749,6144,1984768,8693,1537629,17469,447139,14169,329452,4138,319166,4698,10286,2332,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3113401,14991,852404,8254,801687,9519,50717,5713,1981179,9800,1579095,16000,402084,13164,279818,3132,276684,3389,3134,1321,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,21020,2114,4403,1099,4352,1084,51,86,15371,1627,14618,1615,753,552,1246,518,1246,518,0,182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8366,1332,3160,968,3160,968,0,193,4672,757,3733,1129,939,835,534,380,534,380,0,193,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1783576,9126,466246,5269,451862,6099,14384,2811,1115493,6112,986460,9086,129033,7027,201837,1992,200648,2164,1189,728,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,582971,7856,168887,5477,162971,5949,5916,1979,361238,5321,299835,6171,61403,4693,52846,1354,52577,1366,269,199,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,102031,4157,34075,2869,30917,3078,3158,1635,62850,2263,53563,2722,9287,1750,5106,772,5106,772,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,163608,5314,46470,3309,43789,3502,2681,2208,101729,3111,81952,3766,19777,2441,15409,771,15185,790,224,199,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,339483,5595,87628,4120,85924,4187,1704,840,217197,3338,199349,4396,17848,2386,34658,1964,34569,1957,89,126,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1450444,7518,410295,5367,396562,5191,13733,2547,892975,4255,696689,10118,196286,10053,147174,1876,146273,1854,901,445,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14551,1698,5024,1218,4820,1225,204,235,8741,1306,7284,1156,1457,551,786,611,786,611,0,163,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1732248,9833,418948,6388,401088,7111,17860,3233,1122762,5882,1024968,7831,97794,6152,190538,2093,187926,2124,2612,969,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,489307,8898,126165,4628,123544,4701,2621,1505,318621,6076,299092,6063,19529,3002,44521,1542,44159,1591,362,363,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1339121,9761,350143,6469,341942,6412,8201,1834,836529,5634,743292,7911,93237,5036,152449,1590,152187,1561,262,188,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,312598,5239,112561,3535,108802,3885,3759,1724,186076,3379,167551,3837,18525,2088,13961,827,13652,897,309,230,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1103584,5007,314417,3298,306422,3574,7995,1572,679041,3675,537758,6001,141283,6187,110126,1546,109825,1562,301,227,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,682415,6762,186650,4622,176809,5052,9841,2533,427383,4420,349182,6412,78201,5355,68382,1318,67752,1317,630,458,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4296,1057,961,582,961,582,0,165,3146,811,2423,730,723,435,189,213,164,199,25,48,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
