GEO_ID,C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,NAME,C21001A_001MA,C21001A_001EA,C21001A_002MA,C21001A_002EA,C21001A_003EA,C21001A_003MA,C21001A_004EA,C21001A_004MA,C21001A_005EA,C21001A_005MA,C21001A_006EA,C21001A_006MA,C21001A_007MA,C21001A_007EA,C21001A_008MA,C21001A_008EA,C21001A_009EA,C21001A_009MA,C21001A_010EA,C21001A_010MA,C21001A_011EA,C21001A_011MA,C21001A_012MA,C21001A_012EA,C21001A_013MA,C21001A_013EA,C21001A_014EA,C21001A_014MA,C21001A_015EA,C21001A_015MA,state
0400000US01,2630229,3937,1271313,3003,1004229,3010,102302,5517,901927,5844,267084,738,128517,3716,138567,3674,1358916,2601,1020331,2623,13530,1904,1006801,3352,338585,903,4361,1034,334224,1305,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,367521,2688,192604,2137,164235,2183,30045,2620,134190,3138,28369,322,16386,1100,11983,1075,174917,1376,147523,1367,5341,1164,142182,1751,27394,422,701,329,26693,534,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4128986,17434,2025119,9706,1559140,8880,167447,6289,1391693,10607,465979,2028,232303,4580,233676,4740,2103867,9130,1562284,8528,23452,2405,1538832,8747,541583,1953,9641,1162,531942,2171,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1804381,4219,875964,2600,688724,2578,72833,4443,615891,5304,187240,608,89776,3339,97464,3411,928417,2681,696958,2667,10584,1379,686374,2803,231459,861,2306,586,229153,1065,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18554103,43005,9167262,24915,7505955,24152,486064,11224,7019891,26776,1661307,5026,680018,8777,981289,8500,9386841,21990,7341488,20713,62689,4279,7278799,21578,2045353,6790,24147,2608,2021206,7046,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3583274,9667,1779803,5873,1482171,5420,153161,5488,1329010,6755,297632,1477,147662,3987,149970,4171,1803471,5396,1448668,4861,25251,2456,1423417,5262,354803,1635,5079,996,349724,1986,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2216205,9293,1062838,5621,845419,5415,51559,3671,793860,5760,217419,1019,95831,2948,121588,3145,1153367,4941,869015,4750,5307,1144,863708,5104,284352,1068,2873,743,281479,1359,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,527942,3166,253263,1956,193661,1899,17683,1991,175978,2528,59602,438,29958,1629,29644,1643,274679,1745,202035,1690,2061,709,199974,1784,72644,329,1026,682,71618,797,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,235068,2596,115583,1728,103497,1703,3585,896,99912,1900,12086,195,4046,750,8040,751,119485,1526,104342,1639,1129,446,103213,1689,15143,456,303,257,14840,515,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12545648,19043,6071842,11615,4502211,11393,444206,10574,4058005,14769,1569631,3584,714575,8305,855056,8904,6473806,11438,4581773,10406,69833,4152,4511940,11284,1892033,3685,24472,2027,1867561,4179,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
