GEO_ID,C17001C_001E,C17001C_001M,C17001C_002E,C17001C_002M,C17001C_003E,C17001C_003M,C17001C_004E,C17001C_004M,C17001C_005E,C17001C_005M,C17001C_006E,C17001C_006M,C17001C_007E,C17001C_007M,C17001C_008E,C17001C_008M,C17001C_009E,C17001C_009M,C17001C_010E,C17001C_010M,C17001C_011E,C17001C_011M,C17001C_012E,C17001C_012M,C17001C_013E,C17001C_013M,C17001C_014E,C17001C_014M,C17001C_015E,C17001C_015M,C17001C_016E,C17001C_016M,C17001C_017E,C17001C_017M,C17001C_018E,C17001C_018M,C17001C_019E,C17001C_019M,NAME,C17001C_001MA,C17001C_001EA,C17001C_002MA,C17001C_002EA,C17001C_003MA,C17001C_003EA,C17001C_004EA,C17001C_004MA,C17001C_005EA,C17001C_005MA,C17001C_006MA,C17001C_006EA,C17001C_007MA,C17001C_007EA,C17001C_008MA,C17001C_008EA,C17001C_009MA,C17001C_009EA,C17001C_010EA,C17001C_010MA,C17001C_011MA,C17001C_011EA,C17001C_012EA,C17001C_012MA,C17001C_013MA,C17001C_013EA,C17001C_014MA,C17001C_014EA,C17001C_015EA,C17001C_015MA,C17001C_016EA,C17001C_016MA,C17001C_017MA,C17001C_017EA,C17001C_018MA,C17001C_018EA,C17001C_019MA,C17001C_019EA,state
0400000US01,19733,2916,2733,983,1151,519,234,353,875,364,42,49,1582,622,256,245,1180,540,146,128,17000,2697,8369,1726,2227,854,5227,1278,915,651,8631,1566,1879,920,5545,1091,1207,426,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,98645,3273,23839,2190,11463,1246,4714,781,6510,704,239,97,12376,1262,4843,657,7272,850,261,111,74806,3014,37783,1987,11772,1159,22776,1617,3235,331,37023,2131,10985,1210,21953,1350,4085,485,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,301124,7614,107724,8224,50071,4303,21576,2790,26110,2381,2385,438,57653,4792,20302,2911,32812,2783,4539,727,193400,8558,93548,4753,24302,2392,61195,3238,8051,869,99852,4936,25792,2252,63309,3115,10751,934,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20137,2904,4035,1704,1976,1063,867,678,866,449,243,268,2059,910,693,473,1366,656,0,190,16102,2465,6657,1404,1648,592,4207,1036,802,447,9445,1671,3362,1027,4895,1097,1188,519,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,275171,13027,62188,6778,28285,3921,12137,2356,14888,2334,1260,421,33903,3693,11163,2033,20482,2126,2258,695,212983,11294,105785,6913,23667,2770,70835,5065,11283,1409,107198,5833,23306,2425,69730,4607,14162,1389,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46979,4066,10119,2679,4239,1377,950,654,2586,958,703,474,5880,1892,1980,1069,3568,1035,332,214,36860,3685,18969,2235,3720,1007,13642,1928,1607,505,17891,2371,3279,992,12211,1789,2401,638,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,8485,1853,1342,681,652,426,28,49,560,415,64,78,690,509,64,81,418,450,208,194,7143,1798,3655,1187,887,568,2359,961,409,304,3488,1081,619,334,2675,903,194,150,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45476,5002,7364,2014,2589,1124,508,445,1787,756,294,236,4775,1313,538,352,3357,1045,880,431,38112,4397,18878,3073,3831,1359,12294,2243,2753,682,19234,2278,3812,986,12746,1798,2676,880,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
