GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001MA,C17001A_001EA,C17001A_002MA,C17001A_002EA,C17001A_003EA,C17001A_003MA,C17001A_004EA,C17001A_004MA,C17001A_005MA,C17001A_005EA,C17001A_006EA,C17001A_006MA,C17001A_007MA,C17001A_007EA,C17001A_008EA,C17001A_008MA,C17001A_009EA,C17001A_009MA,C17001A_010EA,C17001A_010MA,C17001A_011MA,C17001A_011EA,C17001A_012MA,C17001A_012EA,C17001A_013EA,C17001A_013MA,C17001A_014EA,C17001A_014MA,C17001A_015EA,C17001A_015MA,C17001A_016MA,C17001A_016EA,C17001A_017EA,C17001A_017MA,C17001A_018MA,C17001A_018EA,C17001A_019EA,C17001A_019MA,state
0400000US01,3258837,6244,447305,19092,198281,9383,63294,4475,119972,6636,15015,1964,249024,11512,60713,4930,158191,7801,30120,2142,2811532,19079,1398145,9868,287172,4652,863426,7103,247547,2278,1413387,11834,272183,4984,843018,8007,298186,2600,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,471405,3413,31213,3615,15447,2188,5192,1399,9222,1347,1033,500,15766,2041,3993,993,10779,1363,994,396,440192,4292,234202,2718,45927,1610,161230,1864,27045,690,205990,2530,43355,1357,136750,1714,25885,600,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5171878,23299,784708,24821,359229,14349,124376,8206,207060,9426,27793,2046,425479,13780,123679,7263,249893,8864,51907,2990,4387170,31437,2181899,16597,450039,7559,1298009,12309,433851,2694,2205271,18308,427782,9049,1293989,12222,483500,3684,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2243667,7568,348259,12054,157607,7146,55525,4446,89513,5351,12569,1650,190652,7394,48661,3929,118415,4773,23576,2257,1895408,13119,944222,7987,198058,4660,576075,6008,170089,1870,951186,8609,187261,4753,566074,5327,197851,2464,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23409527,65323,3302467,49264,1515604,25768,520604,13357,878198,17542,116802,5526,1786863,30574,508377,15071,1093968,20651,184518,6159,20107060,65704,10124901,36127,2088103,18231,6516268,27608,1520530,6352,9982159,37827,1988360,17442,6173282,24737,1820517,8575,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4511131,14187,469963,17237,217399,9485,65997,5079,136693,6229,14709,1798,252564,10453,64540,4842,162669,7230,25355,1930,4041168,20371,2035620,11666,440721,6183,1316557,8593,278342,1986,2005548,13230,416257,6488,1269463,8717,319828,2663,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2673807,13524,211025,9844,92857,5473,25340,3107,57309,3907,10208,1876,118168,6446,26214,2862,71951,5223,20003,2108,2462782,17167,1208380,9197,237251,4471,768667,6776,202462,2051,1254402,9754,229433,3760,774631,7261,250338,2486,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639716,4742,61166,6593,26143,3964,8784,2522,15027,2149,2332,708,35023,3777,9486,2305,21022,2139,4515,739,578550,6471,284850,4061,53663,2166,174782,2727,56405,956,293700,3481,51079,1949,176821,2441,65800,783,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252112,3837,17986,2715,8763,1423,114,148,7731,1369,918,391,9223,2114,619,779,7325,1432,1279,706,234126,4587,116633,2461,15331,972,90386,2013,10916,515,117493,3095,14589,1324,89314,2215,13590,787,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15083401,29089,2049105,39256,924028,21858,276074,11120,524105,14186,123849,6354,1125077,22855,255751,11565,672664,16512,196662,6865,13034296,48503,6437095,27795,1116300,13377,3894686,18818,1426109,7021,6597201,27149,1074791,12508,3862593,19600,1659817,7619,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
