GEO_ID,B17020C_001E,B17020C_001M,B17020C_002E,B17020C_002M,B17020C_003E,B17020C_003M,B17020C_004E,B17020C_004M,B17020C_005E,B17020C_005M,B17020C_006E,B17020C_006M,B17020C_007E,B17020C_007M,B17020C_008E,B17020C_008M,B17020C_009E,B17020C_009M,B17020C_010E,B17020C_010M,B17020C_011E,B17020C_011M,B17020C_012E,B17020C_012M,B17020C_013E,B17020C_013M,B17020C_014E,B17020C_014M,B17020C_015E,B17020C_015M,B17020C_016E,B17020C_016M,B17020C_017E,B17020C_017M,NAME,B17020C_001EA,B17020C_001MA,B17020C_002MA,B17020C_002EA,B17020C_003MA,B17020C_003EA,B17020C_004MA,B17020C_004EA,B17020C_005MA,B17020C_005EA,B17020C_006EA,B17020C_006MA,B17020C_007EA,B17020C_007MA,B17020C_008EA,B17020C_008MA,B17020C_009EA,B17020C_009MA,B17020C_010MA,B17020C_010EA,B17020C_011EA,B17020C_011MA,B17020C_012EA,B17020C_012MA,B17020C_013EA,B17020C_013MA,B17020C_014EA,B17020C_014MA,B17020C_015EA,B17020C_015MA,B17020C_016MA,B17020C_016EA,B17020C_017EA,B17020C_017MA,state
0400000US01,19733,2916,2733,983,167,231,189,270,134,182,1797,639,358,213,88,116,0,192,17000,2697,910,519,1278,598,1918,874,9400,1969,3244,796,215,212,35,59,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,98645,3273,23839,2190,4373,775,3096,518,2088,347,12838,1186,1252,368,167,87,25,23,74806,3014,6552,808,8234,992,7971,1184,40624,2102,9116,712,1874,316,435,114,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,301124,7614,107724,8224,14186,1887,15289,2367,12403,1770,55296,4085,7208,1013,2130,362,1212,514,193400,8558,14803,1845,18852,2347,16439,1645,115845,5074,20534,1849,4960,832,1967,616,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20137,2904,4035,1704,463,366,725,622,372,248,1985,861,378,383,112,143,0,190,16102,2465,1455,684,1736,616,1819,687,8240,1583,2159,757,387,258,306,396,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,275171,13027,62188,6778,9071,2211,7526,1636,6703,1389,32650,3634,5065,1015,841,295,332,271,212983,11294,15060,2057,15968,2242,15945,2065,128327,7680,28827,2665,6437,1156,2419,586,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46979,4066,10119,2679,922,818,1185,985,823,495,5566,1595,1289,475,310,401,24,44,36860,3685,2029,823,2145,697,2825,882,23569,2800,5088,841,918,434,286,244,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45476,5002,7364,2014,493,420,355,299,198,132,4730,1460,1328,579,159,166,101,137,38112,4397,1753,794,2193,635,3697,1286,22954,3166,5939,1150,1297,483,279,252,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
