GEO_ID,B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,NAME,B18101H_001EA,B18101H_001MA,B18101H_002EA,B18101H_002MA,B18101H_003EA,B18101H_003MA,B18101H_004EA,B18101H_004MA,B18101H_005MA,B18101H_005EA,B18101H_006MA,B18101H_006EA,B18101H_007EA,B18101H_007MA,B18101H_008EA,B18101H_008MA,B18101H_009EA,B18101H_009MA,B18101H_010MA,B18101H_010EA,state
0400000US01,3160961,2143,643026,676,30304,2863,612722,2889,1931590,2336,277313,7853,1654277,8020,586345,1073,237175,5361,349170,5302,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,436947,2089,92218,527,3638,1013,88580,1150,291254,1941,26560,2648,264694,3033,53475,354,20066,1655,33409,1665,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3753185,3491,649370,1190,21631,2478,627739,2556,2207546,2952,249820,8849,1957726,8492,896269,1310,300573,7559,595696,7721,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2138791,2294,448083,1218,25149,2351,422934,2612,1291026,1541,192759,6510,1098267,7125,399682,934,166835,4511,232847,4381,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14611036,9585,2368227,3931,78772,4642,2289455,5969,9261681,7486,886214,14616,8375467,15953,2981128,2655,1015094,11089,1966034,10987,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3683433,4849,706415,2314,20921,2331,685494,3222,2393470,3560,196879,6783,2196591,7512,583548,1043,185143,4693,398405,4845,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2406474,3061,432020,980,13862,1829,418158,2222,1510750,2583,126358,5584,1384392,6206,463704,1003,139908,4381,323796,4458,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,587551,1394,102698,466,3882,1082,98816,1162,358839,1384,34105,2492,324734,2745,126014,524,39565,2035,86449,2042,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,237792,1127,25256,258,552,331,24704,470,187583,998,5766,1219,181817,1661,24953,465,5567,1003,19386,1027,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11016249,7879,1760143,2617,75054,5615,1685089,6082,6353707,5988,702229,13940,5651478,14680,2902399,2725,950279,12148,1952120,12526,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5397984,5641,1116456,2454,47457,4272,1068999,4937,3363260,3995,367815,10302,2995445,11696,918268,1772,327189,6827,591079,6980,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,298590,1905,43170,208,654,325,42516,383,193108,1855,15829,2153,177279,2517,62312,369,18211,1570,44101,1637,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1350246,1856,324906,724,13786,2278,311120,2362,801570,1739,100145,5125,701425,5212,223770,545,81890,3711,141880,3721,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
