GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001EA,B08007_001MA,B08007_002EA,B08007_002MA,B08007_003MA,B08007_003EA,B08007_004MA,B08007_004EA,B08007_005EA,B08007_005MA,B08007_006EA,B08007_006MA,B08007_007EA,B08007_007MA,B08007_008MA,B08007_008EA,B08007_009MA,B08007_009EA,B08007_010MA,B08007_010EA,B08007_011EA,B08007_011MA,B08007_012EA,B08007_012MA,B08007_013MA,B08007_013EA,B08007_014MA,B08007_014EA,B08007_015MA,B08007_015EA,state
0400000US35,877360,12516,849399,12235,743177,12262,106222,5066,27961,2887,466137,7835,447257,7708,383815,7476,63442,4068,18880,2230,411223,7676,402142,7623,359362,7600,42780,3152,9081,1535,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,9276438,30728,9046980,31722,5938855,35705,3108125,26622,229458,8412,4807894,20883,4666604,22453,2946626,22130,1719978,20130,141290,6464,4468544,21079,4380376,20319,2992229,23969,1388147,16356,88168,4874,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,4524800,20892,4405359,21040,3231631,21157,1173728,15987,119441,5037,2391915,16189,2310424,16299,1648909,14872,661515,10899,81491,3601,2132885,14353,2094935,13932,1582722,15349,512213,11372,37950,3247,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,404165,4815,390541,5082,341998,5591,48543,2571,13624,1870,223785,3741,215762,4052,186062,4118,29700,2072,8023,1413,180380,2745,174779,2737,155936,2832,18843,1688,5601,1124,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,5381435,19529,5230915,20223,3742642,20400,1488273,17680,150520,5451,2795871,11677,2701370,11766,1855140,13967,846230,11407,94501,4572,2585564,15848,2529545,15803,1887502,14272,642043,11815,56019,3451,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,1739806,10145,1696007,10429,1294518,12038,401489,7938,43799,3127,937089,7311,907707,7406,675305,8844,232402,5981,29382,2317,802717,7029,788300,7418,619213,7598,169087,5401,14417,1428,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1839706,12827,1800119,13509,1417483,14774,382636,9036,39587,3529,968642,8935,943778,9465,722683,9731,221095,6976,24864,2517,871064,9813,856341,9938,694800,10495,161541,5828,14723,2238,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,5977629,23308,5665785,22347,4208795,22538,1456990,17493,311844,8791,3114072,13593,2918592,14194,2112177,16315,806415,12942,195480,6412,2863557,17107,2747193,16617,2096618,16577,650575,10134,116364,5483,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,509823,7391,428339,6568,319718,7277,108621,4411,81484,5072,259996,4961,210698,4653,154381,5267,56317,3035,49298,4093,249827,4675,217641,4977,165337,4762,52304,3020,32186,2631,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2145374,17340,2032726,17183,1505078,15004,527648,11654,112648,5411,1118592,10207,1050708,10373,762009,9111,288699,7926,67884,3915,1026782,11906,982018,11660,743069,10966,238949,7000,44764,3256,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
