GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001MA,B08503_001EA,B08503_002MA,B08503_002EA,B08503_003EA,B08503_003MA,B08503_004EA,B08503_004MA,B08503_005MA,B08503_005EA,B08503_006EA,B08503_006MA,B08503_007MA,B08503_007EA,state
0400000US01,42.0,0.3,42.3,0.3,38.3,0.7,41.3,5.6,34.6,4.2,42.9,2.5,45.2,1.3,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39.5,0.5,39.6,0.7,35.5,2.0,33.7,5.0,39.3,1.7,39.8,3.0,50.4,4.3,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40.9,0.2,41.2,0.3,37.0,0.8,36.3,1.9,28.7,1.7,38.3,1.8,48.7,0.7,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41.7,0.3,42.1,0.4,38.0,1.0,39.4,8.5,30.9,3.0,38.6,5.6,47.3,1.6,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41.1,0.1,41.3,0.2,39.9,0.3,37.9,0.4,33.7,0.7,37.0,0.6,48.1,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40.7,0.2,41.1,0.3,37.8,0.6,35.6,1.4,29.9,1.5,35.1,1.3,47.0,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.4,0.2,45.2,0.3,38.7,2.1,35.7,1.2,31.1,2.4,41.2,3.4,49.2,1.0,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42.9,0.5,43.2,0.6,37.2,3.0,41.2,7.7,31.4,5.0,42.7,6.5,51.5,1.5,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42.1,0.3,44.5,0.5,44.1,1.5,40.4,0.7,31.7,0.8,39.0,2.9,41.6,2.6,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,42.9,0.2,43.1,0.2,39.2,0.6,36.4,1.2,37.2,1.4,39.7,1.6,49.2,0.7,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.6,0.2,42.0,0.2,37.9,0.6,37.2,0.9,31.2,1.9,40.1,0.9,46.8,0.8,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,41.4,0.3,41.2,0.4,42.7,1.0,43.7,2.1,32.0,2.3,37.9,2.8,45.7,3.2,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40.9,0.4,41.0,0.6,38.5,1.1,38.7,7.6,35.1,2.0,40.1,4.5,47.1,1.5,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41.9,0.2,43.1,0.2,39.4,0.6,36.3,0.4,31.7,0.7,36.9,1.2,47.3,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42.1,0.2,42.7,0.2,37.9,0.8,33.6,1.8,28.6,1.6,34.5,1.6,45.9,1.0,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
