GEO_ID,C23008_001E,C23008_001M,C23008_002E,C23008_002M,C23008_003E,C23008_003M,C23008_004E,C23008_004M,C23008_005E,C23008_005M,C23008_006E,C23008_006M,C23008_007E,C23008_007M,C23008_008E,C23008_008M,C23008_009E,C23008_009M,C23008_010E,C23008_010M,C23008_011E,C23008_011M,C23008_012E,C23008_012M,C23008_013E,C23008_013M,C23008_014E,C23008_014M,C23008_015E,C23008_015M,C23008_016E,C23008_016M,C23008_017E,C23008_017M,C23008_018E,C23008_018M,C23008_019E,C23008_019M,NAME,C23008_001MA,C23008_001EA,C23008_002MA,C23008_002EA,C23008_003MA,C23008_003EA,C23008_004MA,C23008_004EA,C23008_005MA,C23008_005EA,C23008_006MA,C23008_006EA,C23008_007MA,C23008_007EA,C23008_008MA,C23008_008EA,C23008_009MA,C23008_009EA,C23008_010MA,C23008_010EA,C23008_011MA,C23008_011EA,C23008_012MA,C23008_012EA,C23008_013MA,C23008_013EA,C23008_014MA,C23008_014EA,C23008_015MA,C23008_015EA,C23008_016MA,C23008_016EA,C23008_017MA,C23008_017EA,C23008_018MA,C23008_018EA,C23008_019MA,C23008_019EA,state
0400000US01,1028773,5919,327591,5468,191899,5436,113548,6354,68440,5085,5275,1465,4636,1422,135692,5632,102333,5400,33359,3811,701182,6809,422745,8776,265009,9096,121224,6756,22597,3411,13915,2807,278437,7996,213665,8111,64772,6018,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,176316,1926,63071,1789,42426,2406,24361,2355,16693,1957,910,453,462,250,20645,2150,16639,2054,4006,893,113245,2162,74063,3561,46663,3035,22943,2796,2368,669,2089,1112,39182,3361,33989,3275,5193,1283,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1531213,6978,490971,5028,296149,7439,153948,5838,127485,6081,11050,1984,3666,978,194822,6799,149266,6502,45556,3665,1040242,6636,650682,12121,371099,13003,234688,10062,27935,4001,16960,4316,389560,12516,314719,11079,74841,6874,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,648293,5939,211848,4914,130825,4785,70881,3807,51255,4104,4649,1327,4040,1262,81023,4307,57993,3841,23030,2835,436445,5921,283702,8298,174727,7576,83236,5865,15929,2669,9810,2023,152743,8320,117885,7507,34858,4351,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8702531,13121,2886089,11148,1881845,18794,1028394,15833,759333,15127,59390,4619,34728,4007,1004244,18303,735011,15746,269233,11849,5816442,14707,3870190,24997,2265140,26707,1366053,20781,156585,8992,82412,5280,1946252,25935,1537951,21662,408301,14933,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1203600,5855,392013,4437,286594,6222,167960,6668,105061,5202,8996,1781,4577,1663,105419,5539,82094,5504,23325,3293,811587,6396,580616,10188,375829,10144,172309,9191,23209,2857,9269,2378,230971,8550,199289,8417,31682,3198,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,729601,3656,218351,4062,150042,4647,100826,4982,43886,3491,3857,1167,1473,872,68309,4504,55445,4259,12864,2652,511250,4334,347034,7462,248461,8710,83423,5263,9938,2294,5212,1632,164216,7778,145463,7861,18753,3057,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,193621,2087,63389,1670,39355,2428,22792,2175,14457,2029,2046,1093,60,106,24034,2755,19821,2615,4213,1303,130232,2278,77023,4712,56049,4779,17322,2827,2737,998,915,732,53209,4350,44982,4235,8227,2115,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110141,1926,49043,1453,24976,1672,20058,2013,4395,1226,239,249,284,359,24067,1828,16865,1897,7202,1938,61098,1856,26426,3248,19229,2789,5548,1373,333,269,1316,1553,34672,3147,27777,3368,6895,1735,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3873572,11837,1260973,10350,734666,12828,433487,12681,263868,10396,25247,3080,12064,2477,526307,11955,412238,10370,114069,8864,2612599,12162,1571935,17909,1003292,18871,446058,14818,85982,7645,36603,5416,1040664,18619,862404,19559,178260,10208,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
