GEO_ID,C11010_001E,C11010_001M,C11010_002E,C11010_002M,C11010_003E,C11010_003M,C11010_004E,C11010_004M,C11010_005E,C11010_005M,C11010_006E,C11010_006M,C11010_007E,C11010_007M,C11010_008E,C11010_008M,C11010_009E,C11010_009M,C11010_010E,C11010_010M,C11010_011E,C11010_011M,NAME,C11010_001EA,C11010_001MA,C11010_002EA,C11010_002MA,C11010_003MA,C11010_003EA,C11010_004MA,C11010_004EA,C11010_005EA,C11010_005MA,C11010_006EA,C11010_006MA,C11010_007EA,C11010_007MA,C11010_008MA,C11010_008EA,C11010_009EA,C11010_009MA,C11010_010MA,C11010_010EA,C11010_011EA,C11010_011MA,state
0400000US01,632850,11633,286161,6932,241499,6337,179149,6018,62350,2836,44662,3682,346689,8594,311173,7970,161429,6083,149744,4353,35516,3328,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86385,3614,50242,2778,37744,3065,31165,2686,6579,1270,12498,1657,36143,2373,29019,2179,19450,1901,9569,918,7124,1267,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,864594,12728,423708,8772,320690,8161,232074,6964,88616,3803,103018,4795,440886,7922,358648,7169,189719,6416,168929,4587,82238,4948,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,383169,8477,177545,6443,143237,5749,102435,5196,40802,2839,34308,2835,205624,5458,181671,5614,89639,4704,92032,3681,23953,2003,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4060451,23969,1919426,17429,1387206,17271,1010377,14467,376829,8936,532220,11071,2141025,17765,1712560,15582,918863,13812,793697,10602,428465,9083,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,742874,10127,370368,7408,271232,7276,210250,6287,60982,3163,99136,5295,372506,8750,293525,7545,171548,5932,121977,3826,78981,4269,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,467515,8897,209025,6667,163367,6187,117799,5307,45568,3023,45658,3390,258490,6114,219034,6495,111799,6008,107235,3842,39456,3247,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,117210,4664,52874,3389,39498,2900,27737,2667,11761,1382,13376,1672,64336,2852,54326,2695,27491,2263,26835,1815,10010,1438,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,156609,4612,73949,3199,53327,3257,43804,3008,9523,1062,20622,2130,82660,3395,65020,3433,45694,3208,19326,1637,17640,1922,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2656573,24612,1209071,17629,929908,15763,625144,13313,304764,8962,279163,8279,1447502,18348,1223773,16370,590084,11567,633689,11161,223729,8297,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
