GEO_ID,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,NAME,B17020_001MA,B17020_001EA,B17020_002EA,B17020_002MA,B17020_003EA,B17020_003MA,B17020_004EA,B17020_004MA,B17020_005EA,B17020_005MA,B17020_006EA,B17020_006MA,B17020_007MA,B17020_007EA,B17020_008EA,B17020_008MA,B17020_009EA,B17020_009MA,B17020_010EA,B17020_010MA,B17020_011EA,B17020_011MA,B17020_012MA,B17020_012EA,B17020_013EA,B17020_013MA,B17020_014EA,B17020_014MA,B17020_015EA,B17020_015MA,B17020_016EA,B17020_016MA,B17020_017MA,B17020_017EA,state
0400000US01,4736333,2309,876016,23918,101860,5652,101755,6266,87210,5191,471890,13435,82491,4495,21597,2025,9213,1236,3860317,23932,239419,6480,270274,8661,292440,8151,2127435,15430,663172,8227,202371,3853,65206,3196,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,720765,857,74532,5835,10286,1582,9275,1496,8288,1666,40177,3063,5434,1021,751,316,321,311,646233,5969,54334,2143,49617,2310,51439,2418,383790,3593,85830,2184,16073,1244,5150,1052,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6671705,3550,1159043,29822,133253,6024,141823,7941,118782,7217,617175,17098,103005,5387,29806,3170,15199,1714,5512662,29567,370406,6954,409570,7497,421750,10020,2955714,19012,940388,8606,302221,5284,112613,4405,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2887337,2988,550508,17473,69454,4531,65329,5030,52910,4022,290927,10213,50040,3370,15184,1850,6664,1029,2336829,17428,150518,5203,172532,6490,179138,4889,1272023,11086,399416,6853,118280,3298,44922,2725,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38398057,6625,5891678,66827,657979,14585,648053,15822,595473,14395,3234928,42019,517694,12975,162219,6245,75332,4039,32506379,67593,2287699,17820,2373996,19840,2418681,21114,18954482,46698,4568667,18266,1325698,9985,577156,10461,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5339618,2635,613549,20501,66278,5655,62272,4644,53991,4600,349212,11858,59913,4012,14805,1667,7078,1246,4726069,20499,332531,6262,364847,7058,359950,7326,2725506,13603,701950,7671,171953,3510,69332,3027,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3480932,2053,366909,15789,37112,3912,38203,3968,33978,3264,201009,9930,37892,3818,12890,1591,5825,1037,3114023,16430,185329,4962,217541,6023,239718,5758,1758116,10621,499363,6965,142804,3565,71152,3103,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920355,878,114360,9567,13378,2554,13425,2831,12169,2456,60507,5277,10095,1525,3055,695,1731,702,805995,9555,51902,2571,51006,3188,59396,3361,440989,6215,145681,3490,41287,1828,15734,1672,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,638027,441,110500,8628,11562,2355,10047,1939,8120,1787,64094,5027,11875,1623,3378,789,1424,501,527527,8607,39092,2160,24416,2298,22821,2274,352178,4900,63688,2482,16438,1226,8894,1066,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19850054,6121,3116886,47330,336831,11769,314328,12117,280442,11086,1627323,28258,374437,11566,128130,6569,55395,3743,16733168,46952,957465,12730,1032783,14928,1112353,15740,9030514,32281,3072314,18883,1080326,10562,447413,9558,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
