GEO_ID,B17002_001E,B17002_001M,B17002_002E,B17002_002M,B17002_003E,B17002_003M,B17002_004E,B17002_004M,B17002_005E,B17002_005M,B17002_006E,B17002_006M,B17002_007E,B17002_007M,B17002_008E,B17002_008M,B17002_009E,B17002_009M,B17002_010E,B17002_010M,B17002_011E,B17002_011M,B17002_012E,B17002_012M,B17002_013E,B17002_013M,NAME,B17002_001EA,B17002_001MA,B17002_002EA,B17002_002MA,B17002_003MA,B17002_003EA,B17002_004MA,B17002_004EA,B17002_005EA,B17002_005MA,B17002_006MA,B17002_006EA,B17002_007EA,B17002_007MA,B17002_008EA,B17002_008MA,B17002_009MA,B17002_009EA,B17002_010EA,B17002_010MA,B17002_011MA,B17002_011EA,B17002_012EA,B17002_012MA,B17002_013EA,B17002_013MA,state
0400000US01,4736333,2309,385733,15876,229648,14691,260635,13364,253264,16495,232748,12553,246683,13961,94147,6813,148528,9536,795417,22216,653702,21469,451292,17625,984536,21929,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,720765,857,30067,3654,19222,3827,25243,3280,25890,4571,30917,5064,22749,3659,11650,2826,17397,3401,117931,7311,92951,7553,80825,6764,245923,9067,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6671705,3550,547868,22497,261529,16615,349646,18621,331319,16793,349591,18320,335271,20825,126877,11333,190918,12318,1170456,25212,898133,26770,625920,18249,1484177,27280,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2887337,2988,228019,12753,140843,9814,181646,11720,179466,10909,163520,11154,157077,11567,65074,6899,86381,9045,522969,17558,386500,12754,261849,12892,513993,15519,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38398057,6625,2568959,47903,1396792,41770,1925927,42691,1876972,44872,1892847,49182,1893248,43399,702744,28252,1018210,35862,5970897,60989,4510488,63705,3510960,51961,11130013,79854,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5339618,2635,273501,13881,143700,11909,196348,11187,199004,14483,204582,12741,223387,13608,87378,7220,133608,11863,861863,22800,746561,22225,620042,18008,1649644,17852,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3480932,2053,174686,10493,88889,7650,103334,9934,111641,9688,107371,7042,104811,8770,50600,6956,58204,6448,444666,17185,426013,16472,389911,16628,1420806,24029,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920355,878,53449,6143,31279,6971,29632,4644,32252,4466,41470,6451,34608,5415,14460,4799,19771,3907,142722,12017,133084,9627,119490,8535,268138,10535,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,638027,441,58611,6805,22101,3993,29788,4804,25822,4073,22197,4867,17277,3624,8815,3259,10356,2463,59977,6468,67651,6626,51792,5387,263640,7982,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19850054,6121,1329921,34082,811389,28318,975576,29995,1077177,34919,1043423,33271,1064250,30786,420005,19820,600448,25302,3594492,52793,2635042,45519,1896336,41576,4401995,50037,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
