GEO_ID,B10054_001E,B10054_001M,B10054_002E,B10054_002M,B10054_003E,B10054_003M,B10054_004E,B10054_004M,B10054_005E,B10054_005M,B10054_006E,B10054_006M,B10054_007E,B10054_007M,B10054_008E,B10054_008M,B10054_009E,B10054_009M,B10054_010E,B10054_010M,B10054_011E,B10054_011M,B10054_012E,B10054_012M,B10054_013E,B10054_013M,B10054_014E,B10054_014M,B10054_015E,B10054_015M,B10054_016E,B10054_016M,B10054_017E,B10054_017M,NAME,B10054_001MA,B10054_001EA,B10054_002EA,B10054_002MA,B10054_003MA,B10054_003EA,B10054_004MA,B10054_004EA,B10054_005MA,B10054_005EA,B10054_006MA,B10054_006EA,B10054_007EA,B10054_007MA,B10054_008MA,B10054_008EA,B10054_009MA,B10054_009EA,B10054_010MA,B10054_010EA,B10054_011MA,B10054_011EA,B10054_012MA,B10054_012EA,B10054_013EA,B10054_013MA,B10054_014MA,B10054_014EA,B10054_015MA,B10054_015EA,B10054_016MA,B10054_016EA,B10054_017MA,B10054_017EA,state
0400000US01,119371,6649,113964,6273,60555,4125,36189,2944,24366,2763,53409,3870,5407,1476,2263,876,982,590,493,357,489,413,1281,569,3144,1152,510,312,275,205,235,195,2634,1128,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17976,1926,10851,1728,4058,912,2504,671,1554,530,6793,1699,7125,1116,3413,663,1716,337,1127,301,589,176,1697,472,3712,823,684,237,258,148,426,196,3028,784,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,175124,9059,86459,5813,35801,3328,20930,2711,14871,1973,50658,4203,88665,5765,36955,3609,16599,2283,10066,1800,6533,1297,20356,2764,51710,4616,14842,2313,9319,2025,5523,1339,36868,3678,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68904,4883,63280,4630,37455,3183,22920,2445,14535,2008,25825,2678,5624,1294,846,583,450,427,361,384,89,164,396,397,4778,1270,1580,611,1064,528,516,403,3198,1077,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1158073,22198,360098,10688,118265,5746,61328,4376,56937,4154,241833,8817,797975,19228,190512,8707,47386,3979,27737,2854,19649,2738,143126,7383,607463,17175,106669,5990,58525,5128,48144,3881,500794,15463,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,104702,7688,69786,5781,26478,3187,15794,2567,10684,1641,43308,3933,34916,3832,13091,2450,5190,1494,3420,1163,1770,747,7901,1910,21825,2716,4042,1227,2481,814,1561,661,17783,2531,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60326,4853,40200,3202,12811,2039,7680,1702,5131,1167,27389,2908,20126,3276,6989,1577,2081,751,1308,588,773,531,4908,1408,13137,2671,3505,1451,1676,882,1829,1059,9632,2004,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21859,3025,17758,2521,6823,1256,3914,973,2909,763,10935,2077,4101,1348,1698,832,770,488,341,246,429,370,928,587,2403,1110,657,495,120,151,537,451,1746,839,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13296,2251,11237,1692,4822,1119,2994,887,1828,708,6415,1261,2059,1384,1083,677,857,672,822,658,35,56,226,236,976,778,593,678,166,282,427,611,383,354,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,479491,12874,272040,9747,113724,6398,62560,4482,51164,4560,158316,8320,207451,9083,62083,5225,13591,2769,9177,2153,4414,1106,48492,4764,145368,7802,18105,2976,10212,2141,7893,1578,127263,7436,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
