GEO_ID,C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,NAME,C25055_001EA,C25055_001MA,C25055_002MA,C25055_002EA,C25055_003MA,C25055_003EA,C25055_004MA,C25055_004EA,C25055_005MA,C25055_005EA,state
0400000US01,525412,10849,391840,8983,67540,4205,39641,3077,26391,2028,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83117,3288,66995,2847,10126,1602,4065,783,1931,434,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,889617,12695,666256,11656,112391,4828,61972,3271,48998,2729,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,361300,8114,268621,7694,45311,3073,25779,2614,21589,1760,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5791091,27078,4272412,24375,764610,13431,425869,10695,328200,8987,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,727840,9142,560816,8748,82978,4538,44007,3131,40039,2547,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,436615,8363,301427,6444,60783,4037,36607,2458,37798,2411,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,96117,3999,68742,3566,12742,1559,8103,1386,6530,1180,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,163821,4174,121274,3963,22298,1852,12687,1480,7562,1136,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2581105,23195,1860189,20663,345714,7948,202790,7825,172412,5911,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1317775,16188,1024926,15011,152310,5772,82196,4535,58343,3796,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,181861,4731,130297,4008,24104,2155,15667,1937,11793,1493,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,172157,6068,133778,5274,17911,2311,10902,1302,9566,1773,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1592982,15714,1162625,13539,204428,6463,118503,4739,107426,4436,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,756595,9968,552918,9660,97932,3590,57156,3540,48589,2739,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,341503,8073,249013,6856,40107,2752,19443,2167,32940,1845,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,352021,7197,258182,6120,40628,2566,25522,2328,27689,2499,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,524356,9605,389302,8031,72510,4414,36807,2496,25737,1929,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,544128,10529,412788,8780,72264,4301,36127,2342,22949,2334,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,146354,4612,91062,4004,23579,2427,13947,1548,17766,1886,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,713136,10420,515053,9049,94260,4580,55132,3670,48691,2975,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,942501,12874,645365,10733,130417,5528,84684,3708,82035,3874,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1079747,11842,766556,9975,148272,4751,85774,3503,79145,4254,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,597875,9692,428278,7870,68779,3000,39945,2539,60873,3178,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,313250,7745,236773,6637,42125,3089,21774,2091,12578,1459,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,754782,12491,541819,10583,103025,4877,56329,3176,53609,3441,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,125560,4629,89062,4323,16125,1485,9435,1287,10938,1435,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,238274,4666,175813,4421,27039,2038,14866,1499,20556,1620,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,464472,8400,332887,7799,67792,3425,41860,2727,21933,2255,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,144478,5241,97778,4739,21376,2266,11885,1558,13439,1721,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1134300,10791,781625,9773,167999,5446,95222,4191,89454,3963,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,229566,5651,169518,5457,30959,2599,16986,1962,12103,1495,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3266423,19641,2188904,16315,487617,9672,318329,6576,271573,6620,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1290673,14293,971491,10877,168067,6175,89192,5116,61923,4005,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,112531,4270,84566,4076,12095,1962,6086,1000,9784,1229,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1512713,14860,1075348,13330,215962,6185,117496,4400,103907,4178,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,461759,7453,346665,6828,58852,2917,30217,2160,26025,1933,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
