GEO_ID,C27013_001E,C27013_001M,C27013_002E,C27013_002M,C27013_003E,C27013_003M,C27013_004E,C27013_004M,C27013_005E,C27013_005M,C27013_006E,C27013_006M,C27013_007E,C27013_007M,C27013_008E,C27013_008M,C27013_009E,C27013_009M,C27013_010E,C27013_010M,C27013_011E,C27013_011M,C27013_012E,C27013_012M,C27013_013E,C27013_013M,C27013_014E,C27013_014M,C27013_015E,C27013_015M,C27013_016E,C27013_016M,C27013_017E,C27013_017M,C27013_018E,C27013_018M,C27013_019E,C27013_019M,C27013_020E,C27013_020M,C27013_021E,C27013_021M,C27013_022E,C27013_022M,NAME,C27013_001MA,C27013_001EA,C27013_002MA,C27013_002EA,C27013_003MA,C27013_003EA,C27013_004EA,C27013_004MA,C27013_005EA,C27013_005MA,C27013_006MA,C27013_006EA,C27013_007MA,C27013_007EA,C27013_008MA,C27013_008EA,C27013_009EA,C27013_009MA,C27013_010EA,C27013_010MA,C27013_011MA,C27013_011EA,C27013_012MA,C27013_012EA,C27013_013MA,C27013_013EA,C27013_014MA,C27013_014EA,C27013_015EA,C27013_015MA,C27013_016MA,C27013_016EA,C27013_017MA,C27013_017EA,C27013_018MA,C27013_018EA,C27013_019MA,C27013_019EA,C27013_020EA,C27013_020MA,C27013_021MA,C27013_021EA,C27013_022MA,C27013_022EA,state
0400000US01,3674354,3461,1470365,14789,1412028,14187,1251097,15702,160931,7858,58337,3151,46972,2776,11365,1458,762404,13963,688304,13185,465052,13257,223252,8920,74100,3518,52653,3149,21447,1797,1441585,15328,830748,14637,390153,10901,440595,12560,610837,4492,380412,7265,230425,7087,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,527165,1857,226598,5487,218745,5258,184724,4931,34021,3420,7853,1080,5906,906,1947,635,172430,5671,160525,5521,102040,5101,58485,3453,11905,1062,8149,925,3756,673,128137,4204,77809,3921,37051,3233,40758,2832,50328,1754,30893,2524,19435,2055,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5099961,2056,2050479,17933,1977869,17259,1607210,18207,370659,11978,72610,3910,50637,2939,21973,2321,1149964,14604,1030720,14107,624916,13073,405804,10851,119244,4565,69092,3409,50152,2891,1899518,16723,983485,15531,438870,9855,544615,13266,916033,6484,507430,8589,408603,8468,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2220606,2177,912157,10687,875494,10446,742098,11160,133396,7805,36663,2782,27816,2563,8847,1739,475000,8601,422770,8366,255450,7098,167320,5833,52230,2955,31844,2195,20386,2092,833449,9500,461119,8979,188498,6175,272621,8667,372330,3630,218723,4556,153607,5040,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29546482,5416,12212833,47127,11759541,45604,9626773,45386,2132768,27724,453292,9078,320390,8206,132902,5785,7385283,41116,6793116,37879,4165721,35428,2627395,27191,592167,9867,346748,7586,245419,7561,9948366,37815,5899194,34635,2716345,23303,3182849,33173,4049172,11336,1956009,15376,2093163,16054,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4112535,3482,1920468,16939,1854054,16644,1581102,15800,272952,9499,66414,3222,47035,2527,19379,2317,1081951,14425,976829,13547,656142,11588,320687,9980,105122,3993,62278,3117,42844,3068,1110116,13724,585555,13042,316291,8665,269264,9525,524561,5326,318547,6215,206014,6287,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2776062,1382,1220497,10579,1165175,10374,1036168,10095,129007,7189,55322,2770,44406,2269,10916,1604,724369,12430,641064,12091,445273,10158,195791,8127,83305,4026,54270,3275,29035,2506,831196,9995,426411,9286,213145,7167,213266,8012,404785,4800,242324,5978,162461,5595,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,727432,849,314627,7226,302027,7113,266694,7353,35333,3443,12600,1578,10258,1432,2342,618,169785,5553,149763,5383,101149,4570,48614,3679,20022,1733,13500,1504,6522,969,243020,5269,118892,5246,59087,4164,59805,4362,124128,2254,82925,2849,41203,2784,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,543267,667,269020,4953,259580,4656,233358,5339,26222,3629,9440,1310,7679,1110,1761,751,129993,5100,119320,5038,87104,4369,32216,3158,10673,1306,8024,1143,2649,812,144254,4408,90690,3981,34084,2542,56606,3947,53564,1427,33761,2121,19803,1947,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15866768,4364,6341312,33504,6069501,32951,4966196,35335,1103305,22734,271811,7203,173782,6829,98029,4761,3380877,30194,2969474,29312,1848784,22753,1120690,18618,411403,10280,223383,7185,188020,6948,6144579,30542,2949212,29840,1377826,22105,1571386,26673,3195367,11606,1655278,15753,1540089,16186,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
