GEO_ID,C17003_001E,C17003_001M,C17003_002E,C17003_002M,C17003_003E,C17003_003M,C17003_004E,C17003_004M,C17003_005E,C17003_005M,C17003_006E,C17003_006M,C17003_007E,C17003_007M,C17003_008E,C17003_008M,C17003_009E,C17003_009M,C17003_010E,C17003_010M,C17003_011E,C17003_011M,NAME,C17003_001MA,C17003_001EA,C17003_002MA,C17003_002EA,C17003_003MA,C17003_003EA,C17003_004EA,C17003_004MA,C17003_005MA,C17003_005EA,C17003_006MA,C17003_006EA,C17003_007MA,C17003_007EA,C17003_008EA,C17003_008MA,C17003_009EA,C17003_009MA,C17003_010MA,C17003_010EA,C17003_011MA,C17003_011EA,state
0400000US01,3221906,6049,462649,12777,146765,7520,165327,7503,115835,6152,34722,3667,2759257,13720,326135,10130,830064,13482,847241,15627,755817,14484,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,462173,1672,35648,2724,6701,1085,14368,1484,10693,1782,3886,1158,426525,3235,27182,2758,110434,4995,154415,4719,134494,4849,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4456204,2927,598338,15139,186914,9084,188546,7944,157370,7450,65508,4061,3857866,15219,421236,13186,897184,15473,1353232,18275,1186214,16965,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1943954,4667,287143,9170,84272,4947,111549,5808,72302,4621,19020,2656,1656811,9600,194319,6799,545314,8949,505886,9751,411292,7907,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25744771,6174,3146439,36835,1118630,20610,798814,15856,795002,17019,433993,13438,22598332,36796,3418582,31453,4522285,33380,6710137,40187,7947328,34617,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3618743,3829,315926,9357,70389,5601,81048,5181,98872,5726,65617,4342,3302817,9479,242602,8629,689473,13594,1000820,14743,1369922,14513,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2432926,2235,212275,9336,58684,4920,70576,4984,47928,3556,35087,3164,2220651,9617,173017,7406,589575,11265,549238,9003,908821,12771,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,642363,1457,60658,4298,15207,2081,24019,2875,14541,2209,6891,1398,581705,4739,53558,4568,165905,5869,167735,5605,194507,6004,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,465979,753,60658,4861,15155,2739,20618,2441,12047,1859,12838,2295,405321,4884,31080,3567,58946,4348,60805,3881,254490,4757,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14170122,8055,1809472,25781,471744,14958,641112,17113,457194,13290,239422,9404,12360650,27373,1242387,21644,3471298,32818,3812124,35143,3834841,34601,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
