B12006_035M,B12006_036E,B12006_036M,B12006_037E,B12006_037M,B12006_038E,B12006_038M,B12006_039E,B12006_039M,B12006_040E,B12006_040M,B12006_041E,B12006_041M,B12006_042E,B12006_042M,B12006_043E,B12006_043M,B12006_044E,B12006_044M,B12006_045E,B12006_045M,B12006_046E,B12006_046M,B12006_047E,B12006_047M,B12006_048E,B12006_048M,B12006_049E,B12006_049M,B12006_050E,B12006_050M,B12006_051E,B12006_051M,B12006_052E,B12006_052M,B12006_053E,B12006_053M,B12006_054E,B12006_054M,B12006_055E,B12006_055M,B12006_056E,B12006_056M,GEO_ID,B12006_001E,B12006_001M,B12006_002E,B12006_002M,B12006_003E,B12006_003M,B12006_004E,B12006_004M,B12006_005E,B12006_005M,B12006_006E,B12006_006M,B12006_007E,B12006_007M,B12006_008E,B12006_008M,B12006_009E,B12006_009M,B12006_010E,B12006_010M,B12006_011E,B12006_011M,B12006_012E,B12006_012M,B12006_013E,B12006_013M,B12006_014E,B12006_014M,B12006_015E,B12006_015M,B12006_016E,B12006_016M,B12006_017E,B12006_017M,B12006_018E,B12006_018M,B12006_019E,B12006_019M,B12006_020E,B12006_020M,B12006_021E,B12006_021M,B12006_022E,B12006_022M,B12006_023E,B12006_023M,B12006_024E,B12006_024M,B12006_025E,B12006_025M,B12006_026E,B12006_026M,B12006_027E,B12006_027M,B12006_028E,B12006_028M,B12006_029E,B12006_029M,B12006_030E,B12006_030M,B12006_031E,B12006_031M,B12006_032E,B12006_032M,B12006_033E,B12006_033M,B12006_034E,B12006_034M,B12006_035E,B12006_035MA,B12006_036MA,B12006_036EA,B12006_037MA,B12006_037EA,B12006_038EA,B12006_038MA,B12006_039MA,B12006_039EA,B12006_040EA,B12006_040MA,B12006_041MA,B12006_041EA,B12006_042EA,B12006_042MA,B12006_043MA,B12006_043EA,B12006_044EA,B12006_044MA,B12006_045MA,B12006_045EA,B12006_046EA,B12006_046MA,B12006_047EA,B12006_047MA,B12006_048MA,B12006_048EA,B12006_049EA,B12006_049MA,B12006_050MA,B12006_050EA,B12006_051EA,B12006_051MA,B12006_052MA,B12006_052EA,B12006_053EA,B12006_053MA,B12006_054MA,B12006_054EA,B12006_055EA,B12006_055MA,B12006_056MA,B12006_056EA,NAME,B12006_001MA,B12006_001EA,B12006_002EA,B12006_002MA,B12006_003EA,B12006_003MA,B12006_004MA,B12006_004EA,B12006_005MA,B12006_005EA,B12006_006MA,B12006_006EA,B12006_007EA,B12006_007MA,B12006_008MA,B12006_008EA,B12006_009MA,B12006_009EA,B12006_010MA,B12006_010EA,B12006_011EA,B12006_011MA,B12006_012MA,B12006_012EA,B12006_013EA,B12006_013MA,B12006_014MA,B12006_014EA,B12006_015EA,B12006_015MA,B12006_016MA,B12006_016EA,B12006_017MA,B12006_017EA,B12006_018EA,B12006_018MA,B12006_019MA,B12006_019EA,B12006_020MA,B12006_020EA,B12006_021MA,B12006_021EA,B12006_022EA,B12006_022MA,B12006_023MA,B12006_023EA,B12006_024EA,B12006_024MA,B12006_025MA,B12006_025EA,B12006_026EA,B12006_026MA,B12006_027EA,B12006_027MA,B12006_028MA,B12006_028EA,B12006_029EA,B12006_029MA,B12006_030MA,B12006_030EA,B12006_031MA,B12006_031EA,B12006_032MA,B12006_032EA,B12006_033EA,B12006_033MA,B12006_034MA,B12006_034EA,B12006_035EA,state
6648,56920,3233,11832,1745,11037,1657,795,437,45088,2901,222400,5372,40790,3302,38878,3239,1912,819,181610,4432,497367,13805,221900,7990,127459,6626,120517,6452,6942,1210,94441,4206,275467,8590,153196,6468,143278,6201,9918,1577,122271,5596,0400000US01,3878471,4687,1162945,15242,609543,10094,358316,9435,308882,9561,49434,4373,251227,7560,553402,9008,330889,9257,289055,8671,41834,3341,222513,7852,1839403,21791,924106,12087,634923,9821,615827,9243,19096,2131,289183,5746,915297,12881,495268,10682,474702,10667,20566,2197,420029,9528,99436,5477,39048,3480,21612,2775,19154,2780,2458,781,17436,2229,60388,4349,32812,3409,28223,3076,4589,1306,27576,3050,279320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2050,5558,1048,1789,490,1719,497,70,50,3769,976,15735,1634,4631,1033,4384,1020,247,162,11104,1136,67141,4171,30744,2583,22033,1978,19546,1891,2487,783,8711,1271,36397,2542,25078,2283,22835,2117,2243,822,11319,1223,0400000US02,571393,1430,197013,5311,118143,3691,85462,3654,74455,3593,11007,1915,32681,2429,78870,3376,57066,3115,52126,2938,4940,1089,21804,2090,274564,5966,142333,3592,115263,3473,110234,3520,5029,1081,27070,1949,132231,3874,84159,3272,80292,3036,3867,730,48072,2996,11382,1632,5134,949,3295,858,3041,830,254,279,1839,567,6248,1326,4137,1201,3882,1175,255,174,2111,637,21293,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
8096,69187,4252,14860,2101,13903,2007,957,477,54327,3488,238236,6240,42962,3376,39975,3261,2987,969,195274,5717,702520,14596,306647,8787,182647,6909,167516,6742,15131,2188,124000,5725,395873,9543,243986,7967,230458,7757,13528,1891,151887,6813,0400000US04,5393214,3898,1748632,18476,964268,10975,628945,11633,563243,11394,65702,4002,335323,9942,784364,10910,507219,10606,451717,9802,55502,5114,277145,8342,2541003,25098,1278329,14110,842335,13728,812460,13799,29875,3043,435994,7626,1262674,14076,647438,12422,619221,12282,28217,2918,615236,10968,93636,4656,38105,2858,24377,2272,23079,2147,1298,645,13728,1794,55531,3765,36798,3118,33555,3005,3243,1065,18733,2295,307423,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
6351,35788,2806,8631,1284,8143,1260,488,285,27157,2336,134630,4981,23843,2217,23066,2210,777,387,110787,4090,314905,8980,142698,6080,79663,4347,73665,4126,5998,1196,63035,3981,172207,6168,98531,4991,91909,4797,6622,1460,73676,3803,0400000US05,2352507,3332,617724,11947,337155,7194,204229,6910,180310,6637,23919,2495,132926,5029,280569,7765,165961,6643,148487,6732,17474,2691,114608,5561,1198246,16674,604317,9138,410307,9059,399730,9213,10577,1434,194010,4886,593929,9947,333545,7502,323655,7137,9890,1545,260384,7575,51214,4378,22472,2663,13406,2200,12172,2064,1234,635,9066,1288,28742,2919,16539,2298,14767,2098,1772,755,12203,1703,170418,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
18418,326925,8194,77935,4315,73321,4037,4614,1008,248990,7180,1252621,15888,225643,8315,208438,7725,17205,2453,1026978,13073,3008260,22620,1240995,16937,790051,14283,720353,14467,69698,4844,450944,10742,1767265,18174,1090978,16566,1024817,16291,66161,4220,676287,12791,0400000US06,31068647,10008,11204336,40607,6078299,26115,4060780,27597,3602828,26737,457952,11969,2017519,24029,5126037,24825,3292085,26761,2958913,25853,333172,9548,1833952,19841,14586801,51157,7395515,28936,5517235,30211,5309230,29982,208005,6607,1878280,16269,7191286,29876,4075785,27259,3855700,27017,220085,7408,3115501,22004,689704,15899,280072,9483,188018,7761,173137,7282,14881,2016,92054,4521,409632,11116,268176,8743,241592,8221,26584,3063,141456,6991,1579546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
5740,46959,3287,11045,1757,10488,1695,557,304,35914,2778,141241,4266,28750,2363,27107,2220,1643,711,112491,3700,530146,10280,229037,7796,157700,6319,148502,6036,9198,1673,71337,4098,301109,6311,199581,5429,189010,5270,10571,1330,101528,4794,0400000US08,4333738,3353,1324680,15475,745705,8994,549067,8669,499681,8915,49386,4269,196638,7037,578975,9895,416502,9571,385983,8568,30519,3518,162473,6386,2227512,18070,1119742,10913,857319,10471,833884,10677,23435,2385,262423,6141,1107770,10692,682005,10458,659176,10861,22829,2315,425765,7506,63200,4011,27743,2697,20325,2582,18983,2554,1342,527,7418,1319,35457,2991,25424,2547,23301,2567,2123,904,10033,1537,188200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
6124,36562,2843,8868,1455,8008,1317,860,527,27694,2246,132965,4899,22398,2332,21438,2266,960,443,110567,3965,316908,8694,128001,5728,89956,4738,82888,4328,7068,1354,38045,2916,188907,6499,124469,4911,115288,4522,9181,1820,64438,4037,0400000US09,2922877,2830,1001494,12459,523651,9107,351227,8343,308337,8672,42890,3043,172424,8154,477843,7192,333443,8002,299401,7791,34042,3451,144400,5710,1395580,15651,706036,9332,543039,8866,525375,9115,17664,1782,162997,4087,689544,8633,449279,8474,430643,8146,18636,1561,240265,6744,39368,4292,15474,2668,10374,2198,8612,1962,1762,918,5100,1073,23894,2675,16605,2346,15174,2157,1431,641,7289,1590,169527,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2514,11444,1555,3223,878,2902,828,321,391,8221,1434,37752,2193,6847,1215,6453,1150,394,336,30905,2175,86609,4902,36059,3216,23937,2782,22189,2658,1748,841,12122,1724,50550,3491,31516,2482,30483,2562,1033,418,19034,2271,0400000US10,765250,1688,251457,6617,129613,4216,85770,3944,76853,3873,8917,1732,43843,2971,121844,4396,82113,4312,75624,4316,6489,1325,39731,3042,364874,9175,183698,4880,127425,4562,123126,4504,4299,865,56273,2558,181176,5476,108964,4918,104796,4672,4168,1008,72212,3175,13114,2089,4721,1077,2825,835,2608,803,217,190,1896,714,8393,1864,5462,1583,5355,1575,107,83,2931,1036,49196,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2091,5858,1144,1528,671,1439,678,89,102,4330,931,20447,1691,4708,1019,4422,999,286,192,15739,1558,50419,3367,19093,2102,12436,1470,11282,1430,1154,478,6657,1230,31326,2656,19167,2340,17254,2133,1913,870,12159,1564,0400000US11,564206,1235,309902,5832,150612,4082,109356,3774,99433,3674,9923,1348,41256,2940,159290,3826,116213,3960,106029,3826,10184,1698,43077,3453,165132,6852,83231,4209,65830,3962,63924,3877,1906,702,17401,1757,81901,3680,56998,2928,55480,2883,1518,568,24903,2049,12448,1891,6057,1361,3547,1113,3015,971,532,443,2510,772,6391,1298,3795,1065,3065,941,730,459,2596,784,26305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
17488,258201,8973,51352,4176,48467,4115,2885,791,206849,7388,929044,14971,150722,5947,141592,5847,9130,1983,778322,12919,2234821,26173,946919,17488,577910,13229,534794,13278,43116,3798,369009,11833,1287902,16742,792089,13118,747154,12316,44935,4220,495813,14172,0400000US12,16640196,7825,5129502,30667,2770579,18089,1802137,19912,1591538,17733,210599,9095,968442,16944,2358923,20693,1530745,16247,1378597,17289,152148,7770,828178,17930,7679482,45984,3894523,24883,2524067,23047,2431470,22420,92597,6258,1370456,16419,3784959,27789,2022907,21819,1926603,21461,96304,5851,1762052,19037,409146,12787,172225,8626,114890,7430,103443,7170,11447,1949,57335,4241,236921,10203,155423,9440,140520,8583,14903,2602,81498,6074,1187245,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
