GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001MA,B16005H_001EA,B16005H_002EA,B16005H_002MA,B16005H_003MA,B16005H_003EA,B16005H_004EA,B16005H_004MA,B16005H_005EA,B16005H_005MA,B16005H_006MA,B16005H_006EA,B16005H_007EA,B16005H_007MA,B16005H_008EA,B16005H_008MA,B16005H_009EA,B16005H_009MA,B16005H_010EA,B16005H_010MA,B16005H_011EA,B16005H_011MA,state
0400000US01,3041091,1138,3013606,3372,2982565,4952,31041,3270,25535,3071,5506,1142,27485,3034,15351,2003,12134,2311,7876,1623,4258,1446,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,425105,1048,412562,2298,398829,3316,13733,2204,12461,2170,1272,431,12543,2008,5678,1145,6865,1575,4295,1088,2570,950,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3633982,2084,3471858,8088,3377504,10029,94354,6007,81979,5716,12375,1776,162124,7739,82335,4904,79789,5788,49908,4139,29881,3388,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2056768,1713,2039109,2988,2018315,3790,20794,2088,17584,1921,3210,833,17659,2416,8542,1459,9117,1843,4985,1128,4132,1334,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14177669,7066,12775382,25690,12169156,32216,606226,15668,541358,14555,64868,4868,1402287,25132,450078,12819,952209,21142,557920,15208,394289,13616,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3550638,3564,3441440,7523,3352382,9172,89058,4928,78666,4632,10392,1828,109198,6441,48949,3404,60249,4738,38749,3157,21500,3351,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2341472,2393,2166019,9153,2077158,10311,88861,4751,78724,4559,10137,1499,175453,8698,49588,3611,125865,7437,64773,5043,61092,5041,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,568803,958,554637,1940,543076,3106,11561,2061,9339,2064,2222,787,14166,1734,6015,1250,8151,1721,5622,1101,2529,1129,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,230215,791,204604,3242,193954,3967,10650,2029,10059,1947,591,301,25611,3065,9368,1889,16243,2593,13849,2380,2394,898,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10717087,5564,10054861,17115,9686072,22967,368789,12575,331967,12251,36822,3481,662226,16539,260299,8935,401927,14615,250406,10582,151521,8445,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5202553,4222,5045721,10037,4951227,13627,94494,7006,81668,6459,12826,2274,156832,8495,56523,4755,100309,8375,57111,4897,43198,6572,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,311785,758,292244,2486,277530,3578,14714,2220,12259,1855,2455,1012,19541,2539,10636,1470,8905,1903,5290,1312,3615,1184,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1283919,865,1260578,3511,1237578,5224,23000,3074,20488,2920,2512,622,23341,3465,10772,1819,12569,2584,7423,1823,5146,1617,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7549287,2681,7087897,11957,6834883,16494,253014,9467,222468,9114,30546,3054,461390,12262,94019,4401,367371,12242,178592,8243,188779,8868,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4990694,2518,4930070,5025,4826130,8784,103940,6734,79138,5912,24802,3465,60624,5029,23581,2556,37043,4044,23047,2896,13996,2509,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
