GEO_ID,B25015_001E,B25015_001M,B25015_002E,B25015_002M,B25015_003E,B25015_003M,B25015_004E,B25015_004M,B25015_005E,B25015_005M,B25015_006E,B25015_006M,B25015_007E,B25015_007M,B25015_008E,B25015_008M,B25015_009E,B25015_009M,B25015_010E,B25015_010M,B25015_011E,B25015_011M,B25015_012E,B25015_012M,B25015_013E,B25015_013M,B25015_014E,B25015_014M,B25015_015E,B25015_015M,B25015_016E,B25015_016M,B25015_017E,B25015_017M,B25015_018E,B25015_018M,B25015_019E,B25015_019M,B25015_020E,B25015_020M,B25015_021E,B25015_021M,B25015_022E,B25015_022M,B25015_023E,B25015_023M,B25015_024E,B25015_024M,B25015_025E,B25015_025M,B25015_026E,B25015_026M,B25015_027E,B25015_027M,NAME,B25015_001MA,B25015_001EA,B25015_002EA,B25015_002MA,B25015_003EA,B25015_003MA,B25015_004EA,B25015_004MA,B25015_005EA,B25015_005MA,B25015_006MA,B25015_006EA,B25015_007MA,B25015_007EA,B25015_008EA,B25015_008MA,B25015_009EA,B25015_009MA,B25015_010EA,B25015_010MA,B25015_011MA,B25015_011EA,B25015_012MA,B25015_012EA,B25015_013MA,B25015_013EA,B25015_014MA,B25015_014EA,B25015_015EA,B25015_015MA,B25015_016EA,B25015_016MA,B25015_017EA,B25015_017MA,B25015_018MA,B25015_018EA,B25015_019MA,B25015_019EA,B25015_020MA,B25015_020EA,B25015_021EA,B25015_021MA,B25015_022MA,B25015_022EA,B25015_023EA,B25015_023MA,B25015_024MA,B25015_024EA,B25015_025MA,B25015_025EA,B25015_026EA,B25015_026MA,B25015_027EA,B25015_027MA,state
0400000US01,1846390,11341,1253595,13117,121197,4869,118676,4674,2228,815,293,277,729792,9201,719943,9022,7128,1490,2721,945,402606,5857,400568,5845,1153,476,885,476,592795,11428,217872,6692,208887,6888,6874,1934,2111,787,292195,8055,283693,8142,6153,1520,2349,839,82728,4170,82034,4137,283,242,411,237,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250185,2685,159922,3409,20869,1897,19159,1848,1372,444,338,192,105156,3233,100110,3348,3060,631,1986,437,33897,1762,33081,1756,442,134,374,159,90263,3323,40394,2567,36518,2413,2626,903,1250,479,42604,2977,38898,2834,2006,680,1700,527,7265,1016,7139,1022,24,19,102,122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2463008,12455,1524828,12566,145185,6027,138829,5888,4900,1209,1456,450,840471,9605,813181,9152,19623,2350,7667,1232,539172,6541,534410,6613,2253,629,2509,747,938180,12431,339230,7458,305064,7114,22296,2867,11870,1979,473576,10227,436571,10677,25161,2934,11844,1989,125374,4945,123858,4990,773,332,743,350,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1144663,8300,746000,10027,80602,4217,78138,4141,2188,746,276,181,421228,7830,413144,7850,6150,1365,1934,652,244170,3965,243155,3957,318,218,697,455,398663,8123,150595,5701,141470,5479,5457,1502,3668,1052,189953,5910,181275,5699,5146,1302,3532,1140,58115,3130,57496,3083,498,417,121,142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12896357,19487,6910823,27840,546240,10980,511659,10738,25285,2725,9296,1432,4234837,24242,4025385,23206,156861,5879,52591,2784,2129746,15220,2098782,15477,20567,2164,10397,1489,5985534,26745,1863198,14977,1581511,13442,169720,6172,111967,5022,3312921,21904,2820816,18250,317330,9061,174775,5593,809415,13794,775570,13193,14100,1831,19745,2169,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2074735,7548,1322618,9565,152371,5192,147265,5084,4264,1190,842,389,821791,7481,809169,7730,10099,1551,2523,752,348456,4831,347300,4840,701,395,455,277,752117,9473,311171,7873,293172,7647,11380,1726,6619,1223,350832,6821,332049,6675,14392,1806,4391,930,90114,4220,89347,4247,180,145,587,409,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1343703,6712,889035,8413,67231,3744,66661,3697,318,254,252,245,562947,7214,558199,7279,3499,985,1249,557,258857,4319,258151,4335,346,353,360,189,454668,8901,135048,5105,128951,5068,4083,1135,2014,719,238726,7923,227107,7680,8607,1593,3012,1030,80894,3440,80421,3445,281,284,192,147,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,352595,3920,249681,4261,22561,2198,22131,2181,379,280,51,86,146469,3424,144250,3363,2142,1031,77,92,80651,2210,80604,2202,7,13,40,68,102914,4301,34895,2620,32637,2559,1644,589,614,412,51707,3240,49139,3292,1942,810,626,369,16312,1920,16236,1926,0,190,76,123,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281787,3030,112555,3556,15179,1935,14959,1925,103,99,117,119,66671,2606,65709,2665,776,336,186,194,30705,1621,30506,1648,48,79,151,164,169232,4150,67755,2528,62932,2755,2209,749,2614,984,80415,3426,75662,3558,2678,835,2075,902,21062,1778,20955,1754,0,200,107,105,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7463184,23147,4760071,23483,327971,9342,317473,9415,8868,1692,1630,572,2556221,19119,2502748,18459,42445,3606,11028,1530,1875879,13142,1865682,13169,5930,1078,4267,836,2703113,22882,834967,15419,773921,15573,40565,3211,20481,2430,1452575,18466,1369507,18440,59770,4359,23298,2331,415571,10171,409056,10176,2172,809,4343,1109,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3656407,14418,2261166,19480,215231,8308,209984,8122,4508,1022,739,392,1411205,13611,1391355,14029,14548,2234,5302,1232,634730,8466,632377,8447,1276,418,1077,430,1395241,15955,504978,10653,476738,10713,19199,2419,9041,1756,732672,12615,699634,11722,23774,2647,9264,2296,157591,5792,155998,5799,756,566,837,461,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,445936,4817,252435,5537,15204,1957,14161,1919,575,293,468,277,142153,4387,130406,4156,7929,1223,3818,861,95078,3069,91417,3111,2479,593,1182,428,193501,4944,65368,3158,55863,3196,4819,1113,4686,1107,96941,3987,81389,3871,9871,1660,5681,1080,31192,2630,29263,2526,730,416,1199,474,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
