GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001MA,B27001G_001EA,B27001G_002MA,B27001G_002EA,B27001G_003EA,B27001G_003MA,B27001G_004MA,B27001G_004EA,B27001G_005EA,B27001G_005MA,B27001G_006MA,B27001G_006EA,B27001G_007MA,B27001G_007EA,B27001G_008EA,B27001G_008MA,B27001G_009MA,B27001G_009EA,B27001G_010EA,B27001G_010MA,B27001G_011MA,B27001G_011EA,B27001G_012MA,B27001G_012EA,B27001G_013MA,B27001G_013EA,B27001G_014EA,B27001G_014MA,B27001G_015MA,B27001G_015EA,B27001G_016MA,B27001G_016EA,B27001G_017MA,B27001G_017EA,B27001G_018MA,B27001G_018EA,B27001G_019EA,B27001G_019MA,B27001G_020MA,B27001G_020EA,B27001G_021EA,B27001G_021MA,B27001G_022MA,B27001G_022EA,B27001G_023MA,B27001G_023EA,B27001G_024MA,B27001G_024EA,B27001G_025EA,B27001G_025MA,B27001G_026EA,B27001G_026MA,B27001G_027MA,B27001G_027EA,B27001G_028MA,B27001G_028EA,state
0400000US01,86221,6555,14958,2404,14337,2368,621,374,23160,2931,22033,2955,1127,689,10095,2344,8185,1941,1910,931,10476,2105,8429,1974,2047,804,8250,1469,6381,1277,1869,813,7183,1236,6185,1219,998,561,6836,1389,5839,1255,997,692,3298,830,3285,833,13,24,1965,701,1965,701,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,61262,4638,10324,1698,8007,1505,2317,1008,18332,2170,16086,2168,2246,691,9101,1582,6673,1522,2428,841,7832,1065,4613,883,3219,654,4931,919,3817,799,1114,433,5675,1192,4395,941,1280,635,2771,661,1859,597,912,354,1141,398,1092,398,49,76,1155,468,1155,468,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,218855,10741,41978,3572,38589,3427,3389,1286,64893,5682,59596,5422,5297,1325,27075,2818,23856,2829,3219,949,27186,2864,23639,2629,3547,1002,21788,2970,18828,2772,2960,923,13841,2032,12138,1970,1703,713,11937,1646,10949,1652,988,421,6693,1191,6588,1212,105,151,3464,1010,3464,1010,0,201,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63787,5652,12489,2014,11751,1925,738,485,18827,2924,17765,2638,1062,829,6904,1314,5449,1143,1455,618,5978,1484,4874,1394,1104,507,5228,1413,4479,1351,749,589,5547,1181,4730,1096,817,423,3345,695,3209,710,136,178,3380,876,3337,864,43,105,2089,696,2004,711,85,128,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1728942,30318,284160,9133,278305,8932,5855,1362,470235,11989,460069,12008,10166,1703,215067,8767,199113,8424,15954,2127,246291,9509,220694,8581,25597,2414,174164,7282,160300,6713,13864,2070,144623,6160,132995,5993,11628,1535,104694,4920,97976,4879,6718,1102,55838,3606,55289,3619,549,308,33870,2629,33200,2633,670,308,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,190889,9675,33713,3001,32799,3073,914,469,53396,4573,51775,4406,1621,885,25070,2657,22880,2609,2190,915,30232,3138,26432,2659,3800,1228,19179,2126,18175,2013,1004,585,14757,2168,13640,2096,1117,576,7972,1243,6881,1155,1091,489,4347,950,4280,953,67,110,2223,773,2223,773,0,193,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,114378,7755,19102,2565,19102,2565,0,198,37825,3511,37290,3472,535,403,16589,2315,14539,2319,2050,925,15595,2610,13693,2364,1902,838,9733,1741,8731,1609,1002,681,6164,1168,6035,1168,129,158,5989,1208,5527,1073,462,408,1946,617,1946,617,0,198,1435,742,1435,742,0,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28272,3978,6676,1685,6600,1649,76,125,8784,1950,8739,1935,45,78,3546,1090,3479,1077,67,96,2758,1033,2688,1034,70,115,2119,586,1941,612,178,205,1868,645,1570,603,298,386,1458,593,1369,579,89,151,726,373,726,373,0,190,337,223,337,223,0,190,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20970,2593,3591,900,3541,901,50,82,2785,880,2553,875,232,217,2796,989,2777,990,19,43,4180,959,4000,921,180,215,3774,1403,3535,1313,239,280,1535,569,1506,559,29,48,1185,695,1185,695,0,200,595,280,595,280,0,200,529,404,529,404,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,492996,20397,80410,6073,77979,5903,2431,829,131789,8972,123152,8610,8637,2662,61810,5350,50981,4784,10829,2038,64321,5668,48965,4441,15356,3132,49597,4368,38594,4132,11003,2195,40901,3825,32539,3478,8362,1649,32326,2917,27526,2831,4800,1358,19658,2188,18370,2107,1288,778,12184,1878,11946,1834,238,208,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,229525,14659,42222,4919,40560,4894,1662,880,71060,6919,66481,6623,4579,1478,30027,4706,22691,3685,7336,2271,28125,3122,20037,2453,8088,1698,19767,2787,15871,2397,3896,1249,17852,2336,14003,2215,3849,1168,11009,1786,9317,1655,1692,722,6541,1418,6527,1414,14,29,2922,835,2922,835,0,214,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,345548,11476,48770,3124,48596,3103,174,141,85531,4207,84813,4168,718,427,35772,2843,33464,2637,2308,996,53004,3476,47607,3525,5397,1382,38380,3265,37549,3198,831,454,32725,2614,31131,2454,1594,676,26412,2348,25449,2307,963,422,15956,1808,15956,1808,0,182,8998,1377,8998,1377,0,182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
