GEO_ID,C27005_001E,C27005_001M,C27005_002E,C27005_002M,C27005_003E,C27005_003M,C27005_004E,C27005_004M,C27005_005E,C27005_005M,C27005_006E,C27005_006M,C27005_007E,C27005_007M,C27005_008E,C27005_008M,C27005_009E,C27005_009M,C27005_010E,C27005_010M,C27005_011E,C27005_011M,C27005_012E,C27005_012M,C27005_013E,C27005_013M,C27005_014E,C27005_014M,C27005_015E,C27005_015M,C27005_016E,C27005_016M,C27005_017E,C27005_017M,C27005_018E,C27005_018M,C27005_019E,C27005_019M,C27005_020E,C27005_020M,C27005_021E,C27005_021M,NAME,C27005_001MA,C27005_001EA,C27005_002MA,C27005_002EA,C27005_003EA,C27005_003MA,C27005_004EA,C27005_004MA,C27005_005EA,C27005_005MA,C27005_006MA,C27005_006EA,C27005_007MA,C27005_007EA,C27005_008MA,C27005_008EA,C27005_009MA,C27005_009EA,C27005_010MA,C27005_010EA,C27005_011MA,C27005_011EA,C27005_012MA,C27005_012EA,C27005_013MA,C27005_013EA,C27005_014MA,C27005_014EA,C27005_015MA,C27005_015EA,C27005_016EA,C27005_016MA,C27005_017EA,C27005_017MA,C27005_018MA,C27005_018EA,C27005_019MA,C27005_019EA,C27005_020MA,C27005_020EA,C27005_021MA,C27005_021EA,state
0400000US01,4781070,1376,2299014,5729,564537,3993,37650,3322,526887,5341,1411387,4760,166436,6876,1244951,7452,323090,2063,105342,3193,217748,3022,2482056,5719,542179,4781,35174,3328,507005,5462,1519693,3777,194155,6872,1325538,8104,420184,1772,138342,4506,281842,4541,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713082,1787,367289,2444,95826,1441,4301,853,91525,1735,236718,2124,22739,2677,213979,3177,34745,726,5646,952,29099,1114,345793,1921,90091,1323,4136,876,85955,1700,220361,1423,20875,2186,199486,2715,35341,944,6650,990,28691,1368,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6719354,1844,3293746,3484,824079,2002,66717,4247,757362,4247,1959748,2694,224095,7715,1735653,8321,509919,1267,156780,4649,353139,4606,3425608,3038,795314,1956,67737,4623,727577,5120,2032326,2198,245374,8933,1786952,8739,597968,1577,193316,4967,404652,5376,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2924307,1290,1426441,4241,363246,3433,22489,2830,340757,4785,856738,2663,107221,5947,749517,6841,206457,1612,69494,2912,136963,3050,1497866,4230,340455,3778,21155,2832,319300,4505,902645,2905,117375,4890,785270,5696,254766,1684,94289,3098,160477,2970,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38649621,4947,19053168,7752,4643120,3854,353357,9640,4289763,9676,12148870,6721,1477272,20248,10671598,21380,2261178,3359,502777,9301,1758401,9644,19596453,6021,4460019,3338,331862,10657,4128157,11234,12302981,4246,1527771,17405,10775210,17267,2833453,3341,675618,10679,2157835,10932,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5367335,2710,2673619,4748,639469,3086,61731,4152,577738,4367,1715975,4027,231815,6870,1484160,7701,318175,1683,96471,3587,221704,3827,2693716,4738,615331,3057,55502,3807,559829,4829,1700463,4150,226879,7269,1473584,8195,377922,1653,129620,3765,248302,3957,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3537983,1086,1719257,2740,390026,1522,22057,2240,367969,2622,1091394,2190,126689,4697,964705,4840,237837,1275,66976,3318,170861,3281,1818726,2437,371895,1473,21738,2246,350157,2331,1141256,1700,120457,5346,1020799,5772,305575,1441,97228,3392,208347,3428,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,931203,797,447682,1407,103850,875,6375,1624,97475,1827,273176,1016,27374,2219,245802,2580,70656,647,18945,1375,51711,1416,483521,1246,99921,829,4529,1342,95392,1570,297506,819,26318,2425,271188,2401,86094,634,23444,1806,62650,1962,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660682,666,311147,1154,59831,613,3362,1204,56469,1368,221903,1297,32247,3054,189656,3275,29413,869,7146,940,22267,1251,349535,1105,57584,610,3084,1096,54500,1261,247687,722,37144,3230,210543,3345,44264,548,10947,1337,33317,1445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19960169,3766,9652725,8224,2080662,5282,193865,9664,1886797,11186,5826380,5787,926295,17389,4900085,17654,1745683,3300,482495,9061,1263188,9870,10307444,7951,2012739,5698,182387,7782,1830352,9150,6161807,5652,1025526,17521,5136281,17122,2132898,3781,628130,10622,1504768,11107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
