GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001EA,B12502_001MA,B12502_002MA,B12502_002EA,B12502_003MA,B12502_003EA,B12502_004MA,B12502_004EA,B12502_005EA,B12502_005MA,B12502_006EA,B12502_006MA,B12502_007EA,B12502_007MA,B12502_008MA,B12502_008EA,B12502_009MA,B12502_009EA,B12502_010EA,B12502_010MA,B12502_011EA,B12502_011MA,state
0400000US01,3947204,3082,1885840,4406,643803,10330,1242037,10071,9719,1298,1232318,10234,2061364,3408,587456,8211,1473908,8442,20673,2061,1453235,8893,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,582619,876,308121,1381,124335,3516,183786,3533,530,360,183256,3635,274498,1421,83760,3301,190738,3109,1682,668,189056,3212,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5481996,1114,2701575,1639,1009232,10634,1692343,10308,9451,1771,1682892,10432,2780421,1591,827914,9869,1952507,10093,19829,2195,1932678,10177,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2390981,2948,1162989,3454,357585,7805,805404,6963,5042,1143,800362,6882,1227992,3138,298334,7463,929658,7094,9757,1546,919901,7278,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31576740,3429,15576921,4371,6331136,24097,9245785,24120,45144,3013,9200641,24034,15999819,3197,5377533,24124,10622286,23766,95554,4517,10526732,24274,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4406120,2262,2206401,3004,782598,9500,1423803,9416,6993,1341,1416810,9725,2199719,2947,613936,9706,1585783,9790,12957,1398,1572826,9848,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2971949,1156,1435144,1881,548808,8848,886336,8688,3620,1018,882716,8715,1536805,1527,501358,6879,1035447,6815,9451,1541,1025996,6846,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,776531,657,372263,926,136341,3890,235922,3979,1851,671,234071,4008,404268,817,126397,4145,277871,3979,4033,936,273838,4079,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,569946,266,267946,563,153707,4020,114239,3925,485,236,113754,3902,302000,547,161935,3751,140065,3696,1676,494,138389,3717,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16889179,3724,8167643,5360,2894926,16757,5272717,16903,27211,1998,5245506,16638,8721536,5405,2482272,19751,6239264,19474,71554,5017,6167710,19763,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
