GEO_ID,B28009H_001E,B28009H_001M,B28009H_002E,B28009H_002M,B28009H_003E,B28009H_003M,B28009H_004E,B28009H_004M,B28009H_005E,B28009H_005M,B28009H_006E,B28009H_006M,NAME,B28009H_001EA,B28009H_001MA,B28009H_002MA,B28009H_002EA,B28009H_003EA,B28009H_003MA,B28009H_004MA,B28009H_004EA,B28009H_005MA,B28009H_005EA,B28009H_006MA,B28009H_006EA,state
0400000US40,2534879,2551,2272862,7210,9500,1528,1974281,13151,289081,12284,262017,7270,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3020339,2193,2847067,8229,20758,3494,2603335,14424,222974,11646,173272,7932,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9607238,5125,8628170,20898,67621,4907,7933781,26439,626768,20917,979068,19943,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,743631,1804,685638,5086,3423,1660,636955,8411,45260,5753,57993,5330,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3048208,3529,2776402,11474,12999,2449,2441509,19120,321894,15615,271806,11285,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,686710,1743,629135,3671,3756,1104,567557,8116,57822,6290,57575,3492,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4799434,3976,4253098,16465,24311,3841,3723421,22701,505366,19935,546336,16042,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11541364,6692,10830414,18468,49600,5478,9819862,31372,960952,23589,710950,18126,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2327897,1890,2253228,6152,13668,3395,2067704,15667,171856,13349,74669,6006,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,562751,1046,516019,4059,4208,1175,470348,6580,41463,5269,46732,4051,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5108280,5286,4732351,14494,26495,3458,4325911,19362,379945,14916,375929,13530,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4906810,3036,4657313,11048,22544,3380,4357814,16863,276955,13591,249497,10763,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1666519,1971,1435713,10211,9170,1857,1264522,13609,162021,9879,230806,9818,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4608071,2443,4215324,10240,34552,3239,3854174,16911,326598,12288,392747,9681,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,481713,566,454172,2669,3884,1568,402039,6512,48249,5757,27541,2683,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,26320,3142,19286,2790,133,194,16021,2516,3132,969,7034,1885,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
