GEO_ID,B05003F_001E,B05003F_001M,B05003F_002E,B05003F_002M,B05003F_003E,B05003F_003M,B05003F_004E,B05003F_004M,B05003F_005E,B05003F_005M,B05003F_006E,B05003F_006M,B05003F_007E,B05003F_007M,B05003F_008E,B05003F_008M,B05003F_009E,B05003F_009M,B05003F_010E,B05003F_010M,B05003F_011E,B05003F_011M,B05003F_012E,B05003F_012M,B05003F_013E,B05003F_013M,B05003F_014E,B05003F_014M,B05003F_015E,B05003F_015M,B05003F_016E,B05003F_016M,B05003F_017E,B05003F_017M,B05003F_018E,B05003F_018M,B05003F_019E,B05003F_019M,B05003F_020E,B05003F_020M,B05003F_021E,B05003F_021M,B05003F_022E,B05003F_022M,B05003F_023E,B05003F_023M,NAME,B05003F_001MA,B05003F_001EA,B05003F_002MA,B05003F_002EA,B05003F_003MA,B05003F_003EA,B05003F_004EA,B05003F_004MA,B05003F_005EA,B05003F_005MA,B05003F_006EA,B05003F_006MA,B05003F_007EA,B05003F_007MA,B05003F_008MA,B05003F_008EA,B05003F_009MA,B05003F_009EA,B05003F_010EA,B05003F_010MA,B05003F_011EA,B05003F_011MA,B05003F_012EA,B05003F_012MA,B05003F_013MA,B05003F_013EA,B05003F_014MA,B05003F_014EA,B05003F_015EA,B05003F_015MA,B05003F_016EA,B05003F_016MA,B05003F_017EA,B05003F_017MA,B05003F_018EA,B05003F_018MA,B05003F_019MA,B05003F_019EA,B05003F_020MA,B05003F_020EA,B05003F_021EA,B05003F_021MA,B05003F_022EA,B05003F_022MA,B05003F_023EA,B05003F_023MA,state
0400000US01,54105,6092,30525,4065,12018,2111,9479,1722,2539,1104,313,337,2226,1016,18507,3050,4731,2016,13776,2645,2366,1948,11410,1990,23580,3330,10215,1843,8723,1658,1492,680,100,169,1392,655,13365,1958,3502,1012,9863,1836,1434,666,8429,1821,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12467,3116,6700,1874,1607,884,1575,873,32,41,32,41,0,149,5093,1455,2877,1028,2216,1128,1685,1043,531,405,5767,1721,1827,911,1520,831,307,475,0,149,307,475,3940,1122,1445,660,2495,923,1033,484,1462,788,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,481631,21623,242085,10465,75847,4886,72248,4791,3599,1182,483,390,3116,1081,166238,7928,92906,5566,73332,5739,20643,2835,52689,5016,239546,12717,74808,6186,70561,5784,4247,1294,915,508,3332,1227,164738,8518,88285,5856,76453,5705,24297,3131,52156,4479,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65542,6352,33820,3249,12308,1943,11596,1841,712,437,28,59,684,431,21512,2353,6589,1540,14923,2129,3972,1165,10951,1963,31722,3825,12562,2134,12200,2082,362,276,0,190,362,276,19160,2420,6479,1559,12681,2002,3228,1134,9453,1917,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5300297,63956,2707687,35537,795814,15689,759282,16197,36532,3522,4035,1124,32497,3215,1911873,25976,865756,17134,1046117,18473,333636,9842,712481,15490,2592610,33246,755952,16194,715778,15789,40174,3621,4346,1142,35828,3276,1836658,21898,816689,17182,1019969,17741,378000,8649,641969,14895,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,209890,13025,106484,7210,30206,3553,28144,3486,2062,928,140,167,1922,945,76278,5085,41826,3596,34452,3668,6019,1145,28433,3513,103406,7143,32349,3657,30491,3539,1858,816,110,140,1748,809,71057,4729,42276,4049,28781,2911,6436,1213,22345,2761,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,180107,12856,96773,7162,28648,3342,26884,3254,1764,704,669,393,1095,625,68125,5195,36855,3816,31270,4329,7429,1708,23841,3949,83334,6881,22538,3083,20885,2930,1653,705,470,362,1183,627,60796,4715,37253,3526,23543,2981,7292,1773,16251,2496,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19157,3844,9276,2086,2502,934,2250,927,252,207,0,190,252,207,6774,1585,3322,965,3452,1201,573,463,2879,1160,9881,2248,2824,1044,2735,1043,89,79,0,190,89,79,7057,1577,3913,1314,3144,976,876,503,2268,856,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34797,4077,19069,2291,5181,1254,4787,1401,394,492,0,200,394,492,13888,1726,5285,1489,8603,1997,1709,903,6894,1896,15728,2349,4097,1002,3460,1108,637,754,0,200,637,754,11631,1936,3824,1440,7807,1700,2091,848,5716,1465,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,528266,22821,266895,13062,65175,5820,58284,5423,6891,1514,1231,648,5660,1330,201720,9744,88164,7298,113556,8006,40419,3875,73137,6444,261371,13234,66337,6525,60602,6298,5735,1840,1381,820,4354,1525,195034,9795,84232,6784,110802,7369,57296,4524,53506,5040,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,284084,16303,153267,9154,54451,5024,50734,5010,3717,1152,595,452,3122,1139,98816,6296,29101,3517,69715,5466,11027,2434,58688,4957,130817,9236,47527,4772,44959,4707,2568,1118,171,183,2397,1124,83290,6111,28623,3276,54667,4917,12120,2418,42547,4076,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10135,1858,5755,1446,429,262,429,262,0,182,0,182,0,182,5326,1347,4130,1222,1196,579,749,439,447,350,4380,1082,222,169,222,169,0,182,0,182,0,182,4158,1061,3107,777,1051,703,451,430,600,470,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37682,4854,19216,2903,5560,1783,5435,1793,125,181,0,193,125,181,13656,2184,7481,1734,6175,1455,1176,496,4999,1430,18466,2913,5116,1191,4576,1102,540,436,0,193,540,436,13350,2311,6786,1607,6564,1624,2542,1042,4022,1347,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,773685,24560,398967,12801,121061,5741,114738,5700,6323,1296,1453,653,4870,1253,277906,9846,105980,6031,171926,7425,51127,3561,120799,6939,374718,13687,119770,6527,114021,6249,5749,1339,1702,716,4047,1102,254948,9035,103678,6296,151270,6437,49868,3482,101402,5552,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
