GEO_ID,C18131_001E,C18131_001M,C18131_002E,C18131_002M,C18131_003E,C18131_003M,C18131_004E,C18131_004M,C18131_005E,C18131_005M,C18131_006E,C18131_006M,C18131_007E,C18131_007M,C18131_008E,C18131_008M,C18131_009E,C18131_009M,C18131_010E,C18131_010M,C18131_011E,C18131_011M,C18131_012E,C18131_012M,C18131_013E,C18131_013M,C18131_014E,C18131_014M,C18131_015E,C18131_015M,C18131_016E,C18131_016M,NAME,C18131_001MA,C18131_001EA,C18131_002EA,C18131_002MA,C18131_003EA,C18131_003MA,C18131_004EA,C18131_004MA,C18131_005MA,C18131_005EA,C18131_006MA,C18131_006EA,C18131_007MA,C18131_007EA,C18131_008EA,C18131_008MA,C18131_009EA,C18131_009MA,C18131_010MA,C18131_010EA,C18131_011MA,C18131_011EA,C18131_012MA,C18131_012EA,C18131_013EA,C18131_013MA,C18131_014EA,C18131_014MA,C18131_015EA,C18131_015MA,C18131_016MA,C18131_016EA,state
0400000US01,4729118,2647,385733,15876,61442,4841,324291,14433,490147,18489,124013,6035,366134,17085,485936,21735,118056,6061,367880,18776,488997,18091,97623,5932,391374,16462,2878305,31965,392709,11218,2485596,29653,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,708439,1880,30067,3654,4573,913,25494,3451,44300,4876,6530,993,37770,4589,56500,6315,10393,1988,46107,5412,51155,5802,8498,1685,42657,5216,526417,7718,52707,3259,473710,8343,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6658326,4172,547557,22500,76564,5251,470993,21030,610841,24867,100902,5764,509939,22979,680245,21961,105027,6290,575218,20400,651854,27215,94850,6050,557004,24802,4167829,37667,481168,10738,3686661,36603,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2883167,3370,227954,12760,41729,3799,186225,11861,322404,15413,79244,4983,243160,14267,342317,14973,81080,4952,261237,13155,308327,15946,62266,4837,246061,14359,1682165,21704,233517,7015,1448648,20403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38330324,7381,2568466,47874,306387,11190,2262079,45296,3321711,59943,529653,12902,2792058,54694,3765941,64775,535934,13197,3230007,60222,3606920,60059,430414,11806,3176506,56774,25067286,79589,2279209,20422,22788077,80796,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5318474,3712,273387,13872,37611,3774,235776,12312,339510,14807,59350,4542,280160,13830,402210,18425,60381,4338,341829,16591,442828,19359,55401,3940,387427,17899,3860539,25500,338737,8667,3521802,25040,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3476503,2451,174638,10487,28978,2802,145660,9477,192223,12102,41598,3335,150625,11251,218531,11700,45963,3793,172568,10827,213405,12058,39228,3539,174177,11146,2677706,19236,231516,6936,2446190,19924,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,917940,1178,53449,6143,9372,1730,44077,5681,60911,8429,11162,2109,49749,7683,73632,6782,12469,2016,61163,6080,68456,7461,11437,1806,57019,6664,661492,13121,69454,3667,592038,12925,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635682,789,58611,6805,10008,2150,48603,5376,51889,5964,15504,2157,36385,5220,47854,6521,8840,1658,39014,5843,36375,4897,6712,1230,29663,4409,440953,9622,32958,2843,407995,9451,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19810220,6712,1329741,34089,197242,8418,1132499,32921,1786464,36384,332780,11682,1453684,32371,2119393,44410,365027,12934,1754366,40313,2081720,43181,312616,11778,1769104,38627,12492902,64827,1455704,21147,11037198,62021,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
