GEO_ID,B07404G_001E,B07404G_001M,B07404G_002E,B07404G_002M,B07404G_003E,B07404G_003M,B07404G_004E,B07404G_004M,B07404G_005E,B07404G_005M,NAME,B07404G_001EA,B07404G_001MA,B07404G_002EA,B07404G_002MA,B07404G_003EA,B07404G_003MA,B07404G_004EA,B07404G_004MA,B07404G_005MA,B07404G_005EA,state
0400000US01,84698,6411,68584,5576,10063,2318,2919,1147,3132,1138,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60914,4689,47968,4382,9316,2457,1979,618,1651,583,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,213297,10423,166582,9330,33968,4563,5566,1533,7181,1563,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,61127,5797,47175,5030,8144,1927,2597,929,3211,1275,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1692137,29109,1424396,26422,175755,9085,62150,5045,29836,3976,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184833,9136,146531,7916,20384,3300,9558,1915,8360,1814,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,110774,7455,91153,6332,14024,3169,3285,1380,2312,745,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28290,3712,24269,3507,1714,783,297,356,2010,930,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19945,2527,15509,2344,2602,869,0,189,1834,729,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,483195,20137,379515,16510,65246,7457,22940,4052,15494,2231,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,226739,14547,179047,11716,23229,5581,14025,2687,10438,2329,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,339424,10843,294457,10320,35900,5037,2611,1717,6456,1337,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45419,4383,32896,3971,8066,2754,2306,1460,2151,778,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,287976,10019,234708,9526,35514,4392,7298,1582,10456,1847,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,150590,9293,119266,7950,20612,3791,5886,1943,4826,1536,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56518,4331,43251,3664,7210,1715,3223,1055,2834,1264,Iowa,null,null,null,null,null,null,null,null,null,null,19
