GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001EA,B13008_001MA,B13008_002EA,B13008_002MA,B13008_003MA,B13008_003EA,B13008_004MA,B13008_004EA,B13008_005MA,B13008_005EA,B13008_006EA,B13008_006MA,B13008_007EA,B13008_007MA,B13008_008MA,B13008_008EA,B13008_009MA,B13008_009EA,B13008_010MA,B13008_010EA,B13008_011EA,B13008_011MA,B13008_012EA,B13008_012MA,B13008_013EA,B13008_013MA,B13008_014MA,B13008_014EA,B13008_015MA,B13008_015EA,state
0400000US01,1158297,4650,59374,4335,33227,2784,29997,2769,3230,955,26147,3099,25163,3153,984,643,1098923,5812,465780,7926,436244,7865,29536,2701,633143,9151,615509,9000,17634,2446,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173560,1820,11144,1545,7602,1298,6546,1104,1056,667,3542,929,3542,929,0,149,162416,2382,72329,2957,60319,2562,12010,1518,90087,3302,83349,3277,6738,1426,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1575353,3411,85798,4845,53783,3708,42798,3101,10985,1767,32015,3535,27114,3208,4901,1320,1489555,6208,601218,9695,440932,9431,160286,5688,888337,9356,782356,9247,105981,6237,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686648,3987,41817,3941,25765,2660,23399,2484,2366,830,16052,2690,14924,2654,1128,839,644831,5500,305130,7050,276425,7057,28705,2777,339701,8189,325180,7885,14521,2436,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9677065,8920,478813,12151,316729,8660,190631,5693,126098,6492,162084,7694,118868,6094,43216,3384,9198252,15412,3854341,21437,2064325,20148,1790016,17240,5343911,20932,4221741,24384,1122170,16557,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1318722,3956,65555,4672,48776,3641,39656,3240,9120,1762,16779,2280,14693,1941,2086,1010,1253167,6428,576669,9175,471717,8237,104952,4249,676498,8959,614281,9378,62217,4971,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,843839,2928,34705,3375,22771,2328,16653,2227,6118,1222,11934,2014,9803,1867,2131,845,809134,4436,322514,7110,240707,6285,81807,4584,486620,7769,425719,8549,60901,5182,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219252,1579,9736,1627,6553,1152,4488,855,2065,805,3183,1021,3047,1007,136,176,209516,2296,81442,3471,63871,3685,17571,1576,128074,4027,119892,4049,8182,1611,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205216,1191,8575,1449,4381,926,3725,827,656,409,4194,1047,3659,920,535,500,196641,1871,50001,2901,36046,2599,13955,1786,146640,3051,127886,4001,18754,2720,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4566243,7157,208713,8469,122569,5720,84618,5175,37951,2987,86144,5362,67530,4745,18614,2817,4357530,11166,1735334,17452,1171124,17362,564210,10177,2622196,18778,2149948,20672,472248,14664,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
