GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001MA,B12001_001EA,B12001_002MA,B12001_002EA,B12001_003EA,B12001_003MA,B12001_004EA,B12001_004MA,B12001_005MA,B12001_005EA,B12001_006MA,B12001_006EA,B12001_007MA,B12001_007EA,B12001_008EA,B12001_008MA,B12001_009EA,B12001_009MA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012MA,B12001_012EA,B12001_013MA,B12001_013EA,B12001_014EA,B12001_014MA,B12001_015EA,B12001_015MA,B12001_016MA,B12001_016EA,B12001_017MA,B12001_017EA,B12001_018MA,B12001_018EA,B12001_019EA,B12001_019MA,state
0400000US01,3947204,3082,1885840,4406,643803,10330,963217,12277,882592,11876,80625,4893,39048,3480,41577,3591,56920,3233,221900,7990,2061364,3408,587456,8211,975969,12970,878100,12911,97869,5375,60452,4366,37417,3459,222472,5369,275467,8590,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,582619,876,308121,1381,124335,3516,147484,3800,127596,3711,19888,2074,5134,949,14754,1558,5558,1048,30744,2583,274498,1421,83760,3301,138606,3858,123244,3722,15362,1926,6248,1326,9114,1418,15735,1634,36397,2542,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5481996,1114,2701575,1639,1009232,10634,1316509,13492,1200848,13840,115661,4795,38105,2858,77556,4850,69187,4252,306647,8787,2780421,1591,827914,9869,1318398,13569,1189995,14708,128403,6158,55699,3769,72704,4673,238236,6240,395873,9543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2390981,2948,1162989,3454,357585,7805,626918,8978,576726,9766,50192,3523,22472,2663,27720,2814,35788,2806,142698,6080,1227992,3138,298334,7463,622821,9948,567721,10218,55100,3635,28742,2919,26358,2864,134630,4981,172207,6168,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31576740,3429,15576921,4371,6331136,24097,7677575,28399,6795325,26187,882250,15569,280276,9491,601974,12282,327215,8188,1240995,16937,15999819,3197,5377533,24124,7602400,28670,6639816,30949,962584,16413,409734,11134,552850,12508,1252621,15888,1767265,18174,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4406120,2262,2206401,3004,782598,9500,1147807,11199,1061708,11290,86099,4848,27985,2683,58114,4164,46959,3287,229037,7796,2199719,2947,613936,9706,1143433,11420,1058356,11301,85077,4934,35571,2988,49506,4067,141241,4266,301109,6311,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2971949,1156,1435144,1881,548808,8848,721773,9304,667884,10173,53889,5291,15474,2668,38415,4044,36562,2843,128001,5728,1536805,1527,501358,6879,713575,8401,658890,8656,54685,3550,23894,2675,30791,2906,132965,4899,188907,6499,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,776531,657,372263,926,136341,3890,188419,4976,174824,4503,13595,2090,4721,1077,8874,1697,11444,1555,36059,3216,404268,817,126397,4145,189569,5210,173618,5521,15951,2421,8393,1864,7558,1596,37752,2193,50550,3491,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,569946,266,267946,563,153707,4020,89288,4019,74009,4030,15279,2097,6057,1361,9222,1531,5858,1144,19093,2102,302000,547,161935,3751,88292,3631,72754,3706,15538,2195,6391,1298,9147,1854,20447,1691,31326,2656,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16889179,3724,8167643,5360,2894926,16757,4067548,24558,3624670,25468,442878,12532,172409,8636,270469,8603,258250,8968,946919,17488,8721536,5405,2482272,19751,4022318,26130,3524525,27436,497793,13121,236985,10199,260808,10405,929044,14971,1287902,16742,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
