GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001MA,C17014_001EA,C17014_002MA,C17014_002EA,C17014_003EA,C17014_003MA,C17014_004EA,C17014_004MA,C17014_005EA,C17014_005MA,C17014_006EA,C17014_006MA,C17014_007MA,C17014_007EA,C17014_008MA,C17014_008EA,C17014_009MA,C17014_009EA,C17014_010EA,C17014_010MA,C17014_011EA,C17014_011MA,state
0400000US01,1213540,13821,166755,6801,66640,4015,83779,4856,14438,1984,1898,775,1046785,12834,168495,4914,356972,9009,432471,10023,88847,4929,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,163800,3113,11530,1402,2816,656,6766,1180,1611,426,337,129,152270,3239,11372,1161,47095,2982,74027,2554,19776,1685,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1598414,13914,199101,6307,66109,3935,103719,4407,25014,2512,4259,1283,1399313,13718,247162,5871,457913,10750,551157,11257,143081,6302,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761494,10038,104557,5132,38353,3023,53242,3694,11912,1824,1050,392,656937,9657,104934,3981,210169,7460,287957,7145,53877,3174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8835906,26617,999318,15054,322822,8012,503000,11685,147009,5848,26487,2713,7836588,26834,837996,10974,2474072,24052,3362434,24329,1162086,17278,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1331861,11075,101276,4462,31824,2775,52697,3210,14895,2061,1860,719,1230585,10898,129732,3857,354118,8866,605886,10489,140849,5363,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,876188,9056,65154,3905,24981,2427,32705,2897,6422,1332,1046,430,811034,9505,82449,3422,240070,6859,374799,7748,113716,4793,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235385,4062,20424,2359,6061,1079,11524,1949,2543,892,296,319,214961,4577,32969,1963,64852,3786,90279,3225,26861,2342,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125178,3853,17494,2145,9564,1628,6984,1403,748,436,198,187,107684,3823,9043,1126,31415,2547,58390,2837,8836,1422,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4806611,27227,541342,12813,204361,8232,269615,8911,59716,4602,7650,1638,4265269,27423,787791,11323,1371074,19142,1696366,18023,410038,9731,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
