GEO_ID,B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,NAME,B11002F_001EA,B11002F_001MA,B11002F_002MA,B11002F_002EA,B11002F_003MA,B11002F_003EA,B11002F_004MA,B11002F_004EA,B11002F_005EA,B11002F_005MA,B11002F_006EA,B11002F_006MA,B11002F_007MA,B11002F_007EA,B11002F_008EA,B11002F_008MA,B11002F_009EA,B11002F_009MA,B11002F_010MA,B11002F_010EA,B11002F_011EA,B11002F_011MA,B11002F_012MA,B11002F_012EA,state
0400000US01,46192,6048,39880,6152,21820,5250,21271,5114,549,512,5994,2382,4867,2073,1127,683,12066,4043,11156,3703,910,749,6312,2470,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,471677,22393,423566,22056,242477,17260,239768,16864,2709,1250,63982,9404,55717,8328,8265,1927,117107,12035,108396,11090,8711,2592,48111,5517,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,59423,6122,55391,6227,35779,5366,35483,5327,296,289,6522,2181,5497,1835,1025,588,13090,4535,12263,4379,827,554,4032,1142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5174699,68913,4816341,69946,3041130,64973,2981517,62084,59613,7945,611543,27907,523822,25135,87721,5938,1163668,38451,1064820,34713,98848,6948,358358,14307,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,200888,14155,180538,14579,123455,12323,121024,12136,2431,1454,21400,5057,19545,4609,1855,766,35683,6345,32847,6021,2836,850,20350,3196,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,169683,13378,149319,13225,70908,9341,69736,9279,1172,803,18562,4100,15780,3490,2782,1249,59849,8673,54407,7881,5442,1961,20364,3463,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16021,4105,13432,4010,7548,3185,7548,3185,0,190,1097,817,828,629,269,323,4787,2186,4413,1970,374,357,2589,1030,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32935,4585,24609,4579,14852,4441,14563,4393,289,405,3649,1712,3627,1703,22,37,6108,2801,5594,2557,514,516,8326,2984,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503191,25291,439800,24368,268766,21675,264512,21387,4254,1534,57757,9874,49174,9014,8583,1857,113277,12019,104871,11301,8406,1709,63391,6151,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
