GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002EA,B17020A_002MA,B17020A_003EA,B17020A_003MA,B17020A_004EA,B17020A_004MA,B17020A_005MA,B17020A_005EA,B17020A_006MA,B17020A_006EA,B17020A_007EA,B17020A_007MA,B17020A_008EA,B17020A_008MA,B17020A_009EA,B17020A_009MA,B17020A_010MA,B17020A_010EA,B17020A_011MA,B17020A_011EA,B17020A_012EA,B17020A_012MA,B17020A_013EA,B17020A_013MA,B17020A_014EA,B17020A_014MA,B17020A_015MA,B17020A_015EA,B17020A_016MA,B17020A_016EA,B17020A_017MA,B17020A_017EA,state
0400000US01,3258837,6244,447305,19092,41794,3816,44973,4280,37240,3463,254981,11600,49656,3931,12670,1624,5991,998,2811532,19079,171301,4206,185311,6549,202743,6319,1508189,13461,521343,6390,168663,3285,53982,2952,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,471405,3413,31213,3615,2413,814,3694,991,3078,1156,17991,2036,3356,874,385,229,296,312,440192,4292,33066,1515,27172,1617,29044,1603,267361,3129,67474,2004,11809,1113,4266,965,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5171878,23299,784708,24821,82598,5330,91076,6096,74381,6007,420935,13907,78721,4683,24422,3126,12575,1735,4387170,31437,267536,6826,298846,6602,311439,8198,2293029,20993,833301,7323,279503,4984,103516,4210,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2243667,7568,348259,12054,37618,3222,37005,3645,29563,3381,190094,7650,36641,3203,11922,1583,5416,971,1895408,13119,116820,4025,131250,4831,137249,4596,1016294,8616,346066,6093,107587,3026,40142,2408,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23409527,65323,3302467,49264,351682,12621,356822,11272,320477,11821,1818821,30160,311266,10077,96529,4656,46870,2621,20107060,65704,1295188,16394,1366452,17568,1414823,15314,11398518,46667,3218721,17889,964901,9903,448457,9260,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4511131,14187,469963,17237,46743,4635,44006,4000,39788,3643,272646,10018,48153,3707,12800,1520,5827,1094,4041168,20371,267583,5742,294642,6632,294753,6589,2317617,13711,642040,7340,159467,3312,65066,2931,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2673807,13524,211025,9844,18955,2984,17361,2514,15238,1872,115856,6989,28934,3379,9827,1465,4854,903,2462782,17167,130429,4446,156977,4766,179278,4943,1359845,12394,439433,6281,130640,3243,66180,2878,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639716,4742,61166,6593,6071,1773,6670,2126,5529,1807,32734,3237,6597,1336,2322,581,1243,505,578550,6471,32772,1764,32951,2224,39019,2322,308317,4905,117461,2907,34092,1519,13938,1446,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252112,3837,17986,2715,0,200,257,392,476,435,14706,2081,1155,558,826,482,566,351,234126,4587,16357,1139,7627,1147,5936,956,170035,3370,25437,1220,5989,797,2745,632,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15083401,29089,2049105,39256,190677,9238,180372,9380,160776,9832,1075092,23663,291433,10995,104261,5605,46494,3147,13034296,48503,666553,11641,734155,12928,790383,11591,6820170,34365,2642136,16812,968022,9999,412877,8762,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
