GEO_ID,B06004G_001E,B06004G_001M,B06004G_002E,B06004G_002M,B06004G_003E,B06004G_003M,B06004G_004E,B06004G_004M,B06004G_005E,B06004G_005M,NAME,B06004G_001EA,B06004G_001MA,B06004G_002EA,B06004G_002MA,B06004G_003EA,B06004G_003MA,B06004G_004MA,B06004G_004EA,B06004G_005MA,B06004G_005EA,state
0400000US01,87319,6593,54473,5233,26169,3298,3500,967,3177,1224,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,63285,4721,42968,3741,16375,2158,2478,1026,1464,730,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,222446,10813,122621,7615,78727,5505,7392,1608,13706,2295,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64220,5652,38215,3771,22085,3136,1227,645,2693,1269,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1753771,30465,1270429,23355,237645,7648,50334,3933,195363,9540,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,193331,9623,104300,6986,71732,5043,6398,1596,10901,2661,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,116604,7769,69441,6171,28742,3325,6016,1721,12405,2548,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28441,3973,17341,2913,7655,1632,935,590,2510,1120,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21377,2579,5874,1220,10730,1662,1177,594,3596,1409,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,501856,20371,229755,11747,154666,8834,33445,4185,83990,7370,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,234124,14764,118906,10112,85198,7116,8673,1756,21347,3170,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,350173,11268,280384,10780,53018,4353,10490,1773,6281,1262,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,47424,3957,23192,2522,20000,2145,1604,613,2628,1102,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,295465,10735,205331,9041,53504,4083,7461,1628,29169,3476,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,156739,9223,107146,8353,40998,4476,2862,936,5733,1522,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,59872,4566,40856,3749,14540,2159,1792,984,2684,1155,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,92999,6001,58584,4377,27539,2893,2409,962,4467,1506,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,94235,6001,61972,5310,26346,2578,2043,846,3874,1033,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,97673,7420,71437,6103,18572,2481,2349,1206,5315,1756,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,30593,2478,18735,2036,9815,1418,642,459,1401,814,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,187294,10053,99347,6914,63805,4862,6180,1243,17962,2516,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,198384,10100,114786,6671,34058,3405,9163,2198,40377,4861,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,271937,10737,214111,9564,39947,3682,5220,1571,12659,2148,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,155738,6670,109151,5720,31436,2756,2901,789,12250,3159,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,35860,4205,21311,3190,11734,2341,1132,649,1683,765,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,149866,8432,97408,6336,38911,4038,5810,1245,7737,1788,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,27170,3166,17250,2379,9266,1649,344,323,310,259,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,43714,3916,28320,2900,11549,1860,713,389,3132,1169,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,143566,8121,62266,5372,65522,5165,5194,1222,10584,2252,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,22562,2362,8105,1575,11948,1832,678,347,1831,897,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,243612,11255,145333,8479,44721,3941,9071,1835,44487,4437,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,70797,6162,45709,5465,19644,3097,1566,819,3878,839,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,581410,23387,365270,15673,64177,4199,24437,3156,127526,10101,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,241457,10393,137907,7641,79681,6638,6663,1241,17206,4167,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,18934,2508,10108,2016,7508,1407,581,390,737,607,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,309331,13713,235875,11101,55119,5045,7100,1863,11237,2149,Ohio,null,null,null,null,null,null,null,null,null,null,39
