GEO_ID,C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,NAME,C01001A_001MA,C01001A_001EA,C01001A_002EA,C01001A_002MA,C01001A_003EA,C01001A_003MA,C01001A_004EA,C01001A_004MA,C01001A_005MA,C01001A_005EA,C01001A_006MA,C01001A_006EA,C01001A_007EA,C01001A_007MA,C01001A_008EA,C01001A_008MA,C01001A_009EA,C01001A_009MA,state
0400000US01,3329913,5703,1632627,4586,354736,3160,1010807,2572,267084,738,1697286,4446,337452,3232,1021249,2465,338585,903,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481314,3176,256855,1967,52054,1030,176432,1507,28369,322,224459,2034,48312,1067,148753,1281,27394,422,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5285994,24068,2621616,12388,585190,5672,1570447,8681,465979,2028,2664378,13728,558649,7324,1564146,8566,541583,1953,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2308047,6642,1138948,3901,260326,2634,691382,2475,187240,608,1169099,4189,240426,2931,697214,2629,231459,861,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23824254,64923,11895279,35545,2646729,16189,7587243,25040,1661307,5026,11928975,33751,2532308,17455,7351314,20728,2045353,6790,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4607390,13594,2312734,7223,513164,4257,1501938,4962,297632,1477,2294656,8554,487518,4600,1452335,4838,354803,1635,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2747943,12766,1335947,7503,266903,3758,851625,5189,217419,1019,1411996,6685,258025,2928,869619,4656,284352,1068,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,654904,4740,319020,2761,63527,1629,195891,1777,59602,438,335884,2557,60881,1207,202359,1641,72644,329,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,269143,3524,133725,2033,15733,1003,105906,1604,12086,195,135418,1941,15478,910,104797,1645,15143,456,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15357374,27705,7524791,16106,1415578,8733,4539582,11068,1569631,3584,7832583,15553,1353979,7215,4586571,10471,1892033,3685,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
