B17025_014M,B17025_015E,B17025_015M,GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014MA,B17025_015MA,B17025_015EA,NAME,B17025_001EA,B17025_001MA,B17025_002EA,B17025_002MA,B17025_003MA,B17025_003EA,B17025_004MA,B17025_004EA,B17025_005MA,B17025_005EA,B17025_006EA,B17025_006MA,B17025_007EA,B17025_007MA,B17025_008MA,B17025_008EA,B17025_009MA,B17025_009EA,B17025_010MA,B17025_010EA,B17025_011EA,B17025_011MA,B17025_012EA,B17025_012MA,B17025_013MA,B17025_013EA,B17025_014EA,state
4228,78731,6193,0400000US01,4736333,2309,876016,23918,842645,23353,836645,23298,6000,1683,33371,3751,5802,1396,27569,3452,3860317,23932,3726700,24643,3697253,24756,29447,2878,133617,6774,54886,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3086,22328,2617,0400000US02,720765,857,74532,5835,70020,5356,68969,5185,1051,750,4512,1420,1069,372,3443,1318,646233,5969,592989,7150,578070,7309,14919,2310,53244,4167,30916,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
8473,353220,14017,0400000US04,6671705,3550,1159043,29822,944897,26880,934515,26477,10382,2312,214146,11477,48003,4290,166143,11375,5512662,29567,4830375,26827,4743572,27423,86803,7072,682287,14695,329067,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3733,65961,5238,0400000US05,2887337,2988,550508,17473,517029,16754,514480,16795,2549,896,33479,4102,5515,1479,27964,4076,2336829,17428,2229633,16562,2210236,16045,19397,3162,107196,5651,41235,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
33245,4075471,45192,0400000US06,38398057,6625,5891678,66827,4089750,49645,4032071,48083,57679,4667,1801928,31418,570566,14920,1231362,25551,32506379,67593,23724400,67070,23270416,67004,453984,13159,8781979,44462,4706508,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
7571,257552,9294,0400000US08,5339618,2635,613549,20501,522997,17345,514993,17128,8004,1855,90552,8293,23012,2806,67540,7265,4726069,20499,4286309,21383,4210213,22145,76096,5547,439760,10919,182208,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
7657,211482,10148,0400000US09,3480932,2053,366909,15789,299846,13233,268121,12491,31725,3902,67063,7263,17410,2281,49653,6784,3114023,16430,2669313,17842,2575689,17579,93624,5227,444710,12594,233228,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3198,38480,4010,0400000US10,920355,878,114360,9567,103248,8695,100125,8471,3123,1301,11112,2582,2110,1023,9002,2415,805995,9555,730385,9652,720959,9593,9426,1629,75610,5044,37130,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
3955,42243,4818,0400000US11,638027,441,110500,8628,96725,7846,95481,7809,1244,585,13775,2608,5019,1335,8756,2340,527527,8607,449604,8641,438651,8543,10953,2430,77923,5556,35680,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
24962,1418444,33541,0400000US12,19850054,6121,3116886,47330,2381977,40564,2249753,38900,132224,10401,734909,23314,285260,11067,449649,20221,16733168,46952,13419018,57475,12836763,53264,582255,17970,3314150,38961,1895706,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
