GEO_ID,C16003_001E,C16003_001M,C16003_002E,C16003_002M,C16003_003E,C16003_003M,C16003_004E,C16003_004M,C16003_005E,C16003_005M,C16003_006E,C16003_006M,C16003_007E,C16003_007M,C16003_008E,C16003_008M,NAME,C16003_001MA,C16003_001EA,C16003_002MA,C16003_002EA,C16003_003MA,C16003_003EA,C16003_004EA,C16003_004MA,C16003_005EA,C16003_005MA,C16003_006MA,C16003_006EA,C16003_007MA,C16003_007EA,C16003_008MA,C16003_008EA,state
0400000US01,58276,7014,17180,3207,1360,962,12776,3016,3044,1053,41096,4607,29494,3689,11602,2433,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11291,2528,2463,1103,851,592,229,312,1383,872,8828,1661,1035,554,7793,1643,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,261774,15753,63376,6275,2961,797,51859,5184,8556,2401,198398,11148,146084,9060,52314,4736,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,55623,5947,15412,2721,608,557,13094,2443,1710,1072,40211,4166,28682,3699,11529,2571,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3194484,51104,645149,18528,39879,4018,474749,16449,130521,6755,2549335,38797,1473373,32539,1075962,19820,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156544,10706,37582,4462,3051,1049,27405,3993,7126,1523,118962,7906,77948,6696,41014,4645,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156993,10722,29755,3535,3153,1115,17938,3123,8664,2042,127238,8825,72922,6671,54316,5680,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19315,3969,4205,1858,601,441,3138,1622,466,248,15110,2837,9327,1966,5783,1853,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20943,4195,3999,1417,189,230,3512,1386,298,252,16944,3312,11623,2906,5321,1256,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1228570,36031,187089,13207,15135,3720,136863,10443,35091,3873,1041481,27928,819507,24661,221974,11407,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,327698,16299,82455,5897,6842,2262,61667,5541,13946,2446,245243,13050,154337,10156,90906,7720,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,73260,7851,11175,2520,3117,1304,1838,1174,6220,1614,62085,6522,3045,1488,59040,6279,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26533,4778,5681,1788,245,222,4648,1619,788,492,20852,3581,14562,3108,6290,1720,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,538227,17828,107308,6708,6556,1674,73484,5401,27268,3329,430919,14149,226905,10208,204014,10323,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,106407,9040,25877,3797,1520,879,17890,3547,6467,1600,80530,6800,48526,5580,32004,3520,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,61149,6437,16113,2590,1555,609,8729,1899,5829,1787,45036,4655,21309,3097,23727,3176,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,68493,5207,15556,2712,891,467,11854,2526,2811,819,52937,3521,35311,3275,17626,2626,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,51615,6129,13677,3328,2524,1325,6517,1608,4636,2226,37938,3989,20072,3230,17866,2646,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,75620,7737,15042,3274,847,542,10258,3002,3937,1229,60578,5664,33086,4625,27492,3263,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,10731,1762,1622,542,217,202,126,186,1279,560,9109,1442,831,547,8278,1492,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,199956,14084,38548,4705,3284,1207,24615,4001,10649,2035,161408,10829,88196,8052,73212,6599,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,318512,15611,51891,5539,5730,1444,23872,4140,22289,3712,266621,12795,105422,9515,161199,10761,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,162915,10767,34141,4280,1717,528,14825,2939,17599,2899,128774,8151,34501,4150,94273,6978,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,147855,11534,37635,4365,5278,1801,11199,2635,21158,3509,110220,8740,37952,5000,72268,6376,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,24177,4347,5473,1830,110,162,4649,1525,714,614,18704,3159,13091,2957,5613,1544,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,63868,6975,12646,2175,1631,1093,7090,1571,3925,1172,51222,5562,26090,3749,25132,3695,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3612,1133,476,285,79,104,102,108,295,258,3136,1040,1614,654,1522,776,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
