GEO_ID,B19215_001E,B19215_001M,B19215_002E,B19215_002M,B19215_003E,B19215_003M,B19215_004E,B19215_004M,B19215_005E,B19215_005M,B19215_006E,B19215_006M,B19215_007E,B19215_007M,B19215_008E,B19215_008M,B19215_009E,B19215_009M,B19215_010E,B19215_010M,B19215_011E,B19215_011M,B19215_012E,B19215_012M,B19215_013E,B19215_013M,B19215_014E,B19215_014M,B19215_015E,B19215_015M,NAME,B19215_001EA,B19215_001MA,B19215_002MA,B19215_002EA,B19215_003MA,B19215_003EA,B19215_004MA,B19215_004EA,B19215_005EA,B19215_005MA,B19215_006EA,B19215_006MA,B19215_007EA,B19215_007MA,B19215_008MA,B19215_008EA,B19215_009MA,B19215_009EA,B19215_010MA,B19215_010EA,B19215_011EA,B19215_011MA,B19215_012EA,B19215_012MA,B19215_013MA,B19215_013EA,B19215_014MA,B19215_014EA,B19215_015MA,B19215_015EA,state
0400000US01,25214,539,30112,1163,27166,1036,29189,2061,23536,1563,44887,3275,45150,3055,34668,14588,21855,502,20558,496,22642,1322,19110,592,39695,2211,39711,2210,37340,15460,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46933,4007,55568,4862,46473,7216,52088,5688,30819,10173,84642,8581,84780,8739,67500,50268,40760,1849,35446,3689,38621,3177,29415,3071,80104,6951,79652,9115,80807,15985,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,33452,893,36791,1127,31324,879,33138,1848,27034,1344,60919,3366,61567,4274,58191,3150,30686,715,26694,697,31606,1313,23389,744,53375,2402,54023,2409,49269,5557,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24282,669,27357,1345,24372,1266,26004,1459,21243,1433,42237,4740,42184,4691,44327,23880,21910,829,20252,880,21635,1671,19274,947,40783,4504,41550,4576,34519,13367,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,42068,352,48582,929,40251,464,45247,834,28896,918,76907,1500,80024,1868,54661,3234,37507,631,31341,393,40918,684,24235,412,70768,1206,72569,2059,58640,2928,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40487,667,43149,1911,36900,942,39624,1772,30024,2210,66907,4359,68273,4984,57236,10041,37011,974,31166,844,37487,1562,24683,908,64593,3758,65015,4023,61696,9877,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41201,891,46210,1063,40008,1775,45113,3890,30472,1970,77996,8867,80914,9875,64305,14261,36585,1154,31591,1294,40660,1886,25330,1086,73825,3936,74012,4227,71593,11509,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,37810,1826,44091,3855,40114,2762,41843,2669,32297,3809,68970,11933,69779,14708,54304,15770,33492,3291,30889,1468,36844,2324,24946,1633,58387,14116,61728,15816,47070,19510,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62840,3497,75066,5337,60946,3092,67212,4542,30515,8382,127205,8497,126971,8909,150878,86798,54892,4023,47468,4518,54913,5472,31369,2112,93128,10937,94790,9727,54569,33356,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,31445,268,36268,637,31075,504,33633,1461,25605,784,57627,1777,59654,2405,49987,3998,28142,576,25108,440,30102,729,22240,376,54019,2116,54643,2383,52230,2903,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
