GEO_ID,B27013_001E,B27013_001M,B27013_002E,B27013_002M,B27013_003E,B27013_003M,B27013_004E,B27013_004M,B27013_005E,B27013_005M,B27013_006E,B27013_006M,B27013_007E,B27013_007M,B27013_008E,B27013_008M,B27013_009E,B27013_009M,B27013_010E,B27013_010M,B27013_011E,B27013_011M,B27013_012E,B27013_012M,B27013_013E,B27013_013M,B27013_014E,B27013_014M,B27013_015E,B27013_015M,B27013_016E,B27013_016M,B27013_017E,B27013_017M,B27013_018E,B27013_018M,B27013_019E,B27013_019M,B27013_020E,B27013_020M,B27013_021E,B27013_021M,B27013_022E,B27013_022M,B27013_023E,B27013_023M,B27013_024E,B27013_024M,B27013_025E,B27013_025M,B27013_026E,B27013_026M,B27013_027E,B27013_027M,B27013_028E,B27013_028M,B27013_029E,B27013_029M,B27013_030E,B27013_030M,B27013_031E,B27013_031M,B27013_032E,B27013_032M,B27013_033E,B27013_033M,B27013_034E,B27013_034M,B27013_035E,B27013_035M,B27013_036E,B27013_036M,B27013_037E,B27013_037M,B27013_038E,B27013_038M,B27013_039E,B27013_039M,B27013_040E,B27013_040M,B27013_041E,B27013_041M,B27013_042E,B27013_042M,B27013_043E,B27013_043M,B27013_044E,B27013_044M,B27013_045E,B27013_045M,B27013_046E,B27013_046M,NAME,B27013_001EA,B27013_001MA,B27013_002EA,B27013_002MA,B27013_003MA,B27013_003EA,B27013_004MA,B27013_004EA,B27013_005EA,B27013_005MA,B27013_006EA,B27013_006MA,B27013_007EA,B27013_007MA,B27013_008MA,B27013_008EA,B27013_009EA,B27013_009MA,B27013_010MA,B27013_010EA,B27013_011MA,B27013_011EA,B27013_012MA,B27013_012EA,B27013_013EA,B27013_013MA,B27013_014MA,B27013_014EA,B27013_015MA,B27013_015EA,B27013_016EA,B27013_016MA,B27013_017EA,B27013_017MA,B27013_018EA,B27013_018MA,B27013_019MA,B27013_019EA,B27013_020MA,B27013_020EA,B27013_021EA,B27013_021MA,B27013_022EA,B27013_022MA,B27013_023MA,B27013_023EA,B27013_024EA,B27013_024MA,B27013_025MA,B27013_025EA,B27013_026MA,B27013_026EA,B27013_027EA,B27013_027MA,B27013_028EA,B27013_028MA,B27013_029EA,B27013_029MA,B27013_030MA,B27013_030EA,B27013_031MA,B27013_031EA,B27013_032EA,B27013_032MA,B27013_033EA,B27013_033MA,B27013_034EA,B27013_034MA,B27013_035EA,B27013_035MA,B27013_036MA,B27013_036EA,B27013_037MA,B27013_037EA,B27013_038EA,B27013_038MA,B27013_039EA,B27013_039MA,B27013_040EA,B27013_040MA,B27013_041MA,B27013_041EA,B27013_042MA,B27013_042EA,B27013_043EA,B27013_043MA,B27013_044EA,B27013_044MA,B27013_045EA,B27013_045MA,B27013_046EA,B27013_046MA,state
0400000US01,3674354,3461,1470365,14789,831100,10388,795139,9585,693244,10453,101895,6177,35961,2529,29294,2359,6667,1219,639265,11166,616889,10901,557853,11046,59036,4161,22376,1986,17678,1877,4698,914,762404,13963,327242,8750,289050,8239,186690,7222,102360,5708,38192,2432,27825,2220,10367,1273,435162,11483,399254,10857,278362,10020,120892,6916,35908,2606,24828,1938,11080,1489,1441585,15328,576135,8523,327198,8120,127605,6131,199593,7266,248937,3740,160964,4027,87973,3869,865450,11572,503550,10672,262548,8362,241002,8547,361900,3368,219448,5162,142452,5021,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,527165,1857,226598,5487,129751,3711,124824,3620,105802,3809,19022,2593,4927,690,3765,685,1162,401,96847,3510,93921,3426,78922,2883,14999,1903,2926,736,2141,491,785,490,172430,5671,88301,3697,81693,3716,49667,3075,32026,2203,6608,805,4530,810,2078,478,84129,3252,78832,3244,52373,3323,26459,2259,5297,797,3619,594,1678,518,128137,4204,53411,2884,30201,2533,11035,1866,19166,2072,23210,1131,14549,1542,8661,1269,74726,2837,47608,2756,26016,2362,21592,1754,27118,1158,16344,1484,10774,1247,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5099961,2056,2050479,17933,1172913,12296,1130943,11815,897162,11889,233781,8416,41970,2835,28199,2124,13771,1645,877566,11856,846926,11858,710048,12156,136878,7011,30640,2467,22438,2085,8202,1210,1149964,14604,518668,9306,456487,9017,257648,8101,198839,6579,62181,2853,36077,2343,26104,2062,631296,10911,574233,10820,367268,10410,206965,6606,57063,3173,33015,2448,24048,2184,1899518,16723,778086,10046,372318,8881,146536,5410,225782,7791,405768,4099,228914,5398,176854,5208,1121432,13438,611167,12516,292334,7887,318833,10876,510265,3884,278516,5409,231749,5187,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2220606,2177,912157,10687,513247,7799,491767,7407,407612,7622,84155,5377,21480,1916,16439,1637,5041,1108,398910,7801,383727,7674,334486,7223,49241,4632,15183,1726,11377,1637,3806,925,475000,8601,214503,6078,187772,5834,105330,4433,82442,4518,26731,2059,15211,1450,11520,1682,260497,6853,234998,6484,150120,5730,84878,4195,25499,1990,16633,1579,8866,1200,833449,9500,335445,6866,177199,5889,62097,4157,115102,4945,158246,2928,93823,2809,64423,3051,498004,7652,283920,7362,126401,5549,157519,6232,214084,2667,124900,3286,89184,3412,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29546482,5416,12212833,47127,7191052,34604,6914834,32755,5535472,29924,1379362,20518,276218,6420,193606,5739,82612,4043,5021781,28732,4844707,28817,4091301,30369,753406,14877,177074,6277,126784,5341,50290,3492,7385283,41116,3353048,31918,3051507,29721,1777968,26801,1273539,19678,301541,5984,174687,4691,126854,4750,4032235,25155,3741609,22752,2387753,19657,1353856,16229,290626,7457,172061,5626,118565,5171,9948366,37815,3865948,25742,2182529,23462,922489,16639,1260040,19518,1683419,8780,833631,9778,849788,10690,6082418,30248,3716665,28024,1793856,19509,1922809,24179,2365753,8724,1122378,11593,1243375,12281,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4112535,3482,1920468,16939,1127090,11426,1086794,10980,912055,11024,174739,6488,40296,2512,27146,1906,13150,1777,793378,10962,767260,10962,669047,9672,98213,5898,26118,1872,19889,1857,6229,1115,1081951,14425,477367,9913,422124,9037,269507,7426,152617,6700,55243,2966,31206,2418,24037,2330,604584,10530,554705,9996,386635,8270,168070,6482,49879,2529,31072,1857,18807,1834,1110116,13724,429693,8402,207057,7535,103810,4580,103247,5436,222636,3642,134598,3675,88038,3992,680423,10183,378498,9630,212481,6902,166017,7291,301925,3412,183949,4807,117976,4272,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2776062,1382,1220497,10579,691529,8318,657311,8258,582297,7891,75014,5397,34218,2031,26996,1874,7222,1053,528968,7936,507864,7323,453871,7166,53993,3986,21104,1837,17410,1481,3694,959,724369,12430,305083,7835,263523,7279,172803,6143,90720,5729,41560,2609,26871,2177,14689,1563,419286,9194,377541,8978,272470,7385,105071,5163,41745,2670,27399,2058,14346,1618,831196,9995,332619,7579,170560,6546,74932,4123,95628,5975,162059,3359,95888,3483,66171,3390,498577,7286,255851,6864,138213,5840,117638,5272,242726,3139,146436,3766,96290,3660,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,727432,849,314627,7226,168284,4685,160836,4668,141099,4551,19737,2232,7448,1083,5937,950,1511,475,146343,4756,141191,4540,125595,4608,15596,2073,5152,993,4321,898,831,408,169785,5553,74685,3816,64330,3700,42987,3142,21343,2521,10355,1283,7059,1097,3296,776,95100,3588,85433,3449,58162,3007,27271,2422,9667,1096,6441,1001,3226,642,243020,5269,100863,3688,48010,3382,21943,2544,26067,2881,52853,1574,35745,1698,17108,1798,142157,3980,70882,3969,37144,2831,33738,3015,71275,1460,47180,1939,24095,1775,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,543267,667,269020,4953,137060,3735,131914,3518,119203,3790,12711,2242,5146,924,4231,728,915,655,131960,3720,127666,3629,114155,3495,13511,2433,4294,851,3448,785,846,335,129993,5100,56143,3776,52001,3799,38199,3220,13802,2282,4142,904,3459,844,683,318,73850,3321,67319,3262,48905,2690,18414,2028,6531,996,4565,844,1966,717,144254,4408,58113,2725,37988,2508,13558,1711,24430,2335,20125,912,13313,1197,6812,1158,86141,3300,52702,2944,20526,2113,32176,2796,33439,1254,20448,1614,12991,1364,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15866768,4364,6341312,33504,3498416,24679,3334664,24084,2649275,23666,685389,16694,163752,6040,102481,5337,61271,3646,2842896,21864,2734837,21354,2316921,22134,417916,13421,108059,4784,71301,3959,36758,3080,3380877,30194,1523607,20611,1308851,19793,763934,14876,544917,14312,214756,6867,120801,4882,93955,3996,1857270,22170,1660623,20558,1084850,17736,575773,12230,196647,7405,102582,5200,94065,5196,6144579,30542,2550040,20773,1182865,19786,502609,13382,680256,16579,1367175,8328,723612,10402,643563,9926,3594539,21613,1766347,21297,875217,15469,891130,18945,1828192,8023,931666,10220,896526,11501,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
